"event";"experiment time";"system time";"system time text"
"START";0.000000000000000E0;1.749220716034000E9;"2025-06-06 16:38:36.034 UTC+02:00"
"PAUSE";1.326710561333333E3;1.749222042740000E9;"2025-06-06 17:00:42.740 UTC+02:00"
