"property";"value"
"version";"1.1.16"
"build";"11317"
"fileFormat";"1.18"
"deviceModel";"iPhone12,1"
"deviceBrand";"Apple"
"deviceBoard";""
"deviceManufacturer";""
"deviceBaseOS";""
"deviceCodename";""
"deviceRelease";"18.5"
"depthFrontSensor";"1"
"depthFrontResolution";""
"depthFrontRate";""
"depthBackSensor";"0"
"depthBackResolution";""
"depthBackRate";""
