"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1.528636927E0;-9.435572624E-1;-1.613208652E0;-3.078611791E-1
1.545302916E0;-9.837709665E-1;-1.741040230E0;-7.953524590E-1
1.561968906E0;-4.760396779E-1;-1.685380220E0;-1.452087522E0
1.578634896E0;1.898832470E-1;-1.728656530E0;-2.645182848E0
1.595300885E0;9.076046348E-1;-1.664474487E0;-2.793653965E0
1.611966875E0;1.447693229E0;-1.386440635E0;-8.684561849E-1
1.628632864E0;9.628651738E-1;-9.157272577E-1;-9.281109273E-2
1.645298854E0;1.635179669E-1;-1.314135909E0;-4.231759906E-1
1.661964843E0;2.573943138E-1;-1.435442805E0;-8.362319320E-2
1.678630833E0;1.009736776E0;-9.157272577E-1;-5.712476373E-2
1.695296823E0;1.253149509E0;-3.263701499E-1;1.921469271E-1
1.711962812E0;1.270193696E0;2.508696020E-1;2.777675092E-1
1.728628802E0;1.025715709E0;8.878972530E-1;3.430148959E-1
1.745294791E0;8.138614297E-1;1.421594381E0;4.291680753E-1
1.761960781E0;4.372907281E-1;2.087517262E0;2.687127590E-1
1.778626771E0;8.961530030E-2;3.018025160E0;4.155859649E-1
1.795292760E0;-1.344895363E-1;2.522810698E0;7.145255804E-1
1.811958750E0;-6.431528926E-2;1.241564751E0;6.227797270E-1
1.828624739E0;3.062633052E-2;-1.866874546E-1;-3.135869801E-1
1.845290729E0;2.330264263E-2;-1.158474207E0;-1.522661209E0
1.861956718E0;-1.162468940E-1;-1.546762824E0;-2.123070478E0
1.878622708E0;-4.139880836E-1;-1.916009784E0;-1.993640900E0
1.895288698E0;-5.009402037E-1;-2.080726147E0;-1.268728971E0
1.911954687E0;-4.518049359E-1;-2.032123566E0;-5.197154880E-1
1.928620677E0;-4.668518007E-1;-1.318530083E0;-4.158523083E-1
1.945286666E0;-4.392880797E-1;-4.026696682E-1;-7.644598484E-1
1.961952656E0;-2.366216928E-1;4.530033767E-1;-1.227849483E0
1.978618646E0;1.391500682E-1;1.336506367E0;-1.175385237E0
1.995284635E0;8.375635743E-2;2.003095150E0;-4.807002246E-1
2.011950625E0;1.563274413E-1;1.998301387E0;-2.075932473E-1
2.028616614E0;3.795001656E-2;6.307692528E-1;-1.965011954E0
2.045282604E0;-1.422126889E-1;9.720530361E-3;-2.972351789E0
2.061948593E0;-4.998749495E-1;2.009353489E-1;-3.025348663E0
2.078614583E0;-9.434241056E-1;6.127929091E-1;-2.373939991E0
2.095280573E0;-1.272590518E0;3.660512269E-1;-1.519199133E0
2.111946562E0;-1.700560212E0;-8.352998495E-1;-1.085370541E0
2.128612552E0;-1.399090648E0;-7.077345252E-1;-5.597960353E-1
2.145278541E0;-5.073317885E-1;1.033971548E0;1.680453420E-1
2.161944531E0;1.266332120E-1;2.085919380E0;2.221074700E-1
2.178610521E0;5.868270993E-1;1.508280158E0;-2.623211779E-2
2.195276510E0;1.029577255E0;5.510076284E-1;-1.268462658E0
2.211942500E0;8.980172276E-1;9.198551774E-1;-2.338919401E0
2.228608489E0;-9.619330764E-1;1.298023701E0;-2.150501013E0
2.245274479E0;-2.004559755E0;2.213085145E-1;-2.308692694E0
2.261940468E0;-2.095906258E0;3.783017397E-1;-1.676192284E0
2.278606458E0;-9.146620035E-1;8.612656593E-1;-7.752456069E-1
2.295272448E0;1.095889956E-1;1.235306382E0;-6.163882017E-1
2.311938437E0;3.924165070E-1;1.613341808E0;-8.512787819E-1
2.328604427E0;2.102564126E-1;6.001428962E-1;-1.009337306E0
2.345270416E0;1.190432087E-1;-5.316997170E-1;-9.860346317E-1
2.361936406E0;-9.560741484E-2;-4.981439114E-1;-8.843019605E-1
2.378602396E0;-2.189116776E-1;-2.764359117E-1;-4.347607195E-1
2.395268385E0;4.660528526E-2;-4.565986395E-1;2.551306486E-1
2.411934375E0;5.326318205E-4;6.719150543E-1;8.460856676E-1
2.428600364E0;-5.789707899E-1;1.576190710E0;9.736509919E-1
2.445266354E0;-7.412903309E-1;1.440369606E0;4.759065211E-1
2.461932343E0;-5.597960353E-1;5.173186660E-1;-1.407479644E-1
2.478598333E0;-1.507348120E-1;-4.198470414E-1;-5.954823494E-1
2.495264323E0;5.632581562E-2;-4.287686199E-2;-6.530066133E-1
2.511930312E0;-5.858949944E-2;9.974862337E-1;-4.986765385E-1
