"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.378643021E0;-1.854171944E1;-1.161985397E0;1.207530975E0
1.395309010E0;-1.407899666E1;2.601736069E0;2.985808134E0
1.411975000E0;-1.254197598E0;2.717412949E0;1.820991635E0
1.428640989E0;-4.236378670E-1;1.588838577E0;2.931047201E0
1.445306979E0;-1.362057686E0;2.342921257E0;1.010332346E0
1.461972968E0;-5.395793915E-2;2.771297455E0;-1.157840848E0
1.478638958E0;2.379512787E-2;2.359978676E0;1.331328273E0
1.495304948E0;7.677483559E-1;5.528702736E-1;1.628228307E0
1.511970937E0;8.751077652E-1;9.969696999E-1;-2.635140121E-1
1.528636927E0;1.308392048E0;2.865107298E0;8.133637905E-1
1.545302916E0;2.519801617E0;3.928365231E0;1.238060355E0
1.561968906E0;6.175870895E-1;1.598331451E0;9.488226175E-1
1.578634896E0;-7.130241394E-2;-2.712742805E0;-1.618936956E-1
1.595300885E0;-9.124441147E0;-6.212989330E0;2.313398123E-1
1.611966875E0;-1.031717396E1;-5.615049362E0;9.395873547E-1
1.628632864E0;3.093408585E0;-3.553213120E0;-5.171273708E0
1.645298854E0;3.411190987E0;-2.823503494E0;-7.530586123E-1
1.661964843E0;-2.828520298E0;-4.989634514E0;2.791395426E0
1.678630833E0;-3.985953331E0;-7.797425747E0;1.036014318E0
1.695296823E0;-4.434737206E0;-6.445422649E0;1.344232559E-1
1.711962812E0;-8.080444336E-1;-4.456187725E0;5.035777092E-1
1.728628802E0;-1.212596893E-3;-4.155632973E0;1.089150667E0
1.745294791E0;1.260075569E-1;-4.062839031E0;-5.876054764E-1
1.761960781E0;-2.272712231E0;-4.281826019E0;-2.071101665E-1
1.778626771E0;-9.407944679E-1;-2.022022247E0;-1.046745062E0
1.795292760E0;3.396391869E-1;-1.952171326E-1;5.973637104E-2
1.811958750E0;6.109066963E0;1.216573715E0;-1.244564295E0
1.828624739E0;7.801603317E0;7.285184860E-1;-6.181579232E-1
1.845290729E0;8.206377983E0;1.823410511E0;-7.427384257E-1
1.861956718E0;5.677722931E0;4.412094116E0;-1.391090155E-1
1.878622708E0;4.155383110E0;5.731042862E0;6.859127283E-1
1.895288698E0;2.421802759E0;6.438283920E0;3.258547783E-1
1.911954687E0;2.252227068E0;6.877697468E0;-6.773023605E-1
1.928620677E0;2.480113268E0;6.979024410E0;3.366327286E-2
1.945286666E0;2.457004547E0;4.835353851E0;1.345523596E0
1.961952656E0;1.936296701E0;2.491675377E0;1.854291677E0
1.978618646E0;2.523813248E-1;3.746926308E0;-2.549355030E-1
1.995284635E0;-8.890147209E-1;3.944838524E0;-8.033430576E-1
2.011950625E0;2.021724224E0;-1.852946758E0;-3.850095272E-1
2.028616614E0;6.855020523E-1;-1.817826271E0;-4.297208786E-1
2.045282604E0;-3.194505692E0;5.895876884E-1;-1.755239725E0
2.061948593E0;-4.766383648E0;1.213223934E0;-1.389847755E0
2.078614583E0;-4.739665031E0;-2.670030594E-1;-1.831868887E0
2.095280573E0;-1.745685577E0;-9.570589066E-1;-1.104147434E0
2.111946562E0;7.103943825E-2;-1.553454399E0;1.165168285E-1
2.128612552E0;-1.514144182E0;-5.681732178E0;1.713000059E0
2.145278541E0;1.325756550E0;-1.045154572E1;-2.250932217E0
2.161944531E0;3.820489168E0;-9.927314758E0;-3.440005064E0
2.178610521E0;3.434049368E0;-4.358351707E0;-2.210509777E0
2.195276510E0;7.245052338E0;3.777547359E0;-2.165465355E0
2.211942500E0;1.437035680E0;1.490100861E0;-9.169514656E0
2.228608489E0;5.562720299E-1;-1.124529839E0;-2.913710356E0
2.245274479E0;-3.498713970E0;-2.530158997E0;-2.118131876E0
2.261940468E0;-5.890239239E0;-3.026784897E0;-4.254532754E-1
2.278606458E0;-3.977921724E0;-9.899168015E-1;3.174256325E0
2.295272448E0;1.347882867E0;1.187904358E0;8.518270254E-1
2.311938437E0;2.382460117E0;1.423021317E0;1.313206553E-1
2.328604427E0;1.731992364E0;1.470086098E0;3.727586865E-1
2.345270416E0;1.382011294E0;3.518896103E-1;-6.013019085E-1
2.361936406E0;2.085947990E-1;-1.473018646E0;-1.259803057E0
2.378602396E0;-2.146791458E0;-8.820142746E-1;2.345113993E0
2.395268385E0;-9.383406639E-1;3.838272095E-1;1.042573214E0
2.411934375E0;6.609610915E-1;-9.974956512E-2;-2.490664482E0
2.428600364E0;1.926790476E0;4.788627625E-1;-1.604730606E0
2.445266354E0;2.061463356E0;1.608800411E0;3.993803859E-1
2.461932343E0;8.533611298E-1;2.123257160E0;1.622708559E0
2.478598333E0;-1.603806496E0;1.197944641E0;1.267184854E0
2.495264323E0;-3.482748508E0;-1.233663559E-1;-3.636227846E-1
2.511930312E0;-3.911259174E0;-7.438611984E-1;-4.433610439E-1
2.528596302E0;-3.619457483E0;-7.009410858E-2;1.124228477E0
2.545262291E0;-3.676430702E0;1.298624992E0;2.425867081E0
2.561928281E0;-4.439180374E0;2.311725140E0;2.821341753E0
2.578594271E0;-5.516819954E0;2.705027580E0;2.466248989E0
2.595260260E0;-6.049957275E0;3.084057808E0;2.182064533E0
2.611926250E0;-5.491174698E0;3.569597244E0;2.890816212E0
2.628592239E0;-4.761231899E0;3.514043808E0;2.855876446E0
2.645258229E0;-3.892630100E0;2.728413105E0;1.986129761E0
2.661924218E0;-2.869311094E0;1.620305538E0;1.649675250E0
