"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1.569025917E0;-1.409272671E0;-1.147806525E0;2.332966089E0
1.589184917E0;-1.106654048E0;1.210988522E0;2.252912283E0
1.609343917E0;-1.066829562E0;1.846796513E0;1.580885530E0
1.629502917E0;-2.239797115E0;2.336768150E0;1.559618831E0
1.649661917E0;-3.800240993E0;2.799467087E0;1.200495064E-1
1.669820917E0;-4.127830029E0;2.820324183E0;9.255012274E-1
1.689979917E0;-4.454650879E0;2.613493919E0;1.699243307E0
1.710138917E0;-4.039388657E0;1.365121484E0;1.991893888E0
1.730297917E0;-3.016037703E0;-7.608323693E-1;2.237742186E0
1.750457917E0;-2.235579967E0;-2.643596649E0;2.898095369E0
1.770616917E0;-2.119780064E0;-3.256038427E0;3.403227091E0
1.790775917E0;-2.177652597E0;-5.313336849E0;4.090876102E0
1.810934917E0;-2.101300478E0;-6.693726063E0;4.901276112E0
1.831093917E0;-2.122763872E0;-5.468263626E0;4.987545490E0
1.851252917E0;-2.953931689E-2;1.860218287E0;2.029790401E0
1.871411917E0;1.042160630E0;1.404100776E0;2.279542208E0
1.891570917E0;-6.750649810E-1;1.707828522E0;1.959973574E0
1.911729917E0;-6.085551977E-1;2.247834206E0;9.979755282E-1
1.931889917E0;-7.659015656E-1;2.357329607E0;8.096550107E-1
1.952048917E0;-7.182464004E-1;1.606668115E0;1.025733590E0
1.972207917E0;-1.141940802E-1;4.389396310E-1;1.396958232E0
1.992366917E0;3.673650622E-1;3.399772346E-1;1.105225801E0
2.012525917E0;4.907282293E-1;5.990437865E-1;6.764222383E-1
2.032684917E0;6.043977737E-1;6.619429588E-1;8.353672028E-1
2.052843917E0;8.616495728E-1;8.761881590E-1;1.001114726E0
2.073002917E0;8.237754703E-1;1.654676795E0;7.817304730E-1
2.093161917E0;7.274329066E-1;1.964668155E0;-1.969908830E-3
2.113320917E0;2.869853284E-3;8.086006045E-1;1.940346509E-2
2.133479917E0;-8.616942912E-2;5.954679102E-2;6.920490861E-1
2.153639917E0;-1.523521543E-1;-6.841566414E-2;5.784375668E-1
2.173798917E0;-2.841727138E-1;-2.240435332E-1;3.972586393E-1
2.193957917E0;-5.729250908E-1;-7.491283417E-1;3.198116422E-1
2.214116917E0;-1.200335860E0;-1.779647917E-2;4.029292762E-1
2.234275917E0;-1.696273088E0;1.407930493E0;6.025739312E-1
2.254434917E0;-1.766647816E0;2.714397430E0;3.627876639E-1
2.274593917E0;-1.902835250E0;3.764027357E0;3.861333430E-1
2.294752917E0;-1.746324778E0;3.602906942E0;8.409450948E-2
2.314911917E0;-1.281196356E0;1.938464761E0;4.300444424E-1
2.335070917E0;-1.175993919E0;1.234997153E0;2.784367502E-1
2.355229917E0;-1.016050220E0;1.074857831E0;1.048955917E-1
2.375388917E0;-2.556832433E-1;5.311198831E-1;-6.363907456E-2
2.395547917E0;1.000943899E0;2.410486192E-1;-6.211637259E-1
2.415706917E0;1.892042398E0;-7.152157426E-1;-1.568935275E0
2.435866917E0;4.336110055E-1;-1.966362000E0;-1.469504476E0
2.456025917E0;-2.192322016E-1;-2.896488190E0;-1.835179329E0
2.476184917E0;6.826252937E-1;-3.110302687E0;-1.633812785E0
2.496343917E0;1.142203689E0;-3.925585747E0;-7.636311054E-1
2.516502792E0;-5.071488395E-2;-4.023341656E0;-5.365278721E-1
2.536661792E0;-5.632575750E-1;-2.350488186E0;-4.181213975E-1
2.556820792E0;-4.872403741E-1;-9.195404649E-1;-5.171141401E-2
2.576979792E0;-1.724248976E-1;-1.559821814E-1;1.485824734E-1
2.597138792E0;-5.644733831E-2;6.679062247E-1;1.778653860E-1
2.617297792E0;-2.026386932E-2;7.305333018E-1;1.347079426E-1
2.637456792E0;-4.797454551E-2;2.958380878E-1;7.833275199E-2
2.657615792E0;-1.236953437E-1;-1.138655469E-1;4.933559522E-2
2.677774792E0;-1.750022769E-1;-3.578907251E-1;5.675794929E-2
2.697934792E0;-1.267587990E-1;-4.596493542E-1;9.733351320E-2
2.718093792E0;-5.334671959E-2;-3.762649894E-1;1.107834429E-1
2.738252792E0;-3.941867128E-2;-2.783644199E-1;9.802316129E-2
2.758411792E0;-5.288306624E-2;-2.234970331E-1;1.010309458E-1
2.778570792E0;-1.273616869E-2;-3.556479514E-1;9.564891458E-2
2.798729792E0;8.460198343E-2;-5.588623881E-1;6.024409458E-2
2.818888792E0;2.510894239E-1;-1.228788853E0;2.609582245E-2
2.839047792E0;4.136042297E-1;-1.811860442E0;-1.032985747E-1
2.859206792E0;1.008901298E-1;-1.298864841E0;-2.897367999E-2
2.879365792E0;-1.319753081E-1;-2.240683511E-2;5.852971971E-2
2.899524792E0;8.891721815E-2;2.663654462E-2;2.769307699E-3
2.919683792E0;8.033934236E-2;1.364651918E-1;6.641910970E-2
2.939842792E0;2.290047854E-1;-7.644211501E-2;-4.160499573E-2
2.960001792E0;2.164045125E-1;-4.805791974E-1;-1.283868998E-1
2.980160792E0;-7.445929199E-2;-9.785570204E-2;-9.182458371E-2
3.000319792E0;-2.933494747E-2;1.199335307E-1;-3.240232170E-2
3.020478792E0;1.027622819E-1;8.004036732E-3;-9.309346229E-2
3.040638792E0;9.560787678E-2;1.044692378E-2;-1.398392320E-1
3.060797792E0;9.467976540E-2;-6.636503339E-2;-1.560799927E-1
3.080956792E0;-6.114814803E-2;-6.612903625E-2;-1.635866910E-1
3.101115792E0;1.244267970E-1;-2.296484113E-1;-1.952453107E-1
3.121274792E0;1.508655995E-1;-3.953834176E-1;-2.285564542E-1
3.141433792E0;1.090037450E-1;-5.264469981E-1;-3.348103166E-1
3.161592792E0;-1.609153673E-2;-2.506223023E-1;-2.439431995E-1
3.181751792E0;-5.579466373E-2;1.682863981E-1;-9.461480379E-2
3.201910792E0;-1.050125137E-1;4.539882243E-1;1.014139410E-2
3.222069792E0;-3.017009497E-1;4.911980629E-1;8.348827809E-2
3.242228792E0;-3.071756959E-1;3.344516754E-1;1.058286875E-1
3.262387792E0;-2.215688378E-1;2.982279062E-1;5.895768851E-2
3.282546792E0;-1.423988640E-1;2.177535892E-1;6.161454320E-2
3.302705792E0;-1.735736430E-1;1.404797733E-1;1.565207690E-1
3.322864792E0;-9.969759732E-2;4.622766748E-2;1.505196244E-1
3.343023792E0;-3.742562979E-2;1.148828417E-1;8.561086655E-2
3.363182792E0;-1.137602702E-1;3.136692345E-1;-1.328764111E-2
3.383341792E0;-5.944161117E-2;7.516111434E-2;-1.069756150E-1
3.403501792E0;5.497005209E-2;4.145465791E-2;-1.385742575E-1
3.423660792E0;2.117131203E-1;-7.530827820E-2;-3.250665367E-1
3.443819792E0;6.335246563E-1;-7.535533309E-1;-5.774195790E-1
3.463978792E0;1.556377113E-1;-5.670272112E-1;-1.907163411E-1
3.484137792E0;-2.268346399E-1;8.053782582E-2;-6.455696374E-2
3.504296792E0;-5.479780585E-2;5.526924878E-2;-6.193125248E-2
3.524455917E0;9.205324203E-2;7.397904992E-2;-3.187523782E-2
3.544614917E0;4.596641064E-1;-6.137069464E-1;-1.754493862E-1
3.564773917E0;7.569832802E-1;-1.012984157E0;-2.764397264E-1
3.584932917E0;6.850480437E-1;-8.688847423E-1;-3.722153008E-1
3.605091917E0;6.868689656E-1;-8.922162056E-1;-4.445084631E-1
3.625250917E0;4.182741046E-1;-6.320950985E-1;-2.943521738E-1
3.645409917E0;1.471400708E-1;-3.150289357E-1;2.944471687E-2
3.665568917E0;1.140814424E-1;-2.202079445E-1;9.599214792E-2
3.685727917E0;6.536941230E-2;-1.357740611E-1;1.129948571E-1
3.705886917E0;5.704421923E-2;-2.272229344E-1;6.164943799E-2
3.726045917E0;7.713049650E-2;-2.666633129E-1;1.558170840E-2
3.746204917E0;1.725435704E-1;-3.642767668E-1;-2.715728246E-2
3.766363917E0;1.727442890E-1;-4.203424752E-1;-8.225712180E-2
3.786522917E0;2.021037787E-1;-5.411639810E-1;-1.365406066E-1
3.806681917E0;1.715335846E-1;-4.891148210E-1;-1.201109365E-1
3.826840917E0;2.405686080E-1;-4.379345179E-1;-1.650670618E-1
3.847000917E0;2.318660766E-1;-4.841949344E-1;-1.164332256E-1
3.867159917E0;1.947223246E-1;-4.001235664E-1;-8.660401404E-2
3.887318917E0;2.361983806E-2;-1.115920097E-1;4.244957864E-2
3.907477917E0;-9.301627055E-3;-1.203455264E-3;-4.602409527E-2
3.927636917E0;-4.574013874E-2;6.259377301E-2;-1.597329676E-1
3.947795917E0;-8.943587542E-2;9.354436398E-2;-1.353683472E-1
3.967954917E0;-8.322925866E-2;2.187201381E-2;-6.239558756E-2
3.988113917E0;-1.134255007E-1;7.634128630E-2;4.121064767E-2
4.008272917E0;-1.580275893E-1;2.260556817E-1;7.763443142E-2
4.028431917E0;-1.840985715E-1;4.103310108E-1;1.656848937E-1
4.048590917E0;-2.526813745E-1;4.669674039E-1;1.642404050E-1
4.068749917E0;-2.549570501E-1;5.121548772E-1;1.480718106E-1
4.088908917E0;-1.964808255E-1;4.751049280E-1;1.231126860E-1
4.109067917E0;-2.849615514E-1;6.064382195E-1;8.437991887E-2
4.129226917E0;-4.776141346E-1;8.530924320E-1;6.229919568E-2
4.149385917E0;-6.124832034E-1;9.476747513E-1;4.071068764E-2
4.169544917E0;-6.062417626E-1;9.745362401E-1;1.196650341E-1
4.189703917E0;-4.645817876E-1;8.248789907E-1;2.432509810E-1
4.209862917E0;-3.057275712E-1;6.440515518E-1;2.407871336E-1
4.230021917E0;-3.981474042E-1;2.017490864E-1;6.459007412E-2
4.250180917E0;-4.859398901E-1;-2.317617983E-1;1.525394022E-1
4.270339917E0;1.438701302E-1;-1.366668105E0;1.856140643E-1
4.290498917E0;6.045413017E-1;-1.971297026E0;1.985868812E-1
4.310657917E0;5.449044704E-1;-5.998955369E-1;-4.818437696E-1
4.330816917E0;-2.407246269E-3;6.676598191E-1;-3.959816396E-1
4.350975917E0;-3.758334816E-1;9.270339608E-1;-1.859228164E-1
4.371134917E0;-5.701416135E-1;3.394090831E-1;1.383033674E-2
4.391293917E0;-1.073262811E0;-4.842043221E-1;6.672530621E-2
4.411452917E0;-1.210753322E0;-4.146149457E-1;-1.005770415E-1
4.431611917E0;-6.160368919E-1;7.700398564E-2;-4.411525428E-1
4.451770917E0;-5.228381231E-2;-4.326379299E-1;-5.549921989E-1
4.471929917E0;-1.291749720E-2;-4.420085251E-1;-4.666769207E-1
4.492088917E0;-8.473822474E-2;-1.414256990E-1;-3.903436363E-1
4.512247917E0;3.913387191E-3;9.309796989E-2;-1.045341343E-1
4.532406667E0;1.361556053E-1;-4.586989433E-2;-1.207234859E-1
4.552565667E0;4.095034897E-1;-4.836905897E-1;-2.634528279E-1
4.572725667E0;7.144754529E-1;-8.775961995E-1;-5.557627082E-1
4.592884667E0;8.590348959E-1;-1.055724621E0;-6.897365451E-1
4.613043667E0;6.441906691E-1;-7.090743184E-1;-6.059761047E-1
4.633202667E0;3.987772167E-1;-3.802830577E-1;-5.300928354E-1
4.653361667E0;4.049598575E-1;-3.605597317E-1;-3.877495229E-1
4.673520667E0;2.203258723E-1;-1.293217391E-1;-2.072634846E-1
4.693679667E0;1.489264667E-1;-5.858045444E-2;-1.773043871E-1
4.713838667E0;1.683330387E-1;-6.931737810E-2;-1.944727451E-1
4.733997667E0;1.032419801E-1;6.268318743E-2;-1.308261603E-1
4.754156667E0;1.512792427E-2;1.943229139E-1;1.649570465E-2
4.774315667E0;2.759797126E-2;1.749241650E-1;3.558911383E-2
4.794474667E0;6.427916698E-3;9.875553846E-2;1.822831109E-2
4.814633667E0;-8.804212324E-3;8.733940125E-2;7.190411910E-3
4.834792667E0;1.601186767E-2;9.727982432E-2;1.972199231E-2
4.854951667E0;2.942274138E-2;1.283443719E-1;4.504790157E-2
4.875110667E0;3.074808419E-2;9.287045151E-2;5.750636756E-2
4.895269667E0;6.278845016E-3;2.723836526E-2;2.875934541E-2
4.915428667E0;-1.204500720E-2;3.183715791E-2;7.636178285E-3
4.935587667E0;-7.733289618E-3;4.126446694E-2;2.743561752E-3
4.955746667E0;-1.007581223E-2;4.258470237E-2;1.972845010E-2
4.975905667E0;1.846144721E-2;1.139890030E-2;2.445917763E-2
4.996064667E0;2.149244770E-2;4.921386950E-3;2.272351831E-2
5.016223667E0;2.677754313E-2;-2.631926537E-2;1.435633749E-4
5.036382667E0;-8.592078462E-3;2.084978856E-3;-6.961113308E-3
5.056541667E0;4.063874111E-2;-3.270727396E-2;-1.676298864E-2
5.076700667E0;3.716917336E-2;1.077372860E-2;-2.273401618E-2
5.096859667E0;8.764474839E-2;-3.566186503E-2;-3.063279577E-2
5.117018667E0;1.680837423E-1;-1.160580292E-1;-6.533629447E-2
5.137177667E0;2.341591567E-1;-2.217714489E-1;-9.885134548E-2
5.157336667E0;9.503996372E-2;-2.409306914E-2;-1.792944670E-1
