"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.147082500E0;1.712434579E-1;8.361518383E-5;-3.970581025E-2
1.162158500E0;2.684500560E-1;3.743679821E-2;1.041242927E-2
1.177234500E0;3.153662141E-1;3.600539982E-2;4.363455445E-2
1.192310500E0;3.845415527E-1;3.080430150E-2;8.913963318E-2
1.207385500E0;3.920213109E-1;3.573058069E-2;7.574950933E-2
1.222461500E0;2.695209736E-1;4.944522500E-2;5.177943349E-2
1.237537500E0;2.167331877E-1;6.075490952E-2;-3.796538651E-2
1.252613500E0;5.888526231E-2;8.587805629E-2;-2.125620764E-1
1.267688500E0;7.311446160E-2;6.923980415E-2;-3.127330667E-1
1.282764500E0;1.413551228E-1;6.923804998E-2;-3.758508360E-1
1.297840500E0;2.405873425E-1;5.266528666E-2;-3.234896046E-1
1.312916500E0;3.695164011E-1;2.776257992E-2;-2.192974842E-1
1.327991500E0;3.623760737E-1;-7.770949602E-4;-1.409003556E-1
1.343067500E0;1.673636842E-1;-1.076565957E-1;9.460268676E-2
1.358143500E0;4.876153931E-2;-2.353381509E-1;1.930446553E-1
1.373219500E0;-2.842631198E-1;-3.691417408E-1;2.020049286E-1
1.388295500E0;-2.130327773E-1;-2.878981876E-1;2.279156953E-1
1.403370500E0;3.684798360E-2;3.479736507E-2;1.922061646E-1
1.418446500E0;2.005058487E-1;1.947011715E-1;1.705428153E-1
1.433522500E0;3.895849223E-1;3.739066368E-1;1.658477935E-1
1.448598500E0;4.589861096E-1;4.071889883E-1;1.550848237E-1
1.463673500E0;4.826407282E-1;2.746881580E-1;1.202836579E-1
1.478749500E0;4.194864137E-1;1.131295896E-1;8.962261319E-2
1.493825500E0;1.804456598E-1;-1.484894568E-1;-9.098267555E-4
1.508901500E0;7.893390298E-2;-2.356123853E-1;-4.173216283E-2
1.523976500E0;4.732692495E-2;-1.430497921E-1;-1.303888160E-1
1.539052500E0;5.054640189E-2;-5.345466077E-2;-2.353834668E-1
1.554128500E0;-2.088186890E-2;1.129114884E-1;-3.886462981E-1
