"Time (s)";"X (hPa)"
1.170881669E2;1.008373566E3
1.180887449E2;1.008394852E3
1.190893219E2;1.008415756E3
1.200898949E2;1.008429413E3
1.210904719E2;1.008433075E3
1.220910539E2;1.008433075E3
1.230916249E2;1.008424301E3
1.240922079E2;1.008409653E3
1.250927859E2;1.008382797E3
1.260933559E2;1.008357697E3
1.270940769E2;1.008344650E3
1.280945109E2;1.008324203E3
1.290950919E2;1.008267975E3
1.300956609E2;1.008189926E3
1.310962389E2;1.008125305E3
1.320968179E2;1.008096390E3
1.330973899E2;1.008096390E3
1.340979699E2;1.008114548E3
1.350985529E2;1.008176270E3
1.360991209E2;1.008225021E3
1.370997069E2;1.008228760E3
1.381002809E2;1.008228760E3
1.391008539E2;1.008228760E3
1.401014269E2;1.008234863E3
1.411020049E2;1.008265305E3
1.421025819E2;1.008294144E3
1.431031579E2;1.008294144E3
1.441037349E2;1.008261414E3
1.451045459E2;1.008261414E3
1.461048859E2;1.008275833E3
1.471054649E2;1.008310242E3
1.481060399E2;1.008337860E3
1.491066179E2;1.008381042E3
1.501071919E2;1.008381042E3
1.511077749E2;1.008321075E3
1.521083569E2;1.008233795E3
1.531089209E2;1.008155212E3
1.541094989E2;1.008100662E3
1.551100779E2;1.008053970E3
1.561106519E2;1.008012085E3
1.571112309E2;1.007956467E3
1.581118149E2;1.007899170E3
1.591123819E2;1.007822876E3
1.601129629E2;1.007741165E3
1.611135389E2;1.007716522E3
1.621141139E2;1.007716522E3
1.631146939E2;1.007790070E3
1.641152629E2;1.007888565E3
1.651158419E2;1.007996826E3
1.661164209E2;1.008027039E3
1.671169989E2;1.008041840E3
1.681175709E2;1.008029785E3
1.691181469E2;1.008029785E3
1.701187289E2;1.007917175E3
1.711193059E2;1.007879944E3
1.721198829E2;1.007879944E3
1.731204579E2;1.007881622E3
1.741210349E2;1.007900620E3
1.751216169E2;1.008021545E3
1.761225359E2;1.008147125E3
1.771227619E2;1.008236923E3
1.781233419E2;1.008269958E3
1.791239159E2;1.008291245E3
1.801244959E2;1.008306427E3
1.811250759E2;1.008306427E3
1.821256469E2;1.008295059E3
1.831262219E2;1.008255234E3
1.841267969E2;1.008215256E3
1.851273739E2;1.008177567E3
1.861279499E2;1.008117523E3
1.871285259E2;1.008062286E3
1.881291009E2;1.008031235E3
1.891296859E2;1.007986755E3
1.901302559E2;1.007933426E3
1.911308299E2;1.007907791E3
1.921314149E2;1.007851410E3
1.931319879E2;1.007845459E3
1.941325619E2;1.007767105E3
1.951331379E2;1.007701797E3
1.961337139E2;1.007623444E3
1.971342909E2;1.007589569E3
1.981348699E2;1.007582626E3
