"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
3.147650000E-2;5.596554279E-2;2.140549198E-2;1.670475863E-2
4.655250000E-2;4.438680783E-2;2.004715800E-2;1.762057096E-2
6.162750000E-2;3.452772647E-2;1.096319687E-2;1.606975496E-2
7.670604167E-2;2.239543200E-2;7.594299503E-3;1.020680461E-2
9.178204167E-2;1.476489473E-2;1.420107577E-2;1.532844268E-3
1.068580417E-1;1.665824093E-2;8.717535995E-3;2.270377707E-3
1.219340417E-1;1.615564525E-2;1.126972679E-2;2.559803892E-3
1.370090417E-1;1.837538928E-2;1.590575650E-2;5.187544972E-3
1.520850417E-1;1.614807174E-2;2.029379830E-2;1.770646777E-3
1.671610417E-1;1.438154932E-2;2.322088368E-2;4.057991784E-3
1.822370417E-1;1.648895629E-2;1.873930916E-2;6.240496412E-3
1.973120417E-1;2.088477090E-2;1.527693495E-2;7.796315476E-3
2.123880417E-1;2.778603882E-2;1.543166861E-2;8.349142969E-3
2.274640417E-1;3.002025746E-2;1.051124651E-2;2.482876647E-3
2.425400417E-1;3.174775466E-2;7.222741842E-3;6.254436448E-4
2.576160417E-1;2.996343747E-2;1.033384539E-2;-3.958922345E-3
2.726910417E-1;2.868530527E-2;1.284238324E-2;-7.197246421E-3
2.877670417E-1;3.125615790E-2;1.574886963E-2;-1.286940835E-2
3.028430417E-1;4.349125549E-2;2.136254683E-2;7.754110266E-3
3.179190417E-1;6.510920078E-2;3.121491149E-2;-9.211556986E-3
3.329940417E-1;9.536749870E-2;4.736432061E-2;-1.877869666E-2
3.480700417E-1;1.354977190E-1;6.940309703E-2;-2.810529247E-2
3.631460417E-1;1.794524938E-1;7.392983139E-2;-3.688954189E-2
3.782220417E-1;2.121481150E-1;9.853743762E-2;-5.029749125E-2
3.932980417E-1;2.241874337E-1;1.080708578E-1;-7.132781297E-2
4.083730417E-1;2.173878402E-1;1.183296591E-1;-1.015067026E-1
4.234490417E-1;1.939063966E-1;1.284056604E-1;-1.394153982E-1
4.385250417E-1;1.632414311E-1;1.190305278E-1;-1.915230751E-1
4.536010417E-1;1.420881301E-1;1.067913845E-1;-2.544613183E-1
4.686760417E-1;1.414680481E-1;1.009442434E-1;-3.055568337E-1
4.837520417E-1;1.562359780E-1;1.095960140E-1;-3.422385454E-1
4.988280417E-1;1.795106828E-1;1.068841219E-1;-3.745629489E-1
5.139040417E-1;2.025132924E-1;1.165752709E-1;-3.936342597E-1
5.289790417E-1;2.167252600E-1;1.096788794E-1;-3.674135208E-1
5.440550417E-1;2.232493609E-1;9.173645824E-2;-3.131847680E-1
5.591310417E-1;2.197752595E-1;8.505698293E-2;-2.469636798E-1
5.742070417E-1;2.184219360E-1;6.687511504E-2;-1.707339436E-1
5.892830417E-1;2.076800168E-1;5.902034044E-2;-1.077935994E-1
6.043580417E-1;2.059718370E-1;6.095031276E-2;-4.384223372E-2
6.194340417E-1;2.053755522E-1;7.605282962E-2;-1.617551316E-3
6.345100417E-1;2.106682658E-1;9.766405076E-2;1.293713972E-2
6.495860417E-1;2.274675816E-1;9.789051861E-2;4.999173339E-3
6.646610417E-1;2.373127043E-1;8.172643185E-2;-1.619148534E-3
6.797370417E-1;2.428701967E-1;7.821159065E-2;-1.356901973E-2
6.948130417E-1;2.646780312E-1;6.548487395E-2;-1.871584356E-2
7.098890417E-1;2.932208776E-1;5.029575154E-2;-1.733399183E-2
7.249650417E-1;2.997325063E-1;3.876821697E-2;-6.314463913E-3
7.400400417E-1;2.724423110E-1;2.660476416E-2;1.377482526E-2
7.551160417E-1;2.211636305E-1;1.000009943E-2;2.428011037E-2
7.701920417E-1;1.587709934E-1;6.454803050E-3;2.526456304E-2
7.852680417E-1;1.165124252E-1;2.139545977E-3;3.141539544E-2
8.003430417E-1;7.413779944E-2;-4.003033973E-3;3.369426355E-2
8.154190417E-1;3.557363153E-2;-7.535184734E-3;1.895686239E-2
8.304950417E-1;2.482442930E-2;-2.205814794E-2;-1.651414670E-3
8.455710417E-1;2.392233908E-2;-2.604909614E-2;-1.362016797E-2
8.606470417E-1;-5.585027393E-4;-3.003877774E-2;-2.271246724E-2
8.757220417E-1;-1.850997098E-2;-4.131917655E-2;-2.682875842E-2
8.907980417E-1;-3.618552163E-2;-4.293060303E-2;-2.288508415E-2
9.058740417E-1;-5.311662331E-2;-4.749810696E-2;-1.400563307E-2
9.209500417E-1;-8.982723951E-2;-3.434901312E-2;-9.351491928E-3
9.360250417E-1;-1.258853525E-1;-3.876025602E-2;4.001222551E-4
9.511010417E-1;-1.531140655E-1;-2.224428952E-2;4.073544871E-3
9.661770417E-1;-1.623267382E-1;-1.160721574E-2;1.508647390E-2
9.812530417E-1;-1.637262255E-1;-6.743484642E-3;1.437913813E-2
9.963280417E-1;-1.528026164E-1;-1.891842112E-2;3.057389706E-2
1.011404042E0;-1.357819140E-1;-2.510741353E-2;4.896415398E-2
1.026480042E0;-1.059469655E-1;-2.234525234E-2;7.123535126E-2
1.041556042E0;-6.917617470E-2;-1.327852067E-2;9.316781163E-2
1.056632042E0;-3.000455350E-2;-6.152763963E-3;1.169972718E-1
1.071703500E0;1.777989091E-3;-5.421894602E-3;1.332432032E-1
1.086779500E0;1.508354675E-2;-2.569311298E-3;1.409261376E-1
1.101855500E0;2.425414324E-2;-4.827671684E-3;1.389759034E-1
1.116931500E0;2.416332066E-2;-2.062813006E-2;1.329840422E-1
1.132006500E0;1.706900448E-2;-2.950956672E-2;1.293756962E-1
1.147082500E0;4.154039081E-3;-2.830272913E-2;1.211189777E-1
1.162158500E0;7.976572379E-4;-2.159768716E-2;1.091424748E-1
1.177234500E0;1.003128663E-2;-1.352394093E-2;9.579319507E-2
1.192310500E0;1.367414650E-2;-6.840937305E-3;7.254967839E-2
1.207385500E0;2.608153597E-2;-2.549926750E-3;4.958076030E-2
1.222461500E0;4.022744671E-2;-1.387182344E-2;2.907308750E-2
1.237537500E0;4.103326797E-2;-2.533878013E-2;1.645132434E-3
1.252613500E0;3.801853955E-2;-2.133069560E-2;4.643457942E-3
1.267688500E0;3.356361389E-2;-5.648796447E-3;-5.030781962E-3
1.282764500E0;4.161594808E-2;1.405113842E-2;-1.446929108E-2
1.297840500E0;4.464324936E-2;2.118723467E-2;-3.401058167E-2
1.312916500E0;3.151068836E-2;3.670469671E-2;-5.110895634E-2
1.327991500E0;1.639604568E-2;5.834200606E-2;-7.280091196E-2
