sensor,axis,start_time,end_time,start_idx,end_idx,mean,std,min,max,range,median,variance,dominant_freq,spectral_centroid,activity
Accelerometer,Acceleration x (m/s^2),55.02211469,60.00524571,3300,3600,0.3935648614367366,3.6891719234189493,-7.815272808,13.34348488,21.158757688,-0.031124622565000003,13.609989480542671,3.6,9.721417091023161,walking
Accelerometer,Acceleration x (m/s^2),60.0219117,65.00504258,3600,3900,0.0316373760715833,3.5693432198723465,-9.523535728,14.60881996,24.132355688,-0.5446808934,12.740211021248689,3.6,9.36012712452762,walking
Accelerometer,Acceleration x (m/s^2),65.02170857,70.00483946,3900,4200,0.4933551911567334,3.9844486254207134,-8.446145058,13.21898651,21.665131568,0.068234745415,15.875830848617012,3.6,9.550926152500711,walking
Accelerometer,Acceleration x (m/s^2),70.02150545,75.00463633,4200,4500,0.09821813516113335,3.8581973691574563,-8.06726265,13.21719074,21.28445339,-0.5476736128499999,14.885686939373517,3.6,9.697280820285277,walking
Accelerometer,Acceleration x (m/s^2),75.02130232,80.00443321,4500,4800,0.5160761689988334,4.4695463055934965,-10.53448772,20.14900208,30.683489799999997,0.1613093391,19.976844177844473,3.6,10.17558296246059,walking
Accelerometer,Acceleration x (m/s^2),80.0210992,85.00423008,4800,5100,-0.05251083256633331,3.6855743190702475,-9.764751434,13.74032402,23.505075454,-0.5147533715,13.583458061390118,3.6,9.549190045253752,walking
Accelerometer,Acceleration x (m/s^2),85.02089607,90.00402696,5100,5400,-5.17648953129256,5.490282967986386,-22.10805893,4.378396511,26.486455440999997,-3.6568437815,30.1432070685614,0.4,7.0367748507381185,walking
Accelerometer,Acceleration x (m/s^2),90.02069295,95.00382383,5400,5700,-4.552524668358097,5.52197122123968,-21.98894691,12.27387524,34.26282215,-4.4804491995,30.492166168199237,3.6,9.467968209255298,walking
Accelerometer,Acceleration x (m/s^2),95.02048982,100.0036207,5700,6000,-3.0602865860897333,4.572035060284577,-18.08280754,7.799710751,25.882518291,-2.9667150975,20.903504592471396,3.6,9.026042853851772,walking
Accelerometer,Acceleration x (m/s^2),100.0202867,105.0034176,6000,6300,-0.32175078031173,3.8359620478686316,-12.29242992,10.42315674,22.71558666,-0.50487728415,14.714604832688504,4.4,9.618628769604168,walking
