"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
1.400553197E0;5.554547906E-1;3.299808502E0;1.153646088E1
1.417219187E0;3.609259129E-1;2.583942175E0;1.202068806E1
1.433885176E0;4.531026781E-1;1.867477298E0;1.262043571E1
1.450551166E0;8.894459605E-1;1.388636947E0;1.323933697E1
1.467217155E0;1.328781962E0;1.069609642E0;1.312740803E1
1.483883145E0;1.590348482E0;1.118092179E0;1.184650993E1
1.500549135E0;1.587355733E0;1.352723956E0;1.003769016E1
1.517215124E0;1.693897724E0;1.500565886E0;8.472481728E0
1.533881114E0;1.307832718E0;1.605312228E0;7.485471725E0
1.550547103E0;1.068412542E0;1.267131209E0;7.019799232E0
1.567213093E0;8.631097078E-1;1.207276225E0;7.126341343E0
1.583879083E0;8.421604633E-1;1.237203717E0;7.759009361E0
1.600545072E0;5.345055461E-1;1.267131209E0;7.821258545E0
1.617211062E0;1.939303428E-1;1.429338455E0;7.771578789E0
1.633877051E0;-1.556231081E-2;1.720832467E0;7.963114738E0
1.650543041E0;-1.807622313E-1;1.954267144E0;8.118139267E0
1.667209030E0;-1.448491961E-1;2.288856745E0;7.834426403E0
1.683875020E0;-1.825578809E-1;2.674921751E0;7.338826656E0
1.700541010E0;-9.397241473E-2;2.872443438E0;6.984484673E0
1.717206999E0;-1.137245819E-2;2.980781078E0;6.919841290E0
1.733872989E0;2.873041928E-1;3.036446333E0;7.258621216E0
1.750538978E0;3.232172430E-1;2.962824583E0;7.577648163E0
1.767204968E0;3.782838583E-1;2.883217335E0;8.009801865E0
1.783870958E0;6.494272351E-1;3.005920172E0;8.345588684E0
1.800536947E0;8.577227592E-1;3.126228809E0;8.372523308E0
1.817202937E0;8.720879555E-1;3.304596901E0;8.645462036E0
1.833868926E0;6.895300746E-1;3.465008497E0;9.125499725E0
1.850534916E0;6.368576288E-1;3.711611271E0;9.606734276E0
1.867200905E0;6.494272351E-1;4.114435673E0;9.789292336E0
1.883866895E0;4.572925270E-1;4.488529682E0;9.686940193E0
1.900532885E0;1.490390599E-1;4.480748653E0;9.503783226E0
1.917198874E0;4.070143029E-2;4.477755547E0;9.482235909E0
1.933864864E0;-4.309562966E-2;4.320935726E0;9.951498985E0
1.950530853E0;-3.471592441E-2;3.978564739E0;1.045128918E1
1.967196843E0;-4.788403213E-2;3.912125587E0;1.092175007E1
