"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
2.105145834E-2;-4.232448578E0;7.822133789E0;5.376519470E0
3.742945834E-2;-4.274062042E0;8.074808350E0;5.586083679E0
5.380645834E-2;-4.879552917E0;8.141569519E0;5.344037018E0
7.018845833E-2;-5.588927765E0;8.850794678E0;5.291945343E0
8.656545833E-2;-5.724545746E0;8.793164520E0;5.348527679E0
1.029434583E-1;-5.172493744E0;7.417824554E0;4.896168365E0
1.193204583E-1;-5.030439148E0;6.914870453E0;3.317251740E0
1.357024583E-1;-3.917054443E0;6.380930786E0;1.990560608E0
1.520794583E-1;-2.642604675E0;6.521338806E0;1.688339081E0
1.684574583E-1;-2.390678558E0;6.410120087E0;2.468516693E0
1.848354583E-1;-1.847308502E0;5.984854431E0;3.226690063E0
2.012164583E-1;-6.709048462E-1;5.943540344E0;7.301666107E0
2.175934583E-1;5.143304443E-1;5.614823914E0;1.278401550E1
2.339714583E-1;1.051862640E0;4.320764923E0;1.094748459E1
2.503494583E-1;7.914042664E-1;2.643053741E0;5.406157837E0
2.667304583E-1;-6.020480347E-1;3.625610504E0;7.663164368E0
2.831074583E-1;1.215472412E-1;3.686683502E0;7.824977875E0
2.994854583E-1;8.602610779E-1;4.696034546E0;1.131467102E1
3.158634583E-1;-7.116201782E-1;1.600322113E0;6.434669037E0
3.322444583E-1;-3.202141113E0;8.153544617E-1;3.560346222E0
3.486214583E-1;-2.222428436E0;3.212319946E0;1.174113419E1
3.649994583E-1;-1.095422058E0;4.242777100E0;1.348485809E1
3.813774583E-1;1.589694214E0;1.715732117E0;1.268312531E1
3.977584583E-1;2.258503418E0;2.073188782E-1;8.700058136E0
4.141364583E-1;1.780098267E0;1.653760986E0;5.896089020E0
4.305134583E-1;2.051783295E0;1.941612396E0;3.738924866E0
4.468914583E-1;2.787952423E0;2.221679993E0;4.566703491E0
4.632724583E-1;4.182003479E0;1.568139038E0;7.784112854E0
4.796504583E-1;3.774401093E0;4.890330505E-1;9.616901550E0
4.960274583E-1;3.640279999E0;-6.137237549E-2;1.054362442E1
5.124054583E-1;5.352868652E0;1.248104553E0;1.091560089E1
5.287864583E-1;4.519102478E0;-3.489244080E-1;7.860603790E0
5.451639583E-1;2.150877228E0;8.716374207E-1;5.670208740E0
5.615409583E-1;4.135749664E0;2.307900696E0;3.191513214E0
5.779189583E-1;3.818708954E0;1.516197052E0;4.169130249E0
5.942999583E-1;3.425177307E0;-2.221380615E-1;6.090684357E0
6.106779583E-1;2.073937225E0;-1.229243774E0;8.905131683E0
6.270559583E-1;2.682870941E0;-1.484463043E0;6.290518799E0
6.434329583E-1;3.745211792E0;7.349716187E-2;5.789810028E0
6.598139583E-1;6.098468170E0;6.083349609E-1;8.253985748E0
6.761919583E-1;6.828949127E0;4.770579529E-1;9.239685974E0
6.925699583E-1;7.086413727E0;1.275946655E0;7.969277802E0
7.089469583E-1;7.450307007E0;8.876541138E-1;5.459596710E0
7.253289583E-1;8.441396027E0;1.334924011E0;5.442831573E0
7.417059583E-1;9.302255859E0;1.622176666E0;7.257957001E0
7.580839583E-1;9.251661072E0;1.107846222E0;8.067323914E0
7.744619583E-1;9.700727234E0;7.698490906E-1;7.615263977E0
7.908429583E-1;1.114118179E1;1.178050232E0;8.239615631E0
8.072199583E-1;1.304207886E1;1.768123169E0;8.619076538E0
8.235979583E-1;1.351988525E1;1.956880646E0;8.357720032E0
8.399759583E-1;1.330822540E1;2.085912323E0;6.874753876E0
8.563569583E-1;1.267100052E1;2.947370911E0;4.662354584E0
8.727339583E-1;1.175700119E1;2.629432068E0;4.281097412E0
8.891119583E-1;1.141735748E1;1.465003510E0;4.107757874E0
9.054899583E-1;1.070947952E1;3.225791931E-1;4.942272491E0
9.218709583E-1;1.003123993E1;-8.680448914E-1;5.635181580E0
9.382489583E-1;1.022957748E1;-8.643026733E-1;5.231321411E0
9.546259583E-1;1.015922379E1;-5.390290833E-1;5.485492859E0
9.710039583E-1;1.120899078E1;-4.291575623E-1;4.398902435E0
9.873849583E-1;1.195713501E1;-2.350112915E-1;4.275558929E0
1.002503958E0;1.192974197E1;-3.239263916E-1;4.346810760E0
1.017622958E0;1.156674683E1;-4.634362793E-1;2.081122284E0
1.032740958E0;1.137978561E1;-3.496728516E-1;-2.070195007E-1
1.047859958E0;9.485474854E0;-9.087602234E-1;-2.989732819E0
1.062977958E0;9.564809875E0;-1.764680328E0;1.294508057E0
1.078096958E0;9.314680023E0;-2.542313232E0;3.631448364E0
1.093215958E0;9.000483398E0;-3.008294220E0;5.645360413E0
1.108333958E0;9.009165344E0;-3.130140839E0;5.882467346E0
1.123452958E0;9.197024689E0;-2.280058594E0;4.790338440E0
1.138571958E0;9.605525208E0;-1.953587494E0;3.379222870E0
1.153689958E0;8.852141876E0;-1.805096283E0;1.780397644E0
1.168808958E0;9.155261536E0;-2.324366455E0;1.311871948E0
1.183927958E0;8.611741791E0;-2.385140076E0;5.273533630E-1
1.199045958E0;6.874753876E0;-3.292403412E0;1.539398804E0
1.214164958E0;7.359445953E0;-2.904709625E0;7.092251587E-1
1.229283958E0;9.652976532E0;-1.858984222E0;1.513352966E0
1.244401958E0;1.022014709E1;-1.419797516E0;9.122030640E-1
1.259520958E0;9.683962097E0;-1.369651794E0;7.804769897E-1
1.274639958E0;9.093140717E0;-1.302142181E0;9.729766846E-1
1.289757958E0;8.591533813E0;-1.151255951E0;1.855840759E0
1.304876958E0;8.343649292E0;-7.337741089E-1;2.017354889E0
1.319995958E0;8.636290741E0;-8.891510010E-1;2.256707153E0
1.335113958E0;9.646240540E0;-5.821394348E-1;2.217937775E0
1.350232958E0;1.045740372E1;-3.722758484E-1;1.694027252E0
1.365351958E0;1.071786209E1;-3.897894287E-1;1.055904236E0
1.380469958E0;9.853858795E0;-9.313632202E-1;7.896080017E-1
1.395588958E0;8.447233887E0;-1.794318695E0;7.315287781E-1
1.410707958E0;7.166946259E0;-2.454745331E0;6.692582703E-1
1.425825958E0;5.981411591E0;-5.593867493E0;5.631289673E-1
1.440944958E0;6.279890900E0;-1.546284485E0;-1.859882355E0
1.456063958E0;7.599696350E0;-3.898942108E0;9.237290955E-1
1.471181958E0;1.132859207E1;-3.498375092E0;2.872975616E0
1.486300958E0;1.207673630E1;-3.528612213E0;2.949616241E0
1.501419958E0;1.302022430E1;-3.096311188E0;1.778601379E0
1.516537958E0;1.066981201E1;-3.388054504E0;3.746708679E-1
1.531656958E0;7.375762024E0;-5.581293640E0;-8.032296753E-1
1.546775708E0;5.939049683E0;-5.786816254E0;-1.372645569E-1
1.561894708E0;6.273005219E0;-4.533173218E0;9.574090576E-1
1.577013708E0;8.661887512E0;-4.424349518E0;1.360221405E0
1.592131708E0;9.779463501E0;-4.147425385E0;1.118025055E0
1.607250708E0;1.072115524E1;-3.026107178E0;4.412823486E-1
1.622369708E0;1.030517029E1;-3.508703613E0;-6.825805664E-2
1.637487708E0;9.943222961E0;-2.591710510E0;2.915936279E-1
1.652606708E0;9.269174652E0;-4.578678589E0;-3.372486877E-1
1.667725708E0;8.676407318E0;-3.846850433E0;9.488768005E-1
1.682843708E0;8.425678711E0;-4.642146606E0;4.222718811E-1
1.697962708E0;8.247549133E0;-5.131928101E0;-3.082090759E-1
1.713081708E0;6.535110168E0;-6.104755096E0;-9.261241150E-1
1.728199708E0;4.306993561E0;-7.141050110E0;-5.766009521E-1
1.743318708E0;4.163142700E0;-8.573870544E0;3.480262756E-1
1.758437708E0;7.909701691E0;-7.736362152E0;6.652166748E-1
1.773555708E0;9.719887390E0;-6.655609589E0;-3.435356140E-1
1.788674708E0;1.161045593E1;-4.217479706E0;-2.169288940E0
1.803793708E0;9.436826019E0;-3.491339722E0;-2.953807526E0
1.818911708E0;5.024301910E0;-4.405039673E0;-1.848955078E0
1.834030708E0;4.275858307E0;-5.251230011E0;2.033521271E0
1.849149708E0;4.577780457E0;-5.128934326E0;-1.263372803E-1
1.864267708E0;5.108876038E0;-5.111869812E0;-7.132667542E-1
1.879386708E0;2.640209656E0;-5.356012115E0;-1.042282562E0
1.894505708E0;7.483687592E0;-5.310357056E0;-4.611909485E-1
1.909623708E0;4.672533417E0;-9.119785309E0;-1.639540558E0
1.924742708E0;8.048313446E0;-4.244423676E0;-2.507735138E0
1.939861708E0;6.917714539E0;-8.463999023E0;3.103047180E-1
1.954979708E0;5.522615662E0;-1.178634018E1;-1.059496765E0
1.970098708E0;5.439239044E0;-1.519175858E1;-9.602531433E-1
1.985217708E0;2.963237915E0;-2.289444077E1;1.314716034E0
2.000335708E0;4.098626862E0;-1.557915298E1;-1.133892059E0
2.015454708E0;4.716092834E0;-1.035890854E1;-2.089804230E0
2.030573708E0;3.187172241E0;-8.083490295E0;-3.258124695E0
2.045691708E0;3.237317963E0;-5.410049744E0;-3.788771210E0
2.060810708E0;2.313588867E0;-5.171595612E0;-1.986369324E0
2.075929708E0;3.144960022E0;-6.078858948E0;4.483027496E0
2.091047708E0;2.820584564E0;-1.010608429E1;-3.424428864E0
2.106166708E0;3.577859802E0;-1.140792709E1;-3.570525055E0
2.121285708E0;3.581003265E0;-1.115315689E1;-2.116448822E0
2.136403708E0;4.298610992E0;-7.978408813E0;-1.361418915E0
