"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
3.617045833E-2;-2.458572918E-1;3.752181673E-1;1.038259093E0
5.128845834E-2;-5.560789794E-1;3.642137074E-1;8.437374312E-1
6.640745833E-2;-1.415977238E0;1.045065837E0;5.940537214E-1
8.152645834E-2;-1.765016836E0;1.434086941E0;6.057130694E-1
9.664445834E-2;-1.326222477E0;2.767159724E-1;3.129976532E-1
1.117634583E-1;-1.126791785E0;-1.209946793E-1;-3.258162117E-1
1.268824583E-1;-8.002648446E-1;-6.684776670E-1;-2.568406432E0
1.420004583E-1;-4.970571846E-2;-7.643749273E-1;-3.741083658E0
1.571194583E-1;9.673268124E-1;-5.164962530E-1;-3.553522521E0
1.722374583E-1;6.425385413E-1;-3.023788172E-1;-3.902490199E0
1.873564583E-1;8.095543161E-1;-5.074962187E-1;-3.287167230E0
2.024754583E-1;1.004652514E0;-2.295991087E-1;-1.220042596E0
2.175934583E-1;2.162216441E0;-1.569357598E-1;5.024674963E0
2.327124583E-1;2.462157554E0;-3.864880908E-1;4.814702618E0
2.478314583E-1;2.472936603E0;-2.097093953E0;-2.471078358E0
2.629494583E-1;1.456903654E0;-1.493276551E0;-2.910569120E0
2.780684583E-1;1.237789480E0;-2.600481918E-1;-8.560984451E-1
2.931874583E-1;1.596437808E0;4.942034510E-1;-4.976383978E-1
3.083054583E-1;1.661982172E0;-3.707339376E-1;6.633344561E-1
3.234244583E-1;-3.372119234E-1;-2.160666929E0;-3.817128451E0
3.385424583E-1;-2.692721453E0;-2.068489959E0;-3.934851614E0
3.536614583E-1;-2.037718695E0;1.313211545E-1;2.429344441E0
3.687804583E-1;-9.617958581E-1;7.570314091E-1;4.680534162E0
3.838984583E-1;8.939770735E-1;-7.796060470E-1;4.195014119E0
3.990174583E-1;2.139600580E0;-2.609687482E0;-9.037456512E-1
4.141364583E-1;1.767407470E0;-1.736772738E0;-2.706073278E0
4.292544583E-1;1.660135621E0;-1.105348584E0;-5.479339249E0
4.443734583E-1;1.769261622E0;-1.085083888E0;-5.535000649E0
4.594924583E-1;2.749313437E0;-1.448352978E0;-2.104835667E0
4.746104583E-1;2.506369813E0;-2.124628492E0;-3.110952616E-1
4.897294583E-1;1.108074117E0;-3.414347679E0;9.705863428E-1
5.048474583E-1;1.319482392E0;-3.105080257E0;2.025556194E0
5.199664583E-1;3.274643956E0;-2.222528424E0;1.072540734E0
5.350849583E-1;1.236925554E0;-3.665864783E0;-1.183300447E0
5.502029583E-1;2.468431324E-2;-1.690538803E0;-4.366418229E0
5.653219583E-1;8.144843960E-1;-6.323874825E-1;-5.601492847E0
5.804409583E-1;-1.182713386E-1;-1.592680679E0;-4.191358439E0
5.955589583E-1;-1.336852715E0;-2.771319726E0;-2.786946117E0
6.106779583E-1;-3.021397830E0;-3.942483984E0;9.734239966E-1
6.257969583E-1;-4.265892313E0;-4.309169310E0;4.928887045E-1
6.409149583E-1;-2.701726457E0;-2.614988568E0;-1.658177973E0
6.560339583E-1;-1.832806823E0;-1.560674044E0;1.873003507E-1
6.711529583E-1;-4.119761038E-1;-1.567089901E0;2.654034812E0
6.862709583E-1;-3.654439616E-1;-7.774490091E-1;2.713894513E0
7.013899583E-1;-1.300134248E-1;-9.549051337E-2;6.967951477E-2
7.165079583E-1;-8.280183613E-2;4.432394117E-2;-8.477304947E-1
7.316269583E-1;1.090042035E0;1.075891261E0;2.303089607E-1
7.467459583E-1;1.205723349E0;1.367061186E0;1.724677187E0
7.618639583E-1;9.765610278E-1;1.017358659E0;2.829129100E0
7.769829583E-1;1.072894490E0;1.055149799E0;2.854117177E0
7.921019583E-1;2.635982704E0;1.746981830E0;3.782676364E0
8.072199583E-1;3.817420228E0;2.394905511E0;4.290794435E0
8.223389583E-1;4.700070879E0;2.925978580E0;4.202890903E0
8.374579583E-1;4.660639595E0;3.159363468E0;3.686509840E0
8.525759583E-1;4.285910840E0;4.245476174E0;7.797741544E-1
8.676949583E-1;3.447192659E0;4.450110011E0;-1.172945613E-1
8.828139583E-1;2.910790145E0;3.621091191E0;-1.831909275E-1
8.979319583E-1;2.531939687E0;2.987515847E0;1.894030094E-1
9.130509583E-1;1.472134189E0;1.455291869E0;1.446296512E0
9.281699583E-1;1.141397545E0;9.951233062E-1;1.909992116E0
9.432879583E-1;1.435161075E0;1.185363637E0;1.636882121E0
9.584069583E-1;1.242521047E0;1.502768629E0;2.030590354E0
9.735259583E-1;2.465383755E0;1.646558825E0;8.474945596E-1
9.886439583E-1;2.873919942E0;1.841423718E0;8.194065821E-1
1.003762958E0;2.904085143E0;1.838546888E0;9.958316964E-1
1.018881958E0;2.516860887E0;1.700613556E0;-4.040893793E-2
1.033999958E0;2.274613667E0;1.747286177E0;-3.600262824E0
1.049118958E0;8.116677922E-1;1.324995001E0;-5.854013625E0
1.064236958E0;5.662899721E-1;2.266364707E-1;-1.718335882E0
1.079355958E0;3.647627610E-1;-3.445325643E-1;-1.379247075E-1
1.094474958E0;-1.014959693E-1;-1.041361480E0;2.622071008E0
1.109592958E0;-1.684068274E-1;-1.259955398E0;3.013187462E0
1.124711958E0;3.187375724E-2;-2.827359733E-1;1.874248964E0
1.139830958E0;1.899193186E-1;-9.837355614E-3;1.551613637E0
1.154948958E0;-5.325351655E-1;-3.064876556E-2;-6.765691902E-1
1.170067958E0;-3.653071368E-1;-5.269035660E-1;-9.053730775E-1
1.185186958E0;-9.452374935E-1;-7.212302233E-1;-1.461032665E0
1.200304958E0;-2.207650768E0;-1.255208774E0;-5.073519386E-1
1.215423958E0;-1.982400234E0;-1.087200873E0;-9.835385102E-1
1.230542958E0;-3.106888801E-1;-3.748421913E-1;-3.676822758E-1
1.245660958E0;7.250991797E-1;3.531269480E-1;-1.063383994E0
1.260779958E0;3.685160887E-1;3.783933516E-1;-1.136114586E0
1.275898958E0;-3.988309783E-1;4.420932113E-1;-9.172457027E-1
1.291016958E0;-7.381741387E-1;4.796792597E-1;-3.110955539E-1
1.306135958E0;-1.107039306E0;9.665460630E-1;-5.820903182E-4
1.321254958E0;-9.904715538E-1;7.654882371E-1;1.598897731E-1
1.336372958E0;2.493919337E-1;1.137742158E0;2.333647156E-1
1.351491958E0;7.830901104E-1;1.294263497E0;-5.646188378E-2
1.366610958E0;1.167938057E0;1.278470606E0;-7.470521124E-1
1.381728958E0;6.490824527E-1;1.081487851E0;-8.900861169E-1
1.396847958E0;-1.159187114E0;-1.948401891E-1;-8.976120682E-1
1.411966958E0;-1.953584570E0;-5.333727792E-1;-8.882844436E-1
1.427084958E0;-3.819681931E0;-3.524492265E0;-1.038811070E0
1.442203958E0;-4.626266738E0;8.106711343E-1;-2.707129869E0
1.457322958E0;-1.728514715E0;-1.452704622E0;-7.431409098E-2
1.472440958E0;1.123910277E0;-8.971891683E-1;1.543005951E0
1.487559958E0;3.006061753E0;-7.628645915E-1;1.982710136E0
1.502678958E0;3.763556846E0;-1.323812547E-1;1.194907097E0
1.517796958E0;1.095717342E0;-3.887910166E-1;-7.496878910E-1
1.532915958E0;-1.153663250E0;-1.728057170E0;-1.643310258E0
1.548034708E0;-3.247561700E0;-2.262788258E0;-7.998453800E-1
1.563153708E0;-3.039618339E0;-1.197140806E0;-2.419102751E-2
1.578272708E0;-1.599441522E-1;-5.070693719E-1;8.623444408E-1
1.593390708E0;6.053908879E-1;-1.767499271E-1;7.540961069E-1
1.608509708E0;1.946911728E0;1.330111168E0;1.341398231E-1
1.623628708E0;1.784579573E0;1.161770999E0;-1.955875911E-1
1.638746708E0;1.365090966E0;2.220665501E0;2.144442952E-1
1.653865708E0;1.070773121E0;8.428463155E-1;-6.657522798E-1
1.668984708E0;1.827208114E-1;1.160344278E0;7.998798054E-1
1.684102708E0;1.245936406E-1;8.097078055E-1;4.037999421E-1
1.699221708E0;-4.786413789E-2;1.833675134E-1;-3.792088920E-1
1.714340708E0;-1.145630929E0;-2.280665535E-1;-6.172238982E-1
1.729458708E0;-3.618372821E0;-1.309376357E0;-9.371449471E-2
1.744577708E0;-3.338540282E0;-1.901870626E0;8.150340343E-1
1.759696708E0;9.454392225E-1;-9.224707747E-1;1.109289315E0
1.774814708E0;2.513676494E0;2.569184697E-1;4.049314515E-1
1.789933708E0;5.196026448E0;3.335238360E0;-1.596534287E0
1.805052708E0;4.352719372E0;4.479324455E0;-2.318360195E0
1.820170708E0;-1.118727306E0;3.282075475E0;-7.725447301E-1
1.835289708E0;-1.572508662E0;2.741587511E0;2.364093608E0
1.850408708E0;-1.029910439E0;2.857258886E0;4.856814996E-1
1.865526708E0;-2.671967053E-1;2.860636237E0;6.613902569E-2
1.880645708E0;-2.242306046E0;2.724016628E0;-3.017643479E-1
1.895764708E0;1.545732508E0;3.600316619E0;1.513854657E0
1.910882708E0;-2.643125662E-1;1.673666078E-1;-1.095154256E0
1.926001708E0;2.360064876E0;5.361876288E0;-2.649885628E0
1.941120708E0;2.189042881E0;9.511256397E-2;7.733480644E-1
1.956238708E0;1.110610493E0;-1.992882537E0;4.077617962E-2
1.971357708E0;7.577453542E-1;-6.929328863E0;2.116699375E-2
1.986476708E0;-6.765114489E-1;-1.277051662E1;2.158737055E0
2.001594708E0;-1.682036367E-1;-6.061353554E0;-3.108473396E-1
2.016713708E0;6.276518226E-1;-2.059455426E0;-1.018282227E0
2.031832708E0;-1.221646195E0;8.895065117E-1;-2.154473412E0
2.046950708E0;-8.566571465E-1;2.916785295E0;-2.393326178E0
2.062069708E0;-1.382562154E0;3.632509049E0;6.201144692E-1
2.077188708E0;-4.200540322E-1;3.230738676E0;7.426978955E0
2.092306708E0;-2.865910426E-1;-1.333635870E0;-1.720490435E0
2.107425708E0;5.462141418E-1;-2.269464024E0;-1.892957569E0
2.122544708E0;1.016350161E0;-1.714042856E0;-5.634070024E-2
2.137662708E0;1.792762166E0;5.509959948E-1;7.120470250E-1
2.152781708E0;1.914157088E0;2.194519676E0;1.518779182E-1
2.167900708E0;9.284681176E-1;6.972056222E-1;-4.854567473E-1
2.183018708E0;-1.290550661E-1;-1.328633577E0;-5.574032275E-1
2.198137708E0;1.503041402E-1;-1.416482145E0;-2.176392138E-1
2.213256708E0;1.096343725E0;1.942428083E0;7.944961278E-1
2.228374708E0;3.806730348E-1;2.214009030E0;6.702419181E-1
