"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
3.617045833E-2;-4.654602706E-1;1.016275287E-1;1.476400644E-1
5.128845834E-2;-5.721961260E-1;2.151992172E-1;1.356771886E-1
6.640745833E-2;-6.811617613E-1;2.698254287E-1;1.303343624E-1
8.152645834E-2;-8.622532487E-1;3.503933549E-1;1.333499402E-1
9.664445834E-2;-1.252007484E0;4.206288755E-1;2.347681969E-1
1.117634583E-1;-1.815786958E0;8.259956539E-2;4.197862148E-1
1.268824583E-1;-2.246916533E0;-6.631640792E-1;7.576090097E-1
1.420004583E-1;-2.488499641E0;-2.140711069E0;7.083740234E-1
1.571194583E-1;-2.645105839E0;-3.041485071E0;5.363221765E-1
1.722374583E-1;-2.870319366E0;-4.076156616E0;6.148431301E-1
1.873564583E-1;-3.062535763E0;-4.540947914E0;7.739667296E-1
2.024754583E-1;-3.294489622E0;-3.623621225E0;8.894413710E-1
2.175934583E-1;-3.630366087E0;-1.108950496E0;6.760889292E-1
2.327124583E-1;-3.728864431E0;-1.144540980E-1;3.466559574E-2
2.478314583E-1;-3.798154593E0;-9.049274325E-1;-5.251580477E-1
2.629494583E-1;-3.304353237E0;-1.249005556E0;-6.429662108E-1
2.780684583E-1;-2.558264494E0;-1.605448008E0;-7.787942290E-1
2.931874583E-1;-1.451470256E0;-9.469633698E-1;-9.596142173E-1
3.083054583E-1;-8.089092374E-1;-8.294662833E-1;-1.024648070E0
3.234244583E-1;-1.002082586E0;-2.401579857E0;-6.187283397E-1
3.385424583E-1;-1.194436431E0;-2.998178482E0;8.804874867E-2
3.536614583E-1;-1.029350400E0;-1.777066708E0;6.044965386E-1
3.687804583E-1;-6.809964180E-1;-9.225649387E-2;8.045523763E-1
3.838984583E-1;-4.238811731E-1;2.154933959E-1;6.245363951E-1
3.990174583E-1;1.398469806E-1;4.200812802E-2;7.523498535E-1
4.141364583E-1;7.164599895E-1;-7.369664311E-1;9.402028322E-1
4.292544583E-1;9.540365934E-1;-1.999205947E0;9.839357138E-1
4.443734583E-1;8.579538465E-1;-2.850372553E0;1.026660919E0
4.594924583E-1;6.110655665E-1;-3.230086565E0;1.222493768E0
4.746104583E-1;5.155475736E-1;-3.297293425E0;1.835459828E0
4.897294583E-1;5.846816301E-1;-2.842773676E0;2.452047825E0
5.048474583E-1;3.774405420E-1;-1.355813980E0;1.806733608E0
5.199664583E-1;-1.787865162E-1;-4.494315758E-2;1.102558255E0
5.350849583E-1;-6.246438622E-1;2.032677978E-1;1.754413009E0
5.502029583E-1;-4.947596490E-1;-1.045330524E0;1.618480206E0
5.653219583E-1;-7.401901484E-2;-2.845041275E0;1.339818358E0
5.804409583E-1;2.565820813E-1;-4.210503578E0;1.509797692E0
5.955589583E-1;5.999331474E-1;-4.601811886E0;1.640902877E0
6.106779583E-1;9.088220000E-1;-4.258655071E0;2.065322399E0
6.257969583E-1;7.227208614E-1;-4.252995491E0;2.510094643E0
6.409149583E-1;5.529460907E-1;-4.195996284E0;2.761349916E0
6.560339583E-1;1.283676773E-1;-3.118738413E0;2.860074043E0
6.711529583E-1;-3.002044559E-1;-1.700904131E0;2.965166092E0
6.862709583E-1;-4.752780199E-1;-8.786730766E-1;2.925534725E0
7.013899583E-1;-4.561975300E-1;-1.137715101E0;2.768682003E0
7.165079583E-1;-2.728306055E-1;-1.981622338E0;2.625542879E0
7.316269583E-1;4.372069612E-2;-2.593421459E0;2.455597401E0
7.467459583E-1;4.453962147E-1;-2.795630932E0;2.430396318E0
7.618639583E-1;7.903521061E-1;-2.848204851E0;2.490381956E0
7.769829583E-1;1.080520391E0;-2.757230520E0;2.599097252E0
7.921019583E-1;1.163786411E0;-2.255948067E0;2.501155853E0
8.072199583E-1;9.409260154E-1;-1.226232529E0;2.252425909E0
8.223389583E-1;5.920411348E-1;-1.545772105E-1;2.041388035E0
8.374579583E-1;3.156280518E-1;4.033699036E-1;1.748973727E0
8.525759583E-1;2.253498137E-1;2.161110640E-1;1.378301382E0
8.676949583E-1;3.849241436E-1;-2.627295852E-1;1.138404369E0
8.828139583E-1;5.070179105E-1;-8.479672670E-1;9.348734617E-1
8.979319583E-1;7.333555222E-1;-1.311294556E0;8.899639845E-1
9.130509583E-1;1.027819395E0;-1.578357458E0;1.061403871E0
9.281699583E-1;1.285719752E0;-1.711477637E0;1.191750646E0
9.432879583E-1;1.466437697E0;-1.586400151E0;1.226341605E0
9.584069583E-1;1.660460234E0;-1.130823016E0;1.266907573E0
9.735259583E-1;1.631709576E0;-8.662702441E-1;1.032008529E0
9.886439583E-1;1.560002208E0;-4.167070389E-1;7.074940205E-1
1.003762958E0;1.458680272E0;1.041763276E-2;4.259989262E-1
1.018881958E0;9.543249011E-1;-7.921015471E-2;8.753772080E-2
1.033999958E0;3.562830389E-1;-7.834835351E-2;-9.386402369E-2
1.049118958E0;-9.384853393E-2;-2.835106850E-1;-1.444520354E-1
1.064236958E0;1.082675755E-1;-4.242451191E-1;-1.406213343E-1
1.079355958E0;4.937252104E-1;-7.901820540E-1;-3.829300404E-2
1.094474958E0;9.954538345E-1;-9.958164096E-1;8.923059702E-2
1.109592958E0;1.475658178E0;-1.163243532E0;1.778345853E-1
1.124711958E0;2.001479387E0;-1.450756907E0;2.150659412E-1
1.139830958E0;2.139204979E0;-2.162156820E0;5.905521661E-2
1.154948958E0;2.099603653E0;-2.374921560E0;8.918701857E-2
1.170067958E0;1.835870862E0;-1.962093353E0;3.659366071E-2
1.185186958E0;1.378699780E0;-1.283230782E0;1.025133580E-1
1.200304958E0;8.600424528E-1;-6.200864911E-1;3.677400947E-1
1.215423958E0;5.209687948E-1;-3.302884847E-2;4.658317566E-1
