"event";"experiment time";"system time";"system time text"
"START";0.000000000000000E0;1.749206228275000E9;"2025-06-06 12:37:08.275 UTC+02:00"
"PAUSE";1.337639099375001E3;1.749207565909000E9;"2025-06-06 12:59:25.909 UTC+02:00"
