"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
3.460808333E-2;-9.136207762E-2;-3.279340732E-1;2.108593673E-1
4.968408333E-2;-1.692293480E-1;-1.645073193E-1;1.034448463E-1
6.476108333E-2;-2.185377116E-1;-9.208370626E-2;2.057459772E-1
7.983708333E-2;-1.705488270E-1;7.155997932E-2;1.734208149E-1
9.491408333E-2;-1.945808833E-1;1.102796566E-1;2.053740942E-1
1.099910833E-1;-2.422334799E-1;-1.615000963E-3;2.004694498E-1
1.250670833E-1;-2.756107756E-1;3.953887224E-2;2.986979949E-1
1.401440833E-1;-2.144592787E-1;1.335287708E-1;2.783099234E-1
1.552210833E-1;-1.530689595E-1;2.481558323E-2;1.195317060E-1
1.702970833E-1;-2.065427699E-1;-2.686789745E-1;-1.300695580E-1
1.853740833E-1;-2.010797346E-1;-2.616915518E-1;-1.692301154E-1
2.004500833E-1;-2.572874290E-1;-2.099986571E-1;1.392151880E-1
2.155270833E-1;-2.747133011E-1;-1.535712719E-1;2.768621528E-1
2.306040833E-1;-1.686327127E-1;-3.366008162E-2;2.997083938E-1
2.456800833E-1;-8.277233510E-2;-9.070434809E-2;2.260147655E-1
2.607570833E-1;-3.414383822E-2;-1.099025112E-1;5.855811059E-2
2.758330833E-1;-1.233814123E-1;5.899899065E-2;5.097076356E-2
2.909100833E-1;-1.394294428E-1;-2.447603542E-1;2.292810202E-2
3.059870833E-1;-6.268608039E-2;-3.460826612E-1;-1.055282092E-1
3.210630833E-1;-1.541154467E-1;-6.016808295E-1;-3.116864151E-1
3.361400833E-1;-1.162444562E-1;-5.329813081E-1;-2.993593150E-1
3.512160833E-1;-1.046981056E-1;-2.495597488E-1;1.260098362E-1
3.662930833E-1;-3.824777276E-2;-2.122153366E-1;2.695888013E-1
3.813700833E-1;-3.679632253E-3;8.999858916E-2;2.671908581E-1
3.964460833E-1;1.163298072E-1;2.575376898E-1;5.334461617E-1
4.115230833E-1;-6.556167710E-2;3.311050183E-1;4.696939695E-1
4.265990833E-1;-1.146037823E-1;2.371139503E-1;4.555021924E-1
4.416760833E-1;-1.405948294E-1;-4.807463765E-2;3.803531921E-1
4.567530833E-1;-2.979625066E-1;-7.496715188E-2;7.085772872E-2
4.718290833E-1;-4.232592200E-1;-1.563855368E-1;-2.320713115E-1
4.869060833E-1;-3.400415738E-1;-1.639103186E-1;-1.734342635E-1
5.019833750E-1;-4.991740228E-1;-3.311792779E-1;-2.197711086E-1
5.170593750E-1;-4.495797304E-1;-3.706854057E-1;-1.097358656E-1
5.321363750E-1;-2.515300229E-1;-2.647087151E-1;1.528204894E-1
5.472123750E-1;-1.954438410E-1;-1.342310214E-1;2.647174859E-1
5.622893750E-1;2.484599789E-2;2.880899763E-1;4.160095131E-1
5.773663750E-1;5.274563106E-2;4.232056814E-1;4.750394940E-1
5.924423750E-1;1.351246313E-1;3.446284586E-1;1.019853812E-1
6.075193750E-1;1.048164021E-1;2.797132552E-1;-1.046844560E-1
6.225953750E-1;7.028196070E-2;1.588951617E-1;-3.582641655E-1
6.376723750E-1;-2.324834671E-3;2.642526323E-1;-4.226566279E-1
6.527493750E-1;-3.816187123E-2;6.156895888E-1;-3.204227400E-1
6.678253750E-1;-9.859138319E-2;3.574964261E-1;-4.959152234E-1
6.829023750E-1;-2.962951548E-1;8.013685066E-1;-2.054600483E-1
6.979793750E-1;-4.451345674E-1;9.279835296E-1;-2.171369380E-1
7.130553750E-1;-6.712724899E-1;1.118177083E0;6.634250879E-2
7.281323750E-1;-7.456984819E-1;1.195962008E0;1.696277261E-2
7.432083750E-1;-6.154978001E-1;1.056487788E0;-9.818001330E-2
7.582853750E-1;-5.342815827E-1;7.130281878E-1;-9.606624484E-2
7.733623750E-1;-1.161005964E-1;6.978926700E-1;-3.574397081E-1
7.884383750E-1;-4.807887688E-2;8.477509600E-1;-4.983277845E-1
8.035153750E-1;7.633591197E-2;9.695010996E-1;-7.049777412E-1
8.185923750E-1;1.709286585E-1;1.024747932E0;-7.778866732E-1
8.336683750E-1;2.409510393E-1;8.188627911E-1;-7.889846885E-1
8.487453750E-1;3.050471210E-1;2.123971850E-1;-7.174767494E-1
8.638213750E-1;3.455783388E-1;-6.049880147E-1;-5.348360449E-1
8.788983750E-1;3.725975914E-1;-2.300727332E-1;-6.795745128E-1
8.939753750E-1;7.023064408E-1;4.870099139E-1;-5.532249534E-1
9.090513750E-1;8.639646312E-1;3.655264074E-1;-8.528649348E-1
9.241283750E-1;7.395571513E-1;3.041499388E-1;-7.055998850E-1
9.392053750E-1;4.942288864E-1;-4.432680631E-1;-7.309358704E-1
9.542813750E-1;2.476602808E-1;-9.865363777E-1;-1.162841624E-1
9.693583750E-1;-2.692153104E-1;-9.988587999E-1;2.397604001E-1
9.844343750E-1;-6.399132876E-1;-8.078396201E-2;4.091168153E-1
9.995113750E-1;-1.015665598E0;-4.859217471E-1;2.646578443E-1
1.014588375E0;-9.053027648E-1;-8.407641220E-1;-5.882240474E-2
1.029664375E0;-9.955540998E-1;-1.147897895E0;-2.128620386E-2
1.044741375E0;-3.457775827E-1;-1.182925056E0;5.936327219E-1
1.059818375E0;-6.538415015E-2;-1.033310595E0;6.172817856E-1
1.074894375E0;2.916097078E-1;-1.050955737E0;6.236213368E-1
1.089971375E0;4.297639185E-1;-1.118472952E0;5.765237689E-1
