"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
3.460808333E-2;1.575012207E1;5.644271851E0;-6.352386475E0
4.968408333E-2;1.586585999E1;5.544662476E0;-6.384399414E0
6.476108333E-2;1.550262833E1;5.533157349E0;-5.787872314E0
7.983708333E-2;1.557733536E1;5.452804565E0;-6.472869873E0
9.491408333E-2;1.525515747E1;5.339706421E0;-6.123413086E0
1.099910833E-1;1.548498535E1;5.217437744E0;-6.174346924E0
1.250670833E-1;1.545705032E1;5.479118347E0;-5.918365479E0
1.401440833E-1;1.545825577E1;5.308486938E0;-5.989562988E0
1.552210833E-1;1.560895920E1;5.385040283E0;-6.357482910E0
1.702970833E-1;1.549922943E1;5.108818054E0;-5.929718018E0
1.853740833E-1;1.569779587E1;5.319297791E0;-5.899047852E0
2.004500833E-1;1.554031372E1;5.116882324E0;-5.882110596E0
2.155270833E-1;1.569342041E1;5.165969849E0;-5.833404541E0
2.306040833E-1;1.573924637E1;5.424812317E0;-5.805419922E0
2.456800833E-1;1.565276718E1;5.725532532E0;-5.868469238E0
2.607570833E-1;1.576243210E1;5.211692810E0;-6.287933350E0
2.758330833E-1;1.596169662E1;5.157524109E0;-5.829711914E0
2.909100833E-1;1.577232361E1;5.330055237E0;-6.249114990E0
3.059870833E-1;1.585673523E1;5.393653870E0;-6.098846436E0
3.210630833E-1;1.603878403E1;5.401519775E0;-6.218170166E0
3.361400833E-1;1.601699829E1;5.445678711E0;-6.247589111E0
3.512160833E-1;1.548844910E1;5.427459717E0;-6.607727051E0
3.662930833E-1;1.577088928E1;5.482444763E0;-6.399230957E0
3.813700833E-1;1.575782013E1;5.071273804E0;-6.045532227E0
3.964460833E-1;1.590328217E1;5.066337585E0;-6.262268066E0
4.115230833E-1;1.584508896E1;5.067085266E0;-6.484954834E0
4.265990833E-1;1.584167480E1;4.945495605E0;-6.465606689E0
4.416760833E-1;1.589845657E1;4.821350098E0;-6.529449463E0
4.567530833E-1;1.605941010E1;4.720123291E0;-6.611236572E0
4.718290833E-1;1.620062637E1;4.623359680E0;-5.993408203E0
4.869060833E-1;1.614097977E1;4.777816772E0;-5.960693359E0
5.019833750E-1;1.634095383E1;4.596488953E0;-5.853790283E0
5.170593750E-1;1.649615097E1;4.596862793E0;-5.860260010E0
5.321363750E-1;1.639744949E1;4.671966553E0;-5.885986328E0
5.472123750E-1;1.614101410E1;4.729331970E0;-5.869171143E0
5.622893750E-1;1.625156403E1;4.854576111E0;-5.633026123E0
5.773663750E-1;1.605830383E1;4.360519409E0;-5.658050537E0
5.924423750E-1;1.589057922E1;4.638542175E0;-5.696502686E0
6.075193750E-1;1.587654114E1;4.631950378E0;-5.295898438E0
6.225953750E-1;1.607062912E1;4.572135925E0;-5.736419678E0
6.376723750E-1;1.602529907E1;4.364555359E0;-5.533508301E0
6.527493750E-1;1.612930679E1;4.235816956E0;-5.510070801E0
6.678253750E-1;1.573683548E1;4.390457153E0;-5.798187256E0
6.829023750E-1;1.583369064E1;4.031494141E0;-5.868255615E0
6.979793750E-1;1.597899628E1;4.263740540E0;-5.905975342E0
7.130553750E-1;1.602091980E1;4.121391296E0;-6.061584473E0
7.281323750E-1;1.613235855E1;3.999855042E0;-5.868927002E0
7.432083750E-1;1.610342789E1;4.045585632E0;-6.068939209E0
7.582853750E-1;1.607778931E1;4.059867859E0;-6.002685547E0
7.733623750E-1;1.632752609E1;4.130317688E0;-6.164733887E0
7.884383750E-1;1.622057724E1;3.831214905E0;-6.511352539E0
8.035153750E-1;1.638661194E1;3.793540955E0;-6.124969482E0
8.185923750E-1;1.643447876E1;3.291549683E0;-6.481781006E0
8.336683750E-1;1.656079865E1;3.269454956E0;-6.521453857E0
8.487453750E-1;1.660876083E1;2.853294373E0;-6.061981201E0
8.638213750E-1;1.679289627E1;2.583366394E0;-5.880371094E0
8.788983750E-1;1.692617416E1;2.383468628E0;-6.041290283E0
8.939753750E-1;1.698729706E1;2.151397705E0;-5.894653320E0
9.090513750E-1;1.684821320E1;1.828971863E0;-5.805999756E0
9.241283750E-1;1.689473343E1;1.531364441E0;-6.199737549E0
9.392053750E-1;1.707548904E1;1.279853821E0;-5.919738770E0
9.542813750E-1;1.710630035E1;1.098770142E0;-5.882873535E0
9.693583750E-1;1.704830170E1;4.955520630E-1;-5.345489502E0
9.844343750E-1;1.716775131E1;4.831542969E-1;-5.248443604E0
9.995113750E-1;1.701560593E1;1.107025146E-2;-4.611724854E0
1.014588375E0;1.676786423E1;4.190063477E-2;-4.893554688E0
1.029664375E0;1.682714081E1;1.032257080E-2;-4.605865479E0
1.044741375E0;1.690602875E1;-3.324584961E-1;-4.123748779E0
1.059818375E0;1.682736206E1;-2.112503052E-1;-3.929107666E0
1.074894375E0;1.681896210E1;-4.771804810E-1;-4.339691162E0
1.089971375E0;1.694456863E1;-3.593826294E-1;-4.137817383E0
1.105047375E0;1.695531464E1;-4.995117188E-1;-4.140167236E0
1.120124375E0;1.679729843E1;-3.785324097E-1;-3.988372803E0
1.135201375E0;1.680333710E1;-3.995285034E-1;-3.772369385E0
1.150277375E0;1.669025421E1;-4.398651123E-1;-3.719787598E0
1.165354375E0;1.681956482E1;-3.790359497E-1;-3.263610840E0
1.180431375E0;1.704695511E1;-4.970550537E-1;-2.884246826E0
1.195507375E0;1.716078568E1;-5.003509521E-1;-2.759552002E0
1.210584375E0;1.726318741E1;-1.097793579E-1;-2.762969971E0
1.225661375E0;1.704278564E1;-1.944046021E-1;-2.391174316E0
1.240737375E0;1.729743576E1;-1.028137207E-1;-2.948944092E0
1.255814375E0;1.740918350E1;1.659164429E-1;-2.460815430E0
1.270890375E0;1.754323959E1;2.334136963E-1;-2.510101318E0
1.285967375E0;1.745918655E1;3.815689087E-1;-2.445953369E0
1.301044375E0;1.764514923E1;4.555511475E-1;-2.341308594E0
1.316120375E0;1.727807236E1;3.281250000E-1;-2.972595215E0
1.331197375E0;1.755535126E1;5.479812622E-1;-2.580413818E0
1.346274375E0;1.757301331E1;5.852127075E-1;-2.217742920E0
1.361350375E0;1.770638657E1;7.387847900E-1;-2.254974365E0
1.376427375E0;1.737270737E1;6.926879883E-1;-2.373535156E0
1.391503375E0;1.733137131E1;9.551162720E-1;-2.012359619E0
1.406580375E0;1.732561874E1;1.033958435E0;-1.624389648E0
1.421657375E0;1.715918350E1;6.786346436E-1;-1.492492676E0
1.436733375E0;1.702154160E1;1.070617676E0;-9.813232422E-1
1.451810375E0;1.700469971E1;1.009346008E0;-1.209381104E0
1.466887375E0;1.683000183E1;9.211883545E-1;-4.132385254E-1
1.481963375E0;1.695964813E1;8.918533325E-1;6.967163086E-2
1.497040375E0;1.697751236E1;1.165206909E0;3.377990723E-1
1.512117583E0;1.689662170E1;9.868621826E-1;5.760803223E-1
1.527193583E0;1.688261795E1;1.366577148E0;3.088684082E-1
1.542270583E0;1.697856140E1;1.444305420E0;1.047210693E0
1.557346583E0;1.688670349E1;1.470657349E0;1.326232910E0
1.572423583E0;1.671566010E1;1.729217529E0;1.143554688E0
1.587500583E0;1.685349274E1;1.738182068E0;1.068481445E0
1.602576583E0;1.711680603E1;1.492797852E0;1.333374023E0
1.617653583E0;1.721904373E1;1.576171875E0;1.209320068E0
1.632730583E0;1.694053650E1;1.673889160E0;1.246246338E0
1.647806583E0;1.706955338E1;1.723258972E0;1.296905518E0
1.662883583E0;1.722200394E1;1.991920471E0;1.482879639E0
1.677959583E0;1.708359909E1;2.026443481E0;1.412017822E0
1.693036583E0;1.684810638E1;2.216880798E0;1.420715332E0
1.708113583E0;1.703621674E1;2.394531250E0;1.580657959E0
1.723189583E0;1.677770996E1;2.539176941E0;1.923889160E0
1.738266583E0;1.669884109E1;2.744499207E0;1.878601074E0
1.753343583E0;1.673213577E1;2.764320374E0;2.045989990E0
1.768419583E0;1.677605820E1;2.938400269E0;2.127380371E0
1.783496583E0;1.655899048E1;2.988204956E0;2.149139404E0
1.798573583E0;1.622748184E1;3.171218872E0;1.893280029E0
1.813649583E0;1.623133850E1;3.345779419E0;2.073760986E0
1.828726583E0;1.601303101E1;3.418678284E0;2.252746582E0
1.843802583E0;1.583394241E1;3.435287476E0;2.117736816E0
1.858879583E0;1.581916046E1;3.784111023E0;2.087493896E0
1.873956583E0;1.562899399E1;3.882133484E0;1.994049072E0
1.889032583E0;1.577410126E1;3.942359924E0;2.292846680E0
1.904109583E0;1.551013947E1;4.103630066E0;2.417175293E0
1.919186583E0;1.555055618E1;4.199928284E0;2.199157715E0
1.934262583E0;1.550645828E1;4.432960510E0;2.092895508E0
1.949339583E0;1.543556976E1;4.864875793E0;2.171142578E0
1.964416583E0;1.547763443E1;4.774505615E0;2.176116943E0
1.979492583E0;1.550443649E1;5.124847412E0;1.821105957E0
1.994569583E0;1.549832535E1;5.159278870E0;2.083740234E0
2.009646583E0;1.585758209E1;5.336784363E0;1.981536865E0
2.024722583E0;1.593929291E1;5.284614563E0;1.850799561E0
2.039799583E0;1.587381744E1;5.187385559E0;2.263336182E0
2.054876583E0;1.585924911E1;5.343460083E0;2.202453613E0
2.069952583E0;1.583776093E1;5.262969971E0;1.925842285E0
2.085029583E0;1.573124695E1;5.424285889E0;1.900146484E0
2.100106583E0;1.580332184E1;5.086372375E0;1.587341309E0
2.115182583E0;1.619855118E1;5.071739197E0;1.907287598E0
2.130259583E0;1.593047333E1;5.272140503E0;2.336395264E0
2.145336583E0;1.608148956E1;5.485687256E0;2.354553223E0
2.160412583E0;1.589682770E1;5.297012329E0;2.532989502E0
2.175489583E0;1.593782425E1;5.229835510E0;2.712280273E0
2.190565583E0;1.579046631E1;5.290245056E0;2.736175537E0
2.205642583E0;1.557907867E1;4.890342712E0;2.587249756E0
2.220719583E0;1.568759155E1;5.071449280E0;2.621917725E0
2.235795583E0;1.569738388E1;5.100624084E0;3.036499023E0
2.250872583E0;1.559403610E1;5.409233093E0;2.636047363E0
2.265949583E0;1.556504440E1;5.108314514E0;2.818786621E0
2.281025583E0;1.539523697E1;5.247787476E0;2.292175293E0
2.296102583E0;1.524221420E1;5.344314575E0;2.184906006E0
2.311179583E0;1.526464462E1;5.397666931E0;1.954528809E0
2.326255583E0;1.557846069E1;5.489303589E0;2.023834229E0
2.341332583E0;1.537371445E1;5.575576782E0;1.692077637E0
2.356409583E0;1.533826065E1;5.568412781E0;1.570251465E0
2.371485583E0;1.562807465E1;5.352462769E0;1.947631836E0
2.386562583E0;1.551617050E1;5.287002563E0;1.644348145E0
2.401639583E0;1.563581085E1;5.339836121E0;1.195922852E0
2.416715583E0;1.554274368E1;5.566833496E0;1.356170654E0
2.431792583E0;1.556987762E1;5.666442871E0;1.212829590E0
2.446869583E0;1.569773483E1;5.445655823E0;1.602874756E0
2.461945583E0;1.580022812E1;5.378028870E0;1.803588867E0
2.477022583E0;1.566405106E1;5.458686829E0;1.248291016E0
2.492099583E0;1.583052826E1;5.370887756E0;1.136291504E0
2.507175833E0;1.610318756E1;5.279495239E0;9.256591797E-1
2.522252833E0;1.601109314E1;5.100898743E0;9.653320312E-1
2.537329833E0;1.589948273E1;5.038299561E0;1.421661377E0
2.552405833E0;1.607173157E1;4.891448975E0;1.435363770E0
2.567482833E0;1.586849976E1;4.825042725E0;1.029296875E0
2.582559833E0;1.590098572E1;5.025184631E0;1.265502930E0
2.597635833E0;1.575794220E1;5.056892395E0;1.136932373E0
2.612712833E0;1.574670410E1;4.792259216E0;1.360961914E0
2.627789833E0;1.588517761E1;4.985282898E0;1.383972168E0
