"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.150277375E0;3.429861367E-2;4.389916062E-1;-1.480422020E-1
1.165354375E0;6.242372468E-2;3.980468512E-1;-2.605892420E-1
1.180431375E0;6.934312731E-2;3.517657816E-1;-3.177470267E-1
1.195507375E0;1.068336666E-1;3.321255147E-1;-3.726568818E-1
1.210584375E0;1.413249671E-1;3.414905369E-1;-4.113451242E-1
1.225661375E0;2.135975659E-1;3.663197160E-1;-4.116527140E-1
1.240737375E0;2.710440457E-1;2.805502117E-1;-4.028591812E-1
1.255814375E0;2.700188756E-1;2.346008122E-1;-3.607445657E-1
1.270890375E0;2.321672738E-1;2.356981039E-1;-2.989599109E-1
1.285967375E0;1.894869208E-1;3.052595854E-1;-2.286958396E-1
1.301044375E0;1.602300555E-1;3.054526448E-1;-1.645137072E-1
1.316120375E0;1.603262424E-1;3.137491941E-1;-1.316287369E-1
1.331197375E0;2.000644952E-1;3.601302803E-1;-1.069119498E-1
1.346274375E0;2.479878217E-1;3.761950135E-1;-7.809974253E-2
1.361350375E0;3.149901330E-1;3.885648847E-1;-3.999699652E-2
1.376427375E0;3.545266390E-1;3.914948106E-1;3.465889720E-3
1.391503375E0;3.887373507E-1;4.083757997E-1;3.380754963E-2
1.406580375E0;4.143678844E-1;4.212713540E-1;5.177616328E-2
1.421657375E0;4.349313974E-1;4.366521835E-1;4.818700999E-2
1.436733375E0;4.903575480E-1;4.753213823E-1;4.949938506E-2
1.451810375E0;5.765540004E-1;4.595211446E-1;5.878377706E-2
1.466887375E0;6.671137810E-1;4.441113174E-1;4.340907931E-2
1.481963375E0;6.903173923E-1;4.757785499E-1;-2.485225722E-2
1.497040375E0;7.012321353E-1;5.233402252E-1;-9.704362601E-2
1.512117583E0;6.864715219E-1;5.321993828E-1;-1.462980211E-1
1.527193583E0;6.671529412E-1;5.257909894E-1;-1.829234064E-1
1.542270583E0;6.676203012E-1;4.656323195E-1;-2.087813616E-1
1.557346583E0;6.509346366E-1;4.081271291E-1;-2.033265978E-1
1.572423583E0;6.387689114E-1;3.975957036E-1;-1.776309907E-1
1.587500583E0;5.971444845E-1;2.790037990E-1;-1.994595826E-1
1.602576583E0;5.421605706E-1;2.176102102E-1;-2.146697044E-1
1.617653583E0;4.947219193E-1;1.814476401E-1;-2.157864422E-1
1.632730583E0;4.651938081E-1;1.547928303E-1;-2.168089002E-1
1.647806583E0;4.369879961E-1;1.770928055E-1;-1.972349286E-1
1.662883583E0;3.843684793E-1;2.189393938E-1;-1.993863583E-1
1.677959583E0;3.183420002E-1;2.483233809E-1;-2.099060863E-1
1.693036583E0;2.838894129E-1;2.554716468E-1;-2.523234487E-1
1.708113583E0;2.959314287E-1;2.373208702E-1;-3.028923571E-1
1.723189583E0;2.943471074E-1;2.313418090E-1;-3.353959620E-1
1.738266583E0;2.542295158E-1;1.685537696E-1;-3.255508542E-1
1.753343583E0;1.596069932E-1;8.173571527E-2;-3.105984330E-1
1.768419583E0;3.848003596E-2;9.913304821E-4;-3.020502031E-1
1.783496583E0;-9.185136296E-3;-2.828885801E-3;-3.113606870E-1
1.798573583E0;1.746244542E-2;1.444938593E-3;-3.278145194E-1
1.813649583E0;5.121476576E-2;4.080300406E-2;-3.331802487E-1
1.828726583E0;8.203286678E-2;1.149723083E-1;-3.377150893E-1
1.843802583E0;6.838597357E-2;1.251026988E-1;-3.938966095E-1
1.858879583E0;3.836654127E-2;1.093684286E-1;-4.514209926E-1
1.873956583E0;8.392142504E-2;9.220468253E-2;-4.560155869E-1
1.889032583E0;1.835675836E-1;1.421349645E-1;-4.364599884E-1
1.904109583E0;2.719515562E-1;1.333401054E-1;-4.235216379E-1
1.919186583E0;3.439321220E-1;7.679428160E-2;-4.330932796E-1
1.934262583E0;3.732057810E-1;4.480097815E-2;-4.301191866E-1
1.949339583E0;3.838192523E-1;6.498987228E-2;-4.053810835E-1
1.964416583E0;3.498075008E-1;1.252904534E-1;-3.783732951E-1
1.979492583E0;2.735888362E-1;1.330461204E-1;-3.027179241E-1
1.994569583E0;2.149983793E-1;1.056003720E-1;-1.804391593E-1
2.009646583E0;1.559284031E-1;1.298319399E-1;-5.236801133E-2
2.024722583E0;7.567765564E-2;1.619704217E-1;4.596569389E-2
2.039799583E0;-5.785791948E-2;1.675630957E-1;1.079508662E-1
2.054876583E0;-1.824315935E-1;1.947819293E-1;1.497947425E-1
2.069952583E0;-2.360106558E-1;1.994408667E-1;1.534829587E-1
2.085029583E0;-2.198418230E-1;2.280828953E-1;1.424265206E-1
2.100106583E0;-1.946705282E-1;2.591747344E-1;1.236320138E-1
2.115182583E0;-2.003137767E-1;2.422351539E-1;9.562003613E-2
2.130259583E0;-2.107187510E-1;1.775011718E-1;7.041268051E-2
2.145336583E0;-2.005923539E-1;1.081223562E-1;1.964591257E-2
2.160412583E0;-1.655590385E-1;3.859017789E-2;-3.186781332E-2
2.175489583E0;-1.067613736E-1;1.681808010E-2;-9.344315529E-2
2.190565583E0;-5.102540925E-2;1.580155268E-2;-1.525821090E-1
2.205642583E0;-1.715000533E-2;3.031923063E-2;-2.156133205E-1
2.220719583E0;5.326326471E-3;3.563063592E-2;-2.544099987E-1
2.235795583E0;2.407678030E-2;-2.278662845E-2;-2.234351039E-1
2.250872583E0;1.081237476E-2;-9.730240703E-2;-1.393473893E-1
2.265949583E0;-2.662212588E-2;-1.204479188E-1;-2.872681245E-2
2.281025583E0;-6.925150752E-2;-1.230863184E-1;5.897690356E-2
2.296102583E0;-1.029644087E-1;-5.682924762E-2;9.674645960E-2
2.311179583E0;-1.425877213E-1;-8.251596987E-2;1.044067740E-1
2.326255583E0;-1.805129498E-1;-5.383829027E-2;7.094831020E-2
2.341332583E0;-1.797282547E-1;-2.759785205E-2;3.431107849E-2
2.356409583E0;-1.358195096E-1;-1.336569898E-2;2.768460196E-3
2.371485583E0;-8.089660853E-2;-2.964853123E-2;-1.137558836E-2
2.386562583E0;-4.383379966E-2;-4.759764671E-2;-9.198277257E-3
2.401639583E0;-3.147201240E-2;-4.271585494E-2;-2.065950073E-3
2.416715583E0;-4.240594059E-2;-4.095895961E-2;9.958239272E-3
2.431792583E0;-7.111907750E-2;-5.846498162E-2;1.116997749E-2
2.446869583E0;-9.482643008E-2;-5.762768164E-2;2.071901783E-2
2.461945583E0;-1.210476011E-1;-3.939969838E-2;3.972194344E-2
2.477022583E0;-1.467189640E-1;-4.434886575E-2;6.126494333E-2
2.492099583E0;-1.654140949E-1;-4.580587894E-2;8.981989324E-2
2.507175833E0;-1.723857224E-1;-3.727899492E-2;1.133954376E-1
2.522252833E0;-1.694498956E-1;-1.816466078E-2;1.231062263E-1
2.537329833E0;-1.629167795E-1;-2.546450123E-4;1.295406520E-1
2.552405833E0;-1.537549794E-1;2.649379894E-4;1.419376731E-1
2.567482833E0;-1.342510432E-1;-6.236371119E-3;1.433214545E-1
2.582559833E0;-1.118357703E-1;-6.132800598E-3;1.368842423E-1
2.597635833E0;-8.078643680E-2;7.303157821E-3;1.138818637E-1
2.612712833E0;-4.337088764E-2;2.348958328E-2;8.031538129E-2
2.627789833E0;-1.816175319E-2;2.276567742E-2;4.987020046E-2
2.642865833E0;-1.145840040E-3;1.276671886E-3;2.333751321E-2
2.657942833E0;1.274870150E-2;-2.726634219E-2;6.001786329E-3
2.673019833E0;2.893725969E-2;-3.516128287E-2;4.277655855E-3
2.688095833E0;2.679887414E-2;-3.087566420E-2;1.055889949E-2
2.703172833E0;2.556989528E-2;-2.083073184E-2;1.833117008E-2
2.718249833E0;2.804012783E-2;-2.824897319E-2;3.121363372E-2
2.733325833E0;4.310536385E-2;-2.196524665E-2;3.357053176E-2
2.748402833E0;5.213750526E-2;-1.419204939E-2;3.687351197E-2
2.763479833E0;4.949384555E-2;1.876968890E-4;4.909451678E-2
2.778555833E0;3.946704417E-2;-1.524691936E-2;6.054850668E-2
2.793632833E0;2.504416183E-2;-2.573311701E-2;6.433285773E-2
2.808709833E0;1.644902490E-2;-2.394879237E-2;7.787717879E-2
2.823785833E0;3.870083718E-3;-3.371350467E-2;6.242165715E-2
2.838862833E0;-4.325252958E-4;-9.637473151E-3;5.379697680E-2
2.853939833E0;-1.849328540E-2;-3.377663344E-2;4.967493564E-2
2.869015833E0;-9.419152513E-3;-4.047075659E-2;5.201343074E-2
2.884092833E0;2.475910820E-2;-3.470635042E-2;4.881309345E-2
2.899169833E0;4.212053493E-2;-3.260935843E-2;4.968455434E-2
2.914245833E0;3.236297891E-2;-2.563028038E-2;5.992707610E-2
2.929322833E0;2.490323596E-2;-1.760379970E-2;6.360027939E-2
2.944399833E0;2.229040861E-2;-2.814272791E-2;5.975600332E-2
2.959475833E0;1.786552183E-2;-2.089305595E-2;4.910128564E-2
2.974552833E0;-4.760694690E-3;-3.195343167E-2;3.413139284E-2
2.989629833E0;-1.777783409E-2;-2.555383742E-2;4.143124074E-2
3.004705833E0;-3.130555525E-2;-3.180405498E-2;5.124901980E-2
3.019782833E0;-3.611099720E-2;-4.012560099E-2;6.419744343E-2
3.034859833E0;-3.709663451E-2;-5.186454579E-2;7.528498024E-2
3.049935833E0;-4.028480873E-2;-5.583026260E-2;7.238665968E-2
3.065012833E0;-3.314998373E-2;-6.475797296E-2;8.077509701E-2
3.080089833E0;-2.098710090E-2;-5.921512470E-2;9.709929675E-2
3.095165833E0;-1.858120225E-2;-5.908969045E-2;1.053444445E-1
3.110242833E0;-2.146238647E-2;-6.159014627E-2;1.065190583E-1
3.125319833E0;-2.080245502E-2;-6.997244805E-2;1.109718680E-1
3.140395833E0;-1.002676040E-2;-6.781261414E-2;1.023773849E-1
3.155472833E0;-8.484421996E-4;-6.300161034E-2;8.927650005E-2
3.170549833E0;-2.706814092E-3;-6.485731900E-2;7.004649937E-2
3.185625833E0;2.264888957E-3;-6.665787846E-2;6.040084735E-2
3.200702833E0;6.591199897E-3;-6.850983202E-2;6.427232176E-2
3.215779833E0;2.740535419E-3;-7.235090435E-2;6.845960766E-2
3.230856833E0;5.245079752E-3;-8.146850765E-2;8.124119043E-2
3.245932833E0;8.210225031E-3;-8.726862818E-2;9.385087341E-2
3.261009833E0;7.943621837E-3;-7.771050930E-2;1.013667881E-1
3.276086833E0;-1.893828739E-3;-5.950514227E-2;1.091895550E-1
3.291162833E0;-1.185617596E-2;-4.437066615E-2;1.123441011E-1
3.306239833E0;-1.917653158E-2;-3.231028095E-2;1.043246761E-1
3.321316833E0;-7.324259728E-3;-2.104593068E-2;9.053497761E-2
3.336392833E0;3.141807765E-2;-5.754859187E-3;8.257824928E-2
3.351469833E0;5.921329558E-2;-1.846530288E-2;7.647122443E-2
3.366546833E0;6.611119956E-2;-2.472426742E-2;6.740874052E-2
3.381622833E0;6.934507936E-2;-2.544385195E-2;5.674890429E-2
3.396699833E0;6.569334865E-2;-4.338823259E-2;4.660705477E-2
3.411776833E0;5.684333667E-2;-4.859898239E-2;5.726283044E-2
3.426852833E0;5.487895757E-2;-5.009459704E-2;6.255998462E-2
3.441929833E0;3.684955183E-3;-4.270565882E-2;2.685390040E-2
3.457006833E0;-3.456496075E-2;-3.262559325E-2;2.741316333E-2
3.472082833E0;-5.695102364E-2;-2.933313325E-2;2.194856480E-2
3.487159833E0;-6.611308455E-2;-1.362713519E-2;1.994727179E-2
3.502236958E0;-6.756783277E-2;6.034692749E-3;1.515901834E-2
3.517312958E0;-8.679612726E-2;1.687642187E-2;-9.757434018E-4
3.532389958E0;-8.696115017E-2;1.667191461E-2;-2.493014187E-2
3.547466958E0;-5.960343033E-2;3.738357127E-2;-5.779317021E-2
3.562542958E0;-3.207714483E-2;3.917642310E-2;-7.839157432E-2
