"Time (s)";"Distance (cm)"
3.046758333E-2;5.000000000E0
4.685030000E-1;0.000000000E0
6.019675000E-1;5.000000000E0
6.685470417E-1;0.000000000E0
1.323842431E3;5.000000000E0
