"Time (s)";"X (hPa)"
-5.251985417E-1;1.008618088E3
4.753804583E-1;1.008623276E3
1.475954458E0;1.008618088E3
2.476535458E0;1.008616180E3
3.477110458E0;1.008589249E3
4.477686458E0;1.008578415E3
5.028635458E0;1.008565521E3
6.029215458E0;1.008564682E3
7.029792458E0;1.008556442E3
8.030366458E0;1.008554535E3
9.030948458E0;1.008554535E3
1.003152146E1;1.008559494E3
1.103209346E1;1.008567352E3
1.203267046E1;1.008590012E3
1.303324646E1;1.008609085E3
1.403382446E1;1.008621140E3
1.503440246E1;1.008622055E3
1.603497946E1;1.008622055E3
1.703555446E1;1.008605957E3
1.803613346E1;1.008605652E3
1.903670746E1;1.008600235E3
2.003769846E1;1.008591614E3
2.103786246E1;1.008591614E3
2.203844246E1;1.008584442E3
2.303901446E1;1.008582077E3
2.403959246E1;1.008582077E3
2.504016346E1;1.008588943E3
2.604074546E1;1.008612518E3
2.704131846E1;1.008619537E3
2.804189046E1;1.008639679E3
2.904246746E1;1.008639679E3
3.004304946E1;1.008624802E3
3.104362746E1;1.008601151E3
3.204420346E1;1.008565598E3
3.304477546E1;1.008537369E3
3.404535346E1;1.008528366E3
3.504592846E1;1.008528290E3
3.604650546E1;1.008528366E3
3.704708146E1;1.008541107E3
3.804766146E1;1.008548889E3
3.904823946E1;1.008548889E3
4.004881746E1;1.008539200E3
4.104939346E1;1.008539200E3
4.204997046E1;1.008538742E3
4.305054446E1;1.008539658E3
4.405112146E1;1.008539658E3
4.505169446E1;1.008554611E3
4.605266846E1;1.008554611E3
4.705285146E1;1.008538513E3
4.805342646E1;1.008538513E3
4.905400146E1;1.008548431E3
5.005458446E1;1.008549576E3
5.105515646E1;1.008556366E3
5.205573446E1;1.008580475E3
5.305631546E1;1.008589401E3
5.405688846E1;1.008592911E3
5.505746346E1;1.008602142E3
5.605804646E1;1.008628387E3
5.705861846E1;1.008641129E3
5.805919546E1;1.008653641E3
5.905976846E1;1.008653641E3
6.006034446E1;1.008649979E3
6.106092446E1;1.008621979E3
6.206150046E1;1.008594589E3
6.306208146E1;1.008573837E3
6.406265746E1;1.008556442E3
6.506322746E1;1.008546600E3
6.606380546E1;1.008541794E3
6.706438646E1;1.008538513E3
6.806495846E1;1.008534088E3
6.906553846E1;1.008531265E3
7.006611346E1;1.008534088E3
7.106668746E1;1.008537064E3
7.206726346E1;1.008542175E3
7.306784546E1;1.008552933E3
7.406841346E1;1.008561935E3
7.506898946E1;1.008568878E3
7.606956946E1;1.008572388E3
7.707014446E1;1.008572388E3
7.807098746E1;1.008571014E3
7.907130146E1;1.008564529E3
8.007187546E1;1.008563309E3
8.107245146E1;1.008553162E3
8.207302946E1;1.008529282E3
8.307360446E1;1.008513412E3
8.407418046E1;1.008496170E3
8.507476046E1;1.008463593E3
8.607533346E1;1.008444672E3
8.707591646E1;1.008436279E3
8.807648646E1;1.008435822E3
8.907706746E1;1.008433151E3
9.007763946E1;1.008433151E3
9.107822146E1;1.008442535E3
9.207879246E1;1.008446884E3
9.307937146E1;1.008454971E3
9.407995446E1;1.008460617E3
9.508052746E1;1.008466034E3
9.608110646E1;1.008473663E3
9.708167946E1;1.008511200E3
9.808225446E1;1.008515320E3
9.908282946E1;1.008546219E3
1.000834065E2;1.008570175E3
1.010839805E2;1.008589630E3
1.020845565E2;1.008592529E3
1.030851385E2;1.008589630E3
1.040857135E2;1.008589554E3
1.050862885E2;1.008588181E3
1.060868655E2;1.008585968E3
1.070874415E2;1.008576584E3
1.080880205E2;1.008570023E3
1.090885935E2;1.008569717E3
1.100891735E2;1.008563614E3
1.110897475E2;1.008553467E3
1.120903315E2;1.008549881E3
1.130909005E2;1.008549881E3
1.140914745E2;1.008542252E3
1.150920545E2;1.008540726E3
1.160926315E2;1.008540726E3
1.170932085E2;1.008551483E3
1.180937855E2;1.008585739E3
1.190943645E2;1.008617859E3
1.200949405E2;1.008629837E3
1.210955155E2;1.008643036E3
1.220960885E2;1.008643036E3
1.230966635E2;1.008637390E3
1.240972455E2;1.008629532E3
1.250978165E2;1.008625717E3
1.260983925E2;1.008619385E3
1.270989715E2;1.008610535E3
1.280995515E2;1.008595581E3
1.291001235E2;1.008572998E3
1.301007035E2;1.008564301E3
1.311012815E2;1.008563232E3
1.321018545E2;1.008551178E3
1.331024345E2;1.008539734E3
1.341030095E2;1.008534470E3
1.351035845E2;1.008524017E3
1.361041605E2;1.008511353E3
1.371047375E2;1.008501053E3
1.381053095E2;1.008498993E3
1.391059205E2;1.008501053E3
1.401064695E2;1.008517532E3
1.411070455E2;1.008532028E3
1.421076135E2;1.008559875E3
1.431081975E2;1.008571777E3
1.441087725E2;1.008571777E3
1.451093495E2;1.008568954E3
1.461099195E2;1.008553238E3
1.471105005E2;1.008522491E3
1.481110775E2;1.008491669E3
1.491116515E2;1.008466797E3
1.501122295E2;1.008463974E3
1.511128035E2;1.008463974E3
1.521133845E2;1.008468094E3
1.531139565E2;1.008468094E3
1.541145365E2;1.008464508E3
1.551151135E2;1.008459625E3
1.561156935E2;1.008455048E3
1.571162625E2;1.008446121E3
1.581171245E2;1.008446121E3
1.591174195E2;1.008445511E3
1.601179975E2;1.008447876E3
1.611185705E2;1.008451385E3
1.621191445E2;1.008456879E3
1.631197195E2;1.008463058E3
1.641202965E2;1.008468246E3
1.651208815E2;1.008468246E3
1.661214505E2;1.008468704E3
1.671220285E2;1.008468704E3
1.681226065E2;1.008438034E3
1.691231815E2;1.008437729E3
1.701237605E2;1.008437729E3
1.711245335E2;1.008453598E3
1.721249085E2;1.008456726E3
1.731254905E2;1.008490219E3
1.741260645E2;1.008517532E3
1.751266445E2;1.008532486E3
1.761272165E2;1.008540802E3
1.771277965E2;1.008562775E3
1.781283715E2;1.008583755E3
1.791289495E2;1.008592453E3
1.801295245E2;1.008592834E3
1.811301015E2;1.008592453E3
1.821306785E2;1.008592834E3
1.831312525E2;1.008596115E3
1.841318275E2;1.008602295E3
1.851324075E2;1.008608322E3
1.861329825E2;1.008613510E3
1.871335615E2;1.008608322E3
1.881341305E2;1.008606033E3
1.891347155E2;1.008572464E3
1.901352905E2;1.008572464E3
1.911358625E2;1.008568344E3
1.921364365E2;1.008566895E3
1.931370165E2;1.008562164E3
1.941375945E2;1.008547668E3
1.951381695E2;1.008547668E3
1.961387425E2;1.008527451E3
1.971393225E2;1.008513107E3
1.981399015E2;1.008509140E3
1.991404765E2;1.008499756E3
2.001412065E2;1.008493576E3
2.011416285E2;1.008489761E3
2.021421995E2;1.008482132E3
2.031427785E2;1.008477249E3
2.041433555E2;1.008473663E3
2.051439325E2;1.008473358E3
2.061445065E2;1.008471985E3
2.071450855E2;1.008470764E3
2.081459305E2;1.008470764E3
2.091462425E2;1.008476562E3
2.101468135E2;1.008491669E3
2.111473945E2;1.008511429E3
2.121479675E2;1.008533401E3
2.131485475E2;1.008567352E3
2.141491205E2;1.008597336E3
2.151496955E2;1.008618393E3
2.161503765E2;1.008633575E3
2.171508495E2;1.008637009E3
2.181514245E2;1.008637009E3
2.191520025E2;1.008612442E3
2.201525765E2;1.008586655E3
2.211531545E2;1.008580093E3
2.221537325E2;1.008580093E3
2.231543115E2;1.008588791E3
2.241548865E2;1.008596420E3
2.251554625E2;1.008616409E3
2.261560415E2;1.008627243E3
2.271566175E2;1.008637466E3
2.281571875E2;1.008642044E3
