"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
3.403401375E-2;5.233434370E1;4.857494253E0;3.589607766E-1;9.066399574E0;1.831406298E2;1.345706526E1;6.606731916E0
5.702710152E-2;5.233305135E1;4.857359987E0;-3.593820097E0;NaN;NaN;7.747064277E1;7.873339201E0
4.675190449E-1;5.233321585E1;4.857603232E0;-3.593820097E0;NaN;NaN;3.559363305E1;7.873387500E0
5.009461403E0;5.233320680E1;4.857506355E0;-2.825619363E0;4.680863380E0;2.430677626E2;2.723670873E1;1.452353264E1
5.968467951E0;5.233318175E1;4.857514587E0;-7.464346478E-1;4.680863380E0;2.297993666E2;2.868231184E1;7.240158802E0
6.968475699E0;5.233315116E1;4.857535905E0;-6.749217750E-1;3.840401888E0;2.106931499E2;3.177490316E1;7.264173798E0
7.968483567E0;5.233312674E1;4.857528274E0;-6.438432981E-1;3.256485462E0;2.092029205E2;3.977069346E1;8.112863201E0
8.968492031E0;5.233310138E1;4.857510610E0;-6.251428774E-1;3.223646164E0;2.070671945E2;4.105601968E1;7.629041944E0
9.968500376E0;5.233305882E1;4.857509802E0;-6.132989545E-1;2.672409058E0;2.009439933E2;4.392282783E1;8.020429412E0
1.096842039E1;5.233299175E1;4.857564965E0;-6.082200183E-1;3.511079311E0;1.858937025E2;4.941802404E1;8.518745007E0
1.196855843E1;5.233291307E1;4.857640633E0;-6.035496513E-1;3.511079311E0;1.763510032E2;4.884445588E1;8.136805367E0
1.296852624E1;5.233278754E1;4.857673377E0;-6.095794775E-1;4.462896347E0;1.743618596E2;4.130088942E1;7.874740202E0
1.396879637E1;5.233273660E1;4.857637947E0;-6.050070670E-1;5.285755634E0;1.780272557E2;4.153954432E1;7.812420775E0
1.496843553E1;5.233267236E1;4.857642212E0;-6.060384703E-1;5.285755634E0;1.839057762E2;3.721446032E1;7.765814670E0
1.596837080E1;5.233260873E1;4.857675660E0;-6.011844010E-1;4.991535664E0;1.829816756E2;3.454993493E1;7.744882585E0
1.696768570E1;5.233256498E1;4.857668335E0;-6.013811215E-1;4.793536186E0;1.834111141E2;3.465969891E1;7.625512977E0
1.796792483E1;5.233252197E1;4.857664150E0;-6.013792483E-1;4.793536186E0;1.834111108E2;3.465969891E1;7.625512977E0
1.896784770E1;5.233247698E1;4.857658673E0;-6.051084902E-1;4.759187222E0;1.843137633E2;3.474483288E1;7.522025526E0
1.996777463E1;5.233245659E1;4.857648198E0;-6.076480011E-1;4.086276531E0;1.856646522E2;3.441032497E1;7.527486293E0
2.096799660E1;5.233242253E1;4.857617883E0;-6.100110942E-1;4.086276531E0;1.910918445E2;3.400183273E1;7.431757898E0
2.196791542E1;5.233237518E1;4.857577811E0;-6.086666398E-1;4.072290897E0;1.940865734E2;3.235204836E1;7.341859259E0
2.296804130E1;5.233231508E1;4.857529513E0;-6.051829206E-1;4.072290897E0;1.960854515E2;3.114120376E1;7.296182175E0
2.396818185E1;5.233224396E1;4.857495893E0;-6.080051893E-1;4.789586544E0;1.909597271E2;3.033909059E1;7.266474307E0
2.496810329E1;5.233216406E1;4.857474583E0;-6.113316324E-1;5.456804752E0;1.884688427E2;2.943009968E1;7.205458484E0
2.596802711E1;5.233205945E1;4.857461344E0;-6.192807062E-1;5.456804752E0;1.874476369E2;2.671692785E1;7.135834583E0
2.696795523E1;5.233198179E1;4.857443420E0;-6.207016204E-1;5.971910954E0;1.881141586E2;2.668877915E1;7.118872465E0
2.796788824E1;5.233192796E1;4.857430096E0;-6.199935880E-1;5.971910954E0;1.888313814E2;2.740492244E1;7.084176747E0
2.896782565E1;5.233185531E1;4.857409191E0;-6.216169382E-1;6.654802322E0;1.900836447E2;2.858777931E1;7.069821699E0
2.996776640E1;5.233179089E1;4.857391486E0;-6.218072893E-1;6.654802322E0;1.904472258E2;3.005223625E1;7.089520084E0
3.096771264E1;5.233171772E1;4.857376868E0;-6.229444398E-1;6.654802322E0;1.791938171E2;3.134198281E1;7.946548962E0
3.196766233E1;5.233164349E1;4.857373808E0;-6.191019099E-1;6.510257721E0;1.875567523E2;3.218888231E1;8.710360655E0
3.296761501E1;5.233157029E1;4.857410588E0;-6.187056210E-1;6.510257721E0;1.864996454E2;3.215575311E1;9.304312224E0
3.396757054E1;5.233149077E1;4.857457314E0;-6.300238362E-1;6.077177525E0;1.812827441E2;3.169235850E1;9.751931065E0
3.496752965E1;5.233141032E1;4.857491450E0;-6.539080674E-1;6.077177525E0;1.799951870E2;4.863498298E1;1.676346564E1
3.596749198E1;5.233134135E1;4.857430345E0;-6.886712266E-1;5.793190002E0;1.797401276E2;4.600694999E1;1.720903566E1
3.696745574E1;5.233129144E1;4.857430715E0;-7.241199315E-1;5.254357815E0;1.797401276E2;6.270581599E1;2.325072086E1
3.796742296E1;5.233123890E1;4.857432160E0;-7.398343710E-1;5.177874088E0;1.800000000E2;5.514150354E1;2.043062768E1
3.896739221E1;5.233118385E1;4.857458564E0;-8.223909540E-1;4.730609417E0;1.800000000E2;2.464544898E1;1.736783725E1
3.996736479E1;5.233111292E1;4.857453106E0;-8.927607518E-1;5.714299202E0;1.800000000E2;2.260429112E1;1.716437165E1
4.096733809E1;5.233106789E1;4.857452270E0;-9.650861844E-1;5.302577496E0;1.800000000E2;2.578741131E1;2.008776292E1
4.196731424E1;5.233101600E1;4.857432160E0;-1.044762256E0;5.302577496E0;1.800000000E2;2.242127526E1;1.714765704E1
4.296729136E1;5.233093585E1;4.857432160E0;-1.075495888E0;5.302577496E0;1.800000000E2;3.759224991E1;2.672182759E1
4.396726990E1;5.233080723E1;4.857434265E0;-1.193560628E0;8.237168312E0;1.796957855E2;4.630685098E1;1.816660961E1
4.496725070E1;5.233072829E1;4.857434760E0;-1.272873267E0;8.237168312E0;1.800000000E2;5.185603148E1;1.788545374E1
4.596723354E1;5.233064420E1;4.857435108E0;-1.323969137E0;8.039210320E0;1.794503174E2;4.822164120E1;1.552157955E1
