"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
4.696721673E1;5.233061387E1;4.857435583E0;-1.404061774E0;7.833607197E0;1.794503174E2;4.444556186E1;1.347375813E1
4.796720195E1;5.233061929E1;4.857435498E0;-1.466476586E0;6.514312744E0;1.794503174E2;2.643740355E1;1.331144892E1
4.896718800E1;5.233060157E1;4.857435776E0;-1.525521443E0;4.192605019E0;1.794503174E2;2.569214408E1;1.325021965E1
4.996717525E1;5.233056031E1;4.857436403E0;-1.576480326E0;4.192605019E0;1.794901886E2;2.281492704E1;1.145935339E1
5.096716392E1;5.233054856E1;4.857436574E0;-1.626728836E0;4.045412540E0;1.794901886E2;2.339048982E1;1.150332238E1
5.196715283E1;5.233054461E1;4.857436631E0;-1.661826029E0;2.794385672E0;1.794901886E2;3.188144524E1;1.530005323E1
5.296714318E1;5.233055006E1;4.857436552E0;-1.684132186E0;2.533934593E0;1.794901886E2;3.720615034E1;1.739591326E1
5.396713448E1;5.233052946E1;4.857436851E0;-1.693981123E0;2.185883284E0;1.794901886E2;3.849478579E1;1.732440605E1
5.496712673E1;5.233051162E1;4.857437110E0;-1.707417363E0;2.185883284E0;1.794901886E2;4.054538558E1;1.725233417E1
5.596711969E1;5.233053126E1;4.857436825E0;-1.707417738E0;0.000000000E0;1.794901886E2;4.227946510E1;1.723410885E1
5.696711302E1;5.233050826E1;4.857466065E0;-1.731017319E0;1.977657676E0;1.794925498E2;4.313300518E1;1.731707346E1
5.796710706E1;5.233053211E1;4.857465426E0;-1.740847651E0;1.711115599E0;1.794875942E2;3.244573503E1;1.520059176E1
5.896710253E1;5.233054094E1;4.857465184E0;-1.742510920E0;1.508823395E0;1.794960108E2;2.754551806E1;1.334559074E1
5.996709776E1;5.233051658E1;4.857466227E0;-1.737775115E0;1.944481134E0;1.794939638E2;2.522618939E1;1.337731517E1
6.096709371E1;5.233045534E1;4.857467838E0;-1.715489038E0;1.944481134E0;1.794901888E2;1.739408112E1;9.706708473E0
6.196709049E1;5.233047282E1;4.857467584E0;-1.715489335E0;0.000000000E0;1.794901886E2;1.410477798E1;8.141894449E0
6.296708846E1;5.233034635E1;4.857470872E0;-1.692144534E0;3.479026794E0;1.794901890E2;2.673171041E1;1.513592449E1
6.396708572E1;5.233029859E1;4.857472849E0;-1.676967557E0;4.235036373E0;1.789751657E2;2.098986559E1;1.136970108E1
6.496708429E1;5.233026205E1;4.857469130E0;-1.659456701E0;4.300613403E0;1.812427898E2;2.724295694E1;1.335520257E1
6.596708202E1;5.233021919E1;4.857471332E0;-1.649405199E0;4.300613403E0;1.800107593E2;4.104658614E1;1.744630672E1
6.696708095E1;5.233015143E1;4.857484163E0;-1.650829894E0;4.659006596E0;1.770380118E2;4.011450057E1;1.520929090E1
6.796708024E1;5.233008803E1;4.857511768E0;-1.646367302E0;5.528748035E0;1.731776571E2;4.582456437E1;1.512079060E1
6.896707940E1;5.233001428E1;4.857558648E0;-1.642724534E0;6.323127270E0;1.683365291E2;5.842210430E1;1.716414438E1
6.996707964E1;5.232992281E1;4.857580037E0;-1.637359912E0;7.249018192E0;1.701778087E2;4.594281053E1;1.307644298E1
7.096708024E1;5.232984950E1;4.857447105E0;-1.631823286E0;7.249018192E0;1.802016907E2;4.946848157E1;1.310440284E1
7.196707988E1;5.232978538E1;4.857446736E0;-1.623161577E0;7.249018192E0;1.802016907E2;4.617109745E1;1.309023225E1
7.296708095E1;5.232969363E1;4.857446209E0;-1.611022664E0;7.422287464E0;1.802016907E2;3.864402863E1;1.132360595E1
7.396708190E1;5.232962948E1;4.857445840E0;-1.611849084E0;7.417025089E0;1.802016907E2;3.074812721E1;1.312533889E1
7.496708286E1;5.232955307E1;4.857445563E0;-1.594736778E0;7.507653236E0;1.800000000E2;2.937908818E1;1.308959318E1
7.596708429E1;5.232949087E1;4.857445563E0;-1.596495262E0;7.417025089E0;1.800000000E2;2.916778618E1;1.307871806E1
7.696708655E1;5.232942338E1;4.857445563E0;-1.597648619E0;7.375527382E0;1.800000000E2;2.910216286E1;1.307697096E1
7.796708739E1;5.232934206E1;4.857445563E0;-1.608762928E0;7.462090015E0;1.800000000E2;2.910424364E1;1.304770858E1
7.896709037E1;5.232926135E1;4.857445563E0;-1.615674651E0;7.824514866E0;1.800000000E2;2.948754286E1;1.303610952E1
7.996709180E1;5.232919867E1;4.857445563E0;-1.617123055E0;7.619657993E0;1.800000000E2;4.051997659E1;1.705042200E1
8.096709406E1;5.232908005E1;4.857445382E0;-1.643612045E0;7.824514866E0;1.801959381E2;3.430266667E1;1.494670110E1
8.196709645E1;5.232890437E1;4.857444402E0;-1.602297323E0;1.039481926E1;1.801959381E2;2.210421810E1;1.104538989E1
8.296709943E1;5.232877071E1;4.857444702E0;-1.552819957E0;1.039481926E1;1.797918549E2;1.526254179E1;9.272038901E0
8.396710193E1;5.232868538E1;4.857445208E0;-1.539610540E0;9.613430023E0;1.797918549E2;1.451105175E1;9.245644694E0
8.496710455E1;5.232860276E1;4.857446322E0;-1.538801055E0;9.234158516E0;1.788192749E2;1.428329662E1;9.244633369E0
8.596710801E1;5.232851329E1;4.857449332E0;-1.533424865E0;9.298148155E0;1.788192749E2;1.457247552E1;9.296640310E0
8.696711111E1;5.232843082E1;4.857450202E0;-1.553280532E0;9.298148155E0;1.797038727E2;1.403718062E1;9.261892385E0
8.796711433E1;5.232834501E1;4.857450897E0;-1.564674266E0;9.088532448E0;1.798426361E2;1.146004521E1;7.698037395E0
8.896711767E1;5.232824973E1;4.857451324E0;-1.558477621E0;9.088532448E0;1.798426361E2;1.134278027E1;7.662617015E0
8.996712112E1;5.232816314E1;4.857451712E0;-1.549789381E0;9.389435768E0;1.798426361E2;1.335573673E1;9.130813059E0
9.096712434E1;5.232806834E1;4.857479269E0;-1.523173600E0;9.477259636E0;1.798426361E2;1.269212311E1;9.122296283E0
9.196712756E1;5.232796876E1;4.857479697E0;-1.526871634E0;9.477259636E0;1.791858368E2;1.606196989E1;1.386063982E1
9.296713150E1;5.232788118E1;4.857476902E0;-1.479153374E0;9.477259636E0;1.791858368E2;1.555892234E1;1.521773023E1
9.396713495E1;5.232780179E1;4.857470555E0;-1.476322604E0;9.371468544E0;1.791858368E2;1.646118609E1;1.624356680E1
9.496713865E1;5.232771784E1;4.857473716E0;-1.461962746E0;9.371468544E0;1.788349457E2;1.522820819E1;1.472536275E1
9.596714199E1;5.232762128E1;4.857483575E0;-1.423964859E0;9.343130112E0;1.790191956E2;1.628910811E1;1.685633711E1
9.696714652E1;5.232754295E1;4.857480463E0;-1.417010021E0;9.188425064E0;1.788723755E2;1.657812235E1;1.689202969E1
9.796714985E1;5.232748053E1;4.857480458E0;-1.398347599E0;8.008735657E0;1.788723755E2;1.784575960E1;1.692980159E1
9.896715403E1;5.232739670E1;4.857488719E0;-1.388353903E0;8.249650002E0;1.800000000E2;1.881014545E1;1.718281402E1
9.996715784E1;5.232732758E1;4.857478014E0;-1.377549164E0;8.008735657E0;1.800000000E2;2.279572022E1;2.025893504E1
1.009671614E2;5.232726065E1;4.857494561E0;-1.379630407E0;7.816429615E0;1.808372345E2;1.808061168E1;2.049144700E1
1.019671663E2;5.232723601E1;4.857491863E0;-1.435557069E0;5.691304207E0;1.808372345E2;1.727836082E1;2.064466338E1
1.029671701E2;5.232718455E1;4.857488808E0;-1.457496591E0;5.691304207E0;1.816280060E2;1.688064904E1;2.076949812E1
1.039671739E2;5.232715431E1;4.857487138E0;-1.380932619E0;5.010707855E0;1.816280060E2;1.902700162E1;2.385470971E1
1.049671783E2;5.232712765E1;4.857486540E0;-1.318210154E0;4.348854065E0;1.813440857E2;1.720050435E1;2.102658255E1
1.059671823E2;5.232711465E1;4.857485975E0;-1.226959584E0;3.370177031E0;1.813440857E2;1.835448444E1;2.112852110E1
1.069671869E2;5.232711437E1;4.857486293E0;-1.170938938E0;3.370177031E0;1.813440857E2;1.974979121E1;2.130175983E1
1.079671913E2;5.232711544E1;4.857487683E0;-1.152143541E0;1.938826919E0;1.813440857E2;2.053923600E1;2.135877881E1
1.089671949E2;5.232709945E1;4.857488016E0;-1.124138868E0;1.764687419E0;1.813440857E2;1.841167683E1;1.807820677E1
1.099671990E2;5.232708976E1;4.857488192E0;-1.085179230E0;1.608230472E0;1.813440857E2;2.268787242E1;2.185556398E1
1.109672041E2;5.232708434E1;4.857488060E0;-1.231480020E0;1.626529694E0;1.813440857E2;3.019907546E1;1.708483188E1
1.119672077E2;5.232708574E1;4.857488376E0;-1.307775911E0;1.626529694E0;1.813440857E2;2.689191997E1;1.491243987E1
1.129672121E2;5.232709081E1;4.857488784E0;-1.341677860E0;1.626529694E0;1.813440857E2;2.370187005E1;1.298271160E1
1.139672164E2;5.232710648E1;4.857490078E0;-1.374918587E0;1.094464898E0;1.813440857E2;2.415993341E1;1.291952368E1
1.149672213E2;5.232710163E1;4.857490239E0;-1.393560774E0;1.275370121E0;1.813440857E2;2.813932143E1;1.469156826E1
1.159672257E2;5.232710534E1;4.857490787E0;-1.409182084E0;1.094464898E0;1.813440857E2;2.456217155E1;1.279490989E1
1.169672298E2;5.232711517E1;4.857491163E0;-1.409182179E0;0.000000000E0;1.813440857E2;2.487468944E1;1.281291326E1
1.179672339E2;5.232710846E1;4.857491173E0;-1.438247585E0;9.090611935E-1;1.813440857E2;2.518967321E1;1.286407631E1
1.189672383E2;5.232710478E1;4.857489714E0;-1.450234570E0;9.809187651E-1;1.813440857E2;2.533757759E1;1.292590585E1
1.199672434E2;5.232709506E1;4.857487954E0;-1.466691285E0;9.210994840E-1;1.813440857E2;2.617925039E1;1.296710712E1
1.209672472E2;5.232709608E1;4.857488487E0;-1.484925080E0;9.210994840E-1;1.813440857E2;1.934419049E1;9.474784359E0
1.219672518E2;5.232708981E1;4.857488696E0;-1.502276348E0;9.850988984E-1;1.813440857E2;2.256637880E1;1.113775577E1
1.229672565E2;5.232709067E1;4.857490095E0;-1.526965779E0;9.866072536E-1;1.813440857E2;2.628429527E1;1.293960233E1
1.239672617E2;5.232708911E1;4.857463573E0;-1.554893957E0;9.866072536E-1;1.813440857E2;2.638248547E1;1.295114182E1
1.249672661E2;5.232706736E1;4.857462861E0;-1.576463286E0;1.260244489E0;1.806280365E2;2.634671630E1;1.296589197E1
1.259672700E2;5.232704720E1;4.857462500E0;-1.592753631E0;1.710683823E0;1.806280365E2;2.721774995E1;1.298502370E1
1.269672743E2;5.232702207E1;4.857462050E0;-1.605513707E0;1.940195680E0;1.806280365E2;3.264190861E1;1.495224661E1
1.279672788E2;5.232696607E1;4.857461048E0;-1.613476537E0;1.940195680E0;1.806280365E2;2.479548106E1;1.124136792E1
1.289672835E2;5.232685612E1;4.857488284E0;-1.618536910E0;3.739439964E0;1.806280360E2;2.354038476E1;1.121143913E1
1.299672880E2;5.232675649E1;4.857486068E0;-1.610078162E0;5.875551224E0;1.800000000E2;2.547937173E1;1.302317220E1
1.309672934E2;5.232666505E1;4.857483693E0;-1.609634478E0;6.431969643E0;1.791329498E2;2.145928320E1;1.126016334E1
1.319672978E2;5.232660251E1;4.857476810E0;-1.593428149E0;6.313177586E0;1.791329498E2;2.188271398E1;1.130430196E1
1.329673021E2;5.232654600E1;4.857490594E0;-1.584872412E0;6.313177586E0;1.791329498E2;2.168549190E1;1.134401179E1
1.339673060E2;5.232649043E1;4.857465133E0;-1.590274810E0;5.803753376E0;1.791329498E2;2.601085547E1;1.324049365E1
1.349673114E2;5.232642048E1;4.857466861E0;-1.582557150E0;6.062532902E0;1.791329498E2;2.703768019E1;1.319824025E1
1.359673153E2;5.232635568E1;4.857468462E0;-1.575661717E0;6.062532902E0;1.791329498E2;2.834408134E1;1.321570564E1
1.369674110E2;5.232625936E1;4.857470093E0;-1.576183637E0;6.099227905E0;1.793948212E2;2.456854652E1;1.138076812E1
1.379668384E2;5.232613803E1;4.857471365E0;-1.558505917E0;8.113050461E0;1.798010254E2;2.410901429E1;1.134694414E1
1.389668128E2;5.232604679E1;4.857471882E0;-1.565601273E0;8.113050461E0;1.798010254E2;2.686534429E1;1.309070265E1
1.399672263E2;5.232593985E1;4.857472489E0;-1.576308182E0;8.113050461E0;1.798010254E2;1.881873924E1;9.612241478E0
1.409665693E2;5.232583398E1;4.857473089E0;-1.572331185E0;8.314497948E0;1.798009949E2;2.485565117E1;1.311182720E1
1.419665244E2;5.232572268E1;4.857473832E0;-1.586726706E0;8.748569489E0;1.794023743E2;2.430516604E1;1.315955391E1
1.429673707E2;5.232562593E1;4.857475479E0;-1.574640156E0;8.645278931E0;1.794023743E2;2.084028810E1;1.134165387E1
1.439673584E2;5.232554406E1;4.857476873E0;-1.574234357E0;8.645278931E0;1.794023743E2;3.361233377E1;1.719539866E1
1.449673030E2;5.232547167E1;4.857478105E0;-1.584938196E0;8.611241341E0;1.794023743E2;3.210895297E1;1.513477820E1
1.459667634E2;5.232539057E1;4.857479138E0;-1.577234105E0;8.253492355E0;1.798937683E2;2.482801575E1;1.138335537E1
1.469661698E2;5.232529867E1;4.857479417E0;-1.583449008E0;8.440434456E0;1.798937683E2;2.376104257E1;1.131381581E1
1.479661105E2;5.232521465E1;4.857479671E0;-1.574810096E0;8.440434456E0;1.798937683E2;1.969386898E1;9.644947796E0
1.489666557E2;5.232512115E1;4.857479954E0;-1.582215281E0;8.440434456E0;1.798937683E2;2.332284995E1;1.134697395E1
1.499664716E2;5.232502580E1;4.857480242E0;-1.574297489E0;8.613843918E0;1.798937683E2;2.000982649E1;9.851473543E0
1.509664164E2;5.232493093E1;4.857480161E0;-1.575677671E0;9.390328407E0;1.801290283E2;2.437856425E1;1.161899437E1
1.519663630E2;5.232485071E1;4.857479869E0;-1.578939350E0;9.014222145E0;1.801290283E2;2.107914112E1;9.847740880E0
1.529663123E2;5.232476112E1;4.857479540E0;-1.556023198E0;9.014222145E0;1.801290283E2;1.810039669E1;8.318800132E0
1.539662654E2;5.232465468E1;4.857479149E0;-1.558222081E0;9.014222145E0;1.801290283E2;2.085094315E1;9.871960257E0
1.549662211E2;5.232455334E1;4.857478776E0;-1.561572304E0;9.124198914E0;1.801290283E2;2.829650037E1;1.340091534E1
1.559661790E2;5.232445218E1;4.857478404E0;-1.574657919E0;9.221430778E0;1.801290283E2;2.776098678E1;1.330993237E1
1.569661400E2;5.232436977E1;4.857478102E0;-1.577247659E0;9.028815269E0;1.801290283E2;2.497238207E1;1.150376503E1
1.579661028E2;5.232429867E1;4.857477840E0;-1.568862576E0;9.028815269E0;1.801290283E2;2.142809437E1;9.825496025E0
1.589660690E2;5.232420703E1;4.857506195E0;-1.599054198E0;8.513360023E0;1.781900940E2;2.112455954E1;9.827519455E0
1.599660361E2;5.232408039E1;4.857514358E0;-1.618559231E0;8.513360023E0;1.767212219E2;2.581090200E1;1.327500181E1
1.609660053E2;5.232396535E1;4.857523797E0;-1.652880047E0;9.590877533E0;1.767212219E2;2.425774090E1;1.325589791E1
1.619659765E2;5.232389176E1;4.857533176E0;-1.628630090E0;8.633286476E0;1.774394989E2;2.718321468E1;1.587156959E1
1.629659499E2;5.232376225E1;4.857511902E0;-1.593609369E0;9.961240768E0;1.794141693E2;2.841797759E1;1.812053223E1
1.639659247E2;5.232366349E1;4.857513372E0;-1.602491620E0;9.961240768E0;1.795200500E2;2.236279512E1;1.471235888E1
1.649659009E2;5.232357390E1;4.857513965E0;-1.587954144E0;9.961240768E0;1.800000000E2;2.185920879E1;1.469942170E1
1.659658788E2;5.232347778E1;4.857513965E0;-1.559346004E0;9.823957443E0;1.800000000E2;2.211845180E1;1.474132292E1
1.669658575E2;5.232338682E1;4.857503108E0;-1.566549118E0;9.436734200E0;1.821487122E2;1.988252158E1;1.267784058E1
1.679658377E2;5.232329232E1;4.857497321E0;-1.562559165E0;9.436734200E0;1.821487122E2;1.618619885E1;1.069858452E1
1.689658194E2;5.232319908E1;4.857491769E0;-1.548975233E0;9.398280144E0;1.817600098E2;1.572871775E1;1.070704456E1
1.699658021E2;5.232312211E1;4.857487909E0;-1.561241844E0;9.044244766E0;1.817600098E2;1.634343622E1;1.076672715E1
1.709657853E2;5.232302107E1;4.857484039E0;-1.652145115E0;9.044244766E0;1.810414886E2;1.375589496E1;1.082725398E1
1.719657692E2;5.232302310E1;4.857484099E0;-1.798208984E0;5.587704060E0;1.810414886E2;1.250276251E2;1.032594214E1
1.729657546E2;5.232298130E1;4.857483158E0;-1.829448798E0;5.227511977E0;1.795124207E2;2.797450294E1;3.864296985E0
1.739657409E2;5.232292251E1;4.857483975E0;-1.753844390E0;4.499457594E0;1.795124207E2;3.716669953E1;6.055977784E0
1.749627281E2;5.232289021E1;4.857484423E0;-1.759027296E0;3.584041446E0;1.795124207E2;3.639110387E1;6.689063340E0
1.759627157E2;5.232288529E1;4.857484460E0;-1.690475071E0;2.074064206E0;1.801347198E2;3.572630505E1;7.455631991E0
1.769627050E2;5.232287118E1;4.857484405E0;-1.669016430E0;1.247011533E0;1.801347198E2;3.510171824E1;8.397710581E0
1.779626937E2;5.232286128E1;4.857484367E0;-1.670711277E0;1.566870419E0;1.801347198E2;3.169464013E1;8.255135953E0
1.789626838E2;5.232283940E1;4.857484284E0;-1.804350574E0;1.478419507E0;1.801347198E2;3.162087283E1;9.000699098E0
1.799626739E2;5.232283095E1;4.857484251E0;-1.807896978E0;1.256544621E0;1.801347198E2;3.150777730E1;8.995720418E0
1.809626646E2;5.232281938E1;4.857484207E0;-1.777368305E0;1.312852630E0;1.801347198E2;3.138979664E1;8.862339248E0
1.819636563E2;5.232278158E1;4.857484062E0;-1.709476842E0;1.893418923E0;1.801347198E2;3.098445563E1;9.350378915E0
1.829636481E2;5.232274985E1;4.857483940E0;-1.737798229E0;1.979677159E0;1.801347198E2;3.086000372E1;9.593693742E0
1.839636406E2;5.232272338E1;4.857483838E0;-1.792186695E0;1.642993252E0;1.801347198E2;3.019272538E1;9.475000714E0
1.849636332E2;5.232269983E1;4.857483748E0;-1.866632223E0;1.884335938E0;1.801347198E2;2.966625648E1;9.542312870E0
1.859636260E2;5.232268112E1;4.857483676E0;-1.903868197E0;2.014083041E0;1.801347198E2;2.966625648E1;1.077806304E1
1.869636198E2;5.232265030E1;4.857483558E0;-1.560961940E0;2.450408348E0;1.801347198E2;2.877647657E1;1.076633056E1
1.879636128E2;5.232259584E1;4.857483349E0;-1.482149802E0;3.626441846E0;1.801347198E2;2.770379026E1;1.061508900E1
1.889636072E2;5.232256855E1;4.857483244E0;-1.321424510E0;3.393893174E0;1.801347198E2;2.687572585E1;1.060664767E1
1.899636023E2;5.232254403E1;4.857483150E0;-1.379183748E0;2.760436819E0;1.801347198E2;2.609459194E1;1.021711207E1
1.909635971E2;5.232252248E1;4.857483067E0;-1.544074751E0;2.384147327E0;1.800000000E2;2.557263554E1;1.005850484E1
1.919635917E2;5.232251640E1;4.857529667E0;-1.638973058E0;1.284709632E0;1.757847290E2;2.557263555E1;1.000623220E1
1.929635872E2;5.232252030E1;4.857532622E0;-1.605537288E0;3.578582719E-1;NaN;2.499545107E1;9.524421200E0
1.939635829E2;5.232251401E1;4.857525439E0;-1.566665413E0;2.934286593E-1;NaN;2.485194593E1;9.128864915E0
1.949635781E2;5.232251490E1;4.857521004E0;-1.604889890E0;2.405240126E-1;NaN;2.431898748E1;8.772305396E0
1.959635737E2;5.232251302E1;4.857513903E0;-1.703480402E0;1.597298274E-1;NaN;2.382932582E1;8.473294878E0
1.969635700E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;NaN;2.347003472E1;8.444300322E0
1.979635665E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;NaN;2.332968460E1;8.433202049E0
1.989635630E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;NaN;2.286150784E1;7.559019302E0
1.999635596E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;NaN;2.237486754E1;7.023177089E0
2.009635566E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;NaN;2.185949021E1;6.621209728E0
2.019635533E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;NaN;2.143567865E1;6.322060231E0
2.029635501E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;NaN;2.164158575E1;6.359196647E0
2.039635475E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;NaN;2.149131434E1;6.237102022E0
2.049635446E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;NaN;2.146108219E1;6.169665293E0
2.059635420E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;NaN;2.165956354E1;6.389650385E0
2.069635391E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;NaN;2.141957748E1;6.254988675E0
2.079635367E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;NaN;2.151938459E1;6.189569427E0
2.089635350E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;NaN;2.117734022E1;6.039784099E0
2.099635323E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;NaN;2.070487226E1;5.918423066E0
2.109635307E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;2.678048722E2;2.050235997E1;5.911769951E0
2.119635278E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;2.646553472E2;2.031209922E1;5.847926564E0
2.129635255E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;2.646553472E2;2.007647011E1;5.727878304E0
2.139635245E2;5.232250337E1;4.857517213E0;-1.743050693E0;0.000000000E0;NaN;1.964853768E1;5.581299712E0
