sensor,axis,start_time,end_time,start_idx,end_idx,mean,std,min,max,range,median,variance,dominant_freq,spectral_centroid
Accelerometer,Acceleration x (m/s^2),0.024349064,5.007479949,0,300,-1.8456920748450465,5.238113235510241,-17.85954666,8.806472778,26.666019438,-0.4967968464,27.43783026802756,0.2,5.995790840397047
Accelerometer,Acceleration x (m/s^2),5.024145939,10.00727682,300,600,-4.269891135413866,4.602193378108229,-21.79322052,7.600393295,29.393613815,-4.17818141,21.180183889503233,3.4000000000000004,8.538113897516203
Accelerometer,Acceleration x (m/s^2),10.02394281,15.0070737,600,900,-0.73544887537301,4.045386536983856,-11.98297977,10.34893703,22.331916800000002,-0.82570031285,16.365152233610235,3.6,9.37058705697131
Accelerometer,Acceleration x (m/s^2),15.02373969,20.00687057,900,1200,0.32611420566826665,3.5707101939696066,-7.024587631,11.33115768,18.355745311,-0.005087678319999999,12.749971289318465,4.4,9.397803979349197
Accelerometer,Acceleration x (m/s^2),20.02353656,25.00666745,1200,1500,0.3908773682152033,3.638027276666435,-7.413046837,12.92749214,20.340538977,0.22595278175,13.235242465768998,3.6,10.461916006623618
Accelerometer,Acceleration x (m/s^2),25.02333344,30.00646432,1500,1800,0.14312936518282005,3.5386408222093904,-6.508038998,13.23514652,19.743185518,-0.34177228805,12.52197886860675,3.4000000000000004,10.16510393401241
Accelerometer,Acceleration x (m/s^2),30.02313031,35.0062612,1800,2100,0.5235001817653699,3.728490436604982,-8.503605843,10.82598114,19.329586983,0.2032078654,13.90164093585481,4.4,9.67579906435645
Accelerometer,Acceleration x (m/s^2),35.02292719,40.00605807,2100,2400,0.22348676035541667,3.9724783488306548,-8.757390976,13.74152088,22.498911856,-0.267851308,15.780584231928326,3.6,10.072094774290127
Accelerometer,Acceleration x (m/s^2),40.02272406,45.00585495,2400,2700,0.49858452237771966,3.428256498617651,-8.408436775,14.13476849,22.543205265,0.2223614827,11.752942620314155,3.6,9.214041433968552
Accelerometer,Acceleration x (m/s^2),45.02252094,50.00565182,2700,3000,0.9627683601561998,2.932054013958557,-7.055712223,11.75014305,18.805855273,1.361402929,8.596940740770485,0.2,8.787272991251326
Accelerometer,Acceleration x (m/s^2),50.02231781,55.0054487,3000,3300,-0.6678126795207,2.7370772458948607,-6.6163764,9.676764488,16.293140888,-1.1142016055,7.491591849995396,0.2,9.43480012752226
Accelerometer,Acceleration x (m/s^2),55.02211469,60.00524571,3300,3600,0.3935648614367366,3.6891719234189493,-7.815272808,13.34348488,21.158757688,-0.031124622565000003,13.609989480542671,3.6,9.721417091023161
Accelerometer,Acceleration x (m/s^2),60.0219117,65.00504258,3600,3900,0.0316373760715833,3.5693432198723465,-9.523535728,14.60881996,24.132355688,-0.5446808934,12.740211021248689,3.6,9.36012712452762
Accelerometer,Acceleration x (m/s^2),65.02170857,70.00483946,3900,4200,0.4933551911567334,3.9844486254207134,-8.446145058,13.21898651,21.665131568,0.068234745415,15.875830848617012,3.6,9.550926152500711
Accelerometer,Acceleration x (m/s^2),70.02150545,75.00463633,4200,4500,0.09821813516113335,3.8581973691574563,-8.06726265,13.21719074,21.28445339,-0.5476736128499999,14.885686939373517,3.6,9.697280820285277
Accelerometer,Acceleration x (m/s^2),75.02130232,80.00443321,4500,4800,0.5160761689988334,4.4695463055934965,-10.53448772,20.14900208,30.683489799999997,0.1613093391,19.976844177844473,3.6,10.17558296246059
Accelerometer,Acceleration x (m/s^2),80.0210992,85.00423008,4800,5100,-0.05251083256633331,3.6855743190702475,-9.764751434,13.74032402,23.505075454,-0.5147533715,13.583458061390118,3.6,9.549190045253752
Accelerometer,Acceleration x (m/s^2),85.02089607,90.00402696,5100,5400,-5.17648953129256,5.490282967986386,-22.10805893,4.378396511,26.486455440999997,-3.6568437815,30.1432070685614,0.4,7.0367748507381185
Accelerometer,Acceleration x (m/s^2),90.02069295,95.00382383,5400,5700,-4.552524668358097,5.52197122123968,-21.98894691,12.27387524,34.26282215,-4.4804491995,30.492166168199237,3.6,9.467968209255298
Accelerometer,Acceleration x (m/s^2),95.02048982,100.0036207,5700,6000,-3.0602865860897333,4.572035060284577,-18.08280754,7.799710751,25.882518291,-2.9667150975,20.903504592471396,3.6,9.026042853851772
Accelerometer,Acceleration x (m/s^2),100.0202867,105.0034176,6000,6300,-0.32175078031173,3.8359620478686316,-12.29242992,10.42315674,22.71558666,-0.50487728415,14.714604832688504,4.4,9.618628769604168
Accelerometer,Acceleration x (m/s^2),105.0200836,110.0032145,6300,6600,0.40649155099611667,3.6848150551374754,-8.505401611,11.97819138,20.483592991000002,-0.0065840545575,13.577861990567797,4.4,10.079026825032756
Accelerometer,Acceleration x (m/s^2),110.0198804,115.0030113,6600,6900,0.3169005207959267,3.9760896711524896,-8.113949776,12.76887608,20.882825856,-0.1783680245,15.809289073045514,3.6,9.720974623751248
Accelerometer,Acceleration x (m/s^2),115.0196773,120.0028086,6900,7200,0.3317924627701467,3.794687478919976,-8.155249596,11.98297977,20.138229366,-0.048482584301,14.39965306267204,3.6,9.876874789537112
Accelerometer,Acceleration x (m/s^2),120.0194745,125.0026054,7200,7500,0.3382588007879867,3.897170625997597,-7.633912086,12.85027885,20.484190936,-0.28700493275000005,15.1879388881385,3.6,9.414685434187849
Accelerometer,Acceleration x (m/s^2),125.0192714,130.0024023,7500,7800,0.3063201454912799,3.7775709078978688,-8.453926086,12.45583439,20.909760476,-0.013467384964999999,14.270041964196329,3.6,10.130124420944354
Accelerometer,Acceleration x (m/s^2),130.0190683,135.0021992,7800,8100,0.25989857430087665,4.291049706837098,-11.00794125,15.09065342,26.09859467,-0.24450784175,18.413107586546747,3.6,10.058650962001494
Accelerometer,Acceleration x (m/s^2),135.0188652,140.001996,8100,8400,0.35684379403446664,3.5537570005986407,-7.234080315,12.36844635,19.602526665,-0.045489832755,12.629188819303847,3.6,9.98006610580103
Accelerometer,Acceleration x (m/s^2),140.018662,145.0017929,8400,8700,0.31822531990593333,4.0720814805839245,-9.091980934,13.34707546,22.439056393999998,0.02992752101,16.58184758451457,3.6,9.153322412901552
Accelerometer,Acceleration x (m/s^2),145.0184589,150.0015898,8700,9000,0.43225516071593345,3.989203615225769,-8.826823235,13.76486397,22.591687205,-0.077213004235,15.913745483730345,4.4,10.091199168327202
Accelerometer,Acceleration x (m/s^2),150.0182558,155.0013867,9000,9300,0.26247633826843336,3.9046092817034372,-7.996035099,13.01667595,21.012711049,-0.3540425748,15.245973642764632,3.6,9.25033441001363
Accelerometer,Acceleration x (m/s^2),155.0180527,160.0011836,9300,9600,0.2947102731108,3.8328686447343876,-10.23820496,13.35246277,23.59066773,-0.090081840755,14.69088204778802,3.6,10.588913069061116
Accelerometer,Acceleration x (m/s^2),160.0178495,165.0009804,9600,9900,0.20412364799993665,4.544187514285267,-9.585186958,17.60516357,27.190350527999996,-0.1613093391,20.64964016498611,3.6,10.248964857540036
Accelerometer,Acceleration x (m/s^2),165.0176464,170.0007773,9900,10200,0.6284480120481667,3.8650539686762833,-8.222886086,13.88397598,22.106862066,0.52133741975,14.938642180780286,3.6,10.452446015890265
Accelerometer,Acceleration x (m/s^2),170.0174433,175.0005742,10200,10500,0.27519352947443365,3.9923618263209715,-7.80509758,13.91809273,21.72319031,-0.2439092994,15.938952952264923,3.6,9.502096780223525
Accelerometer,Acceleration x (m/s^2),175.0172402,180.0003706,10500,10800,0.4241886907484667,3.9621463755344615,-9.080608368,14.07551193,23.156120297999998,-0.03411737457,15.69860390116087,3.6,10.290696221425264
Accelerometer,Acceleration x (m/s^2),180.0170366,185.0001675,10800,11100,0.3348370930142,3.880259379057025,-9.977835655,13.57691956,23.554755215,-0.020350714215000003,15.05641284876001,3.6,9.835764736242695
Accelerometer,Acceleration x (m/s^2),185.0168335,189.9999644,11100,11400,0.4700356619204,3.946325228684887,-9.185355186,13.51347256,22.698827746,0.03471592441,15.573482810554824,3.6,10.413776371431972
Accelerometer,Acceleration x (m/s^2),190.0166304,194.9997612,11400,11700,0.3187919440455667,4.16835822335423,-9.700108528,14.7644434,24.464551928,0.04728548415,17.375210278204833,4.4,10.479691000521889
Accelerometer,Acceleration x (m/s^2),195.0164272,199.9995581,11700,12000,0.42709564784252657,4.431800839320562,-8.829815865,16.37933159,25.209147455,-0.037708676420000004,19.640858679402438,4.4,10.080639417460795
Accelerometer,Acceleration x (m/s^2),200.0162241,204.999355,12000,12300,0.3167149815267667,3.697521611715027,-7.43339777,13.08191776,20.51531553,0.08050503209,13.671666069099693,3.6,9.85607673041349
Accelerometer,Acceleration x (m/s^2),205.016021,209.9991519,12300,12600,0.5347768748626367,4.005601774655207,-9.528324127,15.52340508,25.051729207,0.19931729135,16.04484557712094,4.4,10.036297955278346
Accelerometer,Acceleration x (m/s^2),210.0158179,214.9989487,12600,12900,0.42407098064050003,3.6395557478573406,-6.342240334,11.2593317,17.601572034,0.025139118079999998,13.246366041761405,4.4,9.216799643926285
Accelerometer,Acceleration x (m/s^2),215.0156147,219.9987456,12900,13200,0.3862585595045333,4.045315643545327,-11.08515358,12.68029118,23.76544476,0.15951368955,16.36457865591254,3.6,9.999728155843888
Accelerometer,Acceleration x (m/s^2),220.0154116,224.9985425,13200,13500,0.5059028028168667,3.9220618831078897,-7.983465672,13.00949383,20.992959502,0.1816600561,15.382569414927806,3.6,10.084378108207426
Accelerometer,Acceleration x (m/s^2),225.0152085,229.9983394,13500,13800,0.3412675205792667,4.221720682099291,-9.41579628,14.00488281,23.42067909,-0.21368250249999998,17.822925517664906,3.6,9.183344036428403
Accelerometer,Acceleration x (m/s^2),230.0150054,234.9981362,13800,14100,0.008718888794300028,3.6704730234802807,-9.691728592,12.47139645,22.163125042,-0.13437457385,13.472372216096474,3.6,9.878334474268161
Accelerometer,Acceleration x (m/s^2),235.0148022,239.9979335,14100,14400,-1.9767826088477678,2.5630105428613863,-10.89840603,8.614337921,19.512743951,-1.411681235,6.569023042818618,0.2,7.700047632154269
Accelerometer,Acceleration x (m/s^2),240.0145994,244.9977303,14400,14700,-3.3630214019359963,3.5370435618588507,-16.82585144,1.180341482,18.006192922,-2.1221605534999997,12.510677158487145,0.2,5.295382618571753
Accelerometer,Acceleration x (m/s^2),245.0143963,250.1343526,14700,15000,-5.8494956392845,5.784051466674226,-30.84689522,6.5008564,37.34775162,-4.785111189,33.45525136913626,0.2,9.456511851605013
Accelerometer,Acceleration x (m/s^2),250.1510186,255.2560479,15000,15300,-5.747472719092693,4.6862136255768485,-19.53070068,1.203684926,20.734385606,-4.666299105,21.960598144542114,0.2,7.5520180721988295
Accelerometer,Acceleration x (m/s^2),255.2727139,260.2558448,15300,15600,-4.1467174474808335,4.7462393756221815,-23.53679848,9.496601105,33.033399585,-4.279635668,22.526788210706435,4.2,8.934575738201977
Accelerometer,Acceleration x (m/s^2),260.2725107,265.2556416,15600,15900,-2.906233643347137,4.102905833014386,-20.44708061,6.686406612,27.133487222,-2.8778303865000003,16.833836274583472,3.4000000000000004,8.885896397751946
Accelerometer,Acceleration x (m/s^2),265.2723076,270.2554385,15900,16200,0.40867625677863,3.5289334932749887,-7.897274494,12.50252151,20.399796004,-0.0188543389105,12.453371599958016,3.4000000000000004,9.17618024743054
