"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1750605815.401;"2025-06-22 17:23:35.401 UTC+02:00"
"PAUSE";1.159425736E3;1750606974.826;"2025-06-22 17:42:54.826 UTC+02:00"
"START";1.159425736E3;1750607340.394;"2025-06-22 17:49:00.394 UTC+02:00"
"PAUSE";1.767904030E3;1750607948.872;"2025-06-22 17:59:08.872 UTC+02:00"
