Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2)
1.7488575;-2.394271088;8.600964203;4.089944916
1.7639335;-2.516267395;8.619525604;4.002676392
1.7790095;-2.622097321;8.618477783;3.946094055
1.7940845;-2.622995453;9.030271454;3.951931915
1.8091605;-2.455643463;9.153016205;3.733835449
1.8242365;-2.358794861;8.578660583;3.409459991
1.8393125;-2.431244202;8.530460815;3.521726532
1.8543885;-2.354453888;8.988508301;3.710184631
1.8694635;-2.512076111;8.550219727;3.685485992
1.8845395;-2.369722137;8.867410126;3.902384949
1.8996155;-2.65487915;8.256530457;3.608695679
1.9146915;-2.81055542;8.901090088;3.908971252
1.9297665;-2.717598724;8.422984314;3.694317627
1.9448425;-3.03404068;8.666228485;3.725452881
1.9599185;-2.957699432;8.479416962;3.982318726
1.9749945;-2.901117096;8.577163696;4.305796051
1.9900705;-2.958896942;8.34155365;4.454586639
2.0051455;-2.899171143;8.475225677;4.474495239
2.0202215;-2.7590625;8.640482025;4.274511108
2.0352975;-2.663710785;8.477620697;4.237088928
2.0503735;-2.891986084;8.103698273;4.169130249
2.0654485;-2.862198029;8.273145905;4.001778259
2.080524375;-2.678529968;8.410410461;3.707639923
2.095600375;-2.518512726;8.511749725;3.41784256
2.110676375;-2.340682526;8.572373657;3.164419556
2.125752375;-2.310295715;8.796158295;3.211122437
2.140827375;-2.196831665;9.326355743;3.502416687
2.155903375;-2.173480225;9.630074158;3.563639374
2.170979375;-2.082918549;9.755812683;3.478167114
2.186055375;-2.088157654;9.31857193;3.379671936
2.201130375;-2.15297287;8.891060944;3.353326721
2.216206375;-2.242337036;8.650960236;3.394341431
2.231282375;-2.345023499;8.562344513;3.406765594
2.246358375;-2.490371246;8.550668793;3.426973572
2.261434375;-2.683619385;8.64572113;3.468886414
2.276509375;-2.769091644;8.759634247;3.561394043
2.291585375;-2.777623901;8.826096039;3.601660309
2.306661375;-2.665357361;8.737929382;3.658991089
2.321737375;-2.622097321;8.71008728;3.655248871
2.336812375;-2.5613237;8.680149536;3.660637665
2.351888375;-2.548151093;8.763825531;3.632496185
2.366964375;-2.564467163;8.839568024;3.61558136
2.382040375;-2.538121948;8.839118958;3.54417984
2.397116375;-2.441123657;8.826395416;3.475772095
2.412191375;-2.348166962;8.814570007;3.432062988
2.427267375;-2.325563965;8.781189423;3.404520264
2.442343375;-2.298470306;8.756341095;3.456162872
2.457419375;-2.287842407;8.785530396;3.490591278
2.472494375;-2.358794861;8.833281097;3.520079956
2.487570375;-2.419568481;8.878487091;3.562591553
2.502646375;-2.434387665;8.87160141;3.589685211
2.517722375;-2.44546463;8.889863434;3.620820465
2.532798375;-2.415975952;8.920100555;3.613934784
2.547873375;-2.386038208;8.951535187;3.648662567
2.562949375;-2.294877777;8.922645264;3.740571442
2.578025375;-2.314337311;8.820856934;3.679498444
2.593101375;-2.334994354;8.808283081;3.729494476
2.608177375;-2.357297974;8.74750946;3.695664825
2.623252375;-2.331701202;8.729397125;3.733236694
2.638328375;-2.325264587;8.743018799;3.784280548
2.653404375;-2.294129333;8.797954559;3.824247437
2.668480375;-2.242187347;8.820557556;3.82619339
2.683555375;-2.167642365;8.800349579;3.830234985
2.698631375;-2.145787811;8.763675842;3.832929382
2.713707375;-2.139800262;8.735534363;3.838767242
2.728783375;-2.125280457;8.730444946;3.823349304
2.743859375;-2.157912598;8.678053894;3.840563507
2.758934375;-2.221380615;8.661288757;3.793561249
2.774010375;-2.276765442;8.718170471;3.745361481
2.789086375;-2.290536804;8.755143585;3.736380157
2.804162375;-2.28634552;8.744365997;3.766018524
2.819237375;-2.253713379;8.788075104;3.746409302
2.834313375;-2.28634552;8.842861176;3.758683777
2.849389375;-2.253863068;8.83762207;3.766617279
2.864465375;-2.199675751;8.796307983;3.791764984
2.879541375;-2.177671509;8.771160278;3.818110199
2.894616375;-2.218087463;8.712182922;3.860472107
2.909692375;-2.281854858;8.635093231;3.894900513
2.924768375;-2.352058868;8.571924591;3.905378723
2.939844375;-2.43723175;8.598718872;3.911665649
2.954919375;-2.457888794;8.689130859;3.896846466
2.969995375;-2.411634979;8.68089798;3.907773743
2.985071375;-2.330653381;8.746761017;3.839216309
3.000147375;-2.276765442;8.744665375;3.855083313
3.015223375;-2.206411743;8.758586426;3.886517944
3.030298375;-2.177372131;8.767567749;3.933669891
3.045374375;-2.179318085;8.775950317;3.974983978
3.060450375;-2.178120575;8.738528137;4.003574524
3.075527;-2.155816956;8.733588409;4.067790985
3.090602;-2.127675476;8.741821289;4.12811554
3.105678;-2.148033142;8.723708954;4.193230133
3.120754;-2.207160187;8.805738373;4.228107605
3.13583;-2.288590851;8.801547089;4.082759857
3.150906;-2.264640656;8.694968719;3.993844757
3.165981;-2.277064819;8.612939301;3.980971527
3.181057;-2.366279297;8.643924866;4.051624603
3.196133;-2.468666382;8.669521637;4.209546204
3.211209;-2.522554321;8.513096924;4.181105347
3.226284;-2.53437973;8.30877182;4.21463562
3.24136;-2.515968018;8.272247772;4.351451111
3.256436;-2.617906036;8.509803772;4.479434967
3.271512;-2.46073288;8.692424011;4.530329132
3.286588;-2.196681976;8.795409851;4.403542786
3.301663;-2.020348663;8.839418335;4.303999786
3.316739;-1.953737183;8.738827515;4.229454803
3.331815;-1.89086792;8.618926849;4.22631134
3.346891;-1.95987442;8.733438721;4.15146698
3.363222;-1.998194733;8.813821564;4.006717987
3.379554;-1.988614655;8.724457397;3.961661682
3.395886;-1.885928192;8.575367432;3.949387207
3.412219;-1.866169281;8.664581909;3.866908722
3.428551;-1.940265198;8.703650665;3.992647247
3.444883;-2.002086639;8.63524292;4.173620911
3.461214;-1.991758118;8.644673309;4.345014496
3.477547;-1.924398193;8.538693695;4.406087494
3.493879;-1.964814148;8.468938751;4.501439209
3.510211;-1.905836792;8.31116684;4.659211121
3.526543;-1.71184021;8.136629791;4.881498871
3.542876;-1.627864838;8.01628006;5.029091949
3.559208;-1.639390869;7.948022003;5.240751801
3.575539;-1.521585846;7.758965149;5.210963745
3.591871;-1.446591797;7.811206512;5.173990631
3.608204;-1.379231873;7.978708191;5.132377167
3.624536;-1.319356384;8.15085022;5.124593353
3.640868;-1.338067474;8.325087891;5.095853119
3.6572;-1.472937012;8.494535522;5.049000549
3.673533;-1.667532349;8.53689743;4.984035645
3.689864;-1.826801147;8.474477234;4.818030853
3.706196;-1.88263504;8.318501587;4.769980774
3.722528;-1.940714264;8.229736176;4.753065948
3.738861;-2.019300842;8.250991974;4.772226105
3.755193;-2.099983063;8.22689209;4.815935211
3.771524;-2.103276215;8.277786255;4.833448792
3.787856;-2.076481934;8.299940186;4.828509064
3.804189;-1.978735199;8.26895462;4.804858246
3.820521;-1.856289825;8.201295319;4.839586029
3.836853;-1.782792664;8.186775513;4.897665253
3.853185;-1.812131653;8.24680069;5.014272766
3.869518;-1.833237762;8.360564117;4.948559418
3.885849;-1.717528381;8.395890656;4.845124512
3.902181;-1.710493011;8.451425171;4.800666962
3.918513;-1.700014801;8.358019409;4.677473145
3.934846;-1.72231842;8.176746368;4.763244781
3.951178;-1.812281342;8.186625824;4.853806458
3.96751;-1.905537415;8.307274933;4.887187042
3.983841;-2.015558624;8.408464508;4.834496613
4.000174;-2.047292633;8.466394043;4.753515015
4.016506;-2.009122009;8.434510345;4.618046722
4.032838;-1.928739166;8.402926025;4.475992126
4.04917;-1.848805389;8.325686646;4.378095703
4.065503;-1.75869278;8.190667419;4.361031189
4.08183875;-1.69432663;8.139024811;4.391268311
4.09816975;-1.707648926;8.104297028;4.599185944
4.11450175;-1.792223053;8.209977264;4.783003693
4.13083475;-1.892514496;8.348289642;4.846771088
4.14716675;-1.960024109;8.482111359;4.781506805
4.16349875;-1.972597961;8.543633423;4.691244507
4.17983075;-1.988165588;8.558901672;4.575834503
4.19616375;-2.002835083;8.524323578;4.45683197
4.21249475;-2.078278198;8.548872528;4.397255859
4.22882675;-2.243384857;8.536747742;4.383035431
4.24515875;-2.359992371;8.581504669;4.397106171
4.26149175;-2.416425018;8.729846191;4.257296906
4.27782375;-2.272873535;8.79436203;3.924239502
4.29415575;-2.141446838;8.797355804;3.811972961
4.31048675;-2.054328003;8.841813354;3.846850433
4.32681975;-2.09100174;8.873098297;3.712879028
4.34315175;-2.220183105;8.856482849;3.534749451
4.35948375;-2.372416534;8.746761017;3.585942993
4.37581575;-2.474055176;8.695417786;3.6389328
4.39214875;-2.494113464;8.834927673;3.662134552
4.40848075;-2.488125916;8.923693085;3.544329529
4.42481175;-2.348765717;8.900641022;3.51379303
4.44114375;-2.25012085;8.917106781;3.510649567
4.45747675;-2.182611237;9.01081192;3.365002441
4.47380875;-2.16120575;9.035660248;3.246598663
4.49014075;-2.150128784;9.162446594;3.271446991
4.50647275;-2.157762909;9.009913788;3.250640259
4.52280575;-2.277663574;8.955427094;3.107986908
4.53913675;-2.411634979;8.845705261;3.214714966
4.55546875;-2.623743896;8.897198181;3.201093292
4.57180075;-2.781815186;9.039552155;3.116968231
4.58813375;-2.987487488;9.000034332;2.975811768
4.60446575;-3.109932861;8.855884094;2.947370911
4.62079775;-3.146606598;8.986412659;3.032244415
4.63712875;-3.201841736;8.999884644;3.090922394
4.65346175;-3.395239563;8.991202698;3.178190918
4.66979375;-3.483256531;8.958720245;3.262016602
4.68612575;-3.381917267;8.859177246;3.259172516
4.70245775;-3.03868103;8.773106232;3.208877106
4.71879075;-2.792592773;8.616082764;3.117566986
4.73512275;-2.706970825;8.75110199;3.043920135
4.75145375;-2.799328766;8.823401642;3.260370026
4.76778575;-2.850522308;8.667575684;3.210523682
4.78411875;-2.804418182;8.702902222;3.206482086
4.80045075;-2.818189545;8.702453156;2.978506165
4.81678275;-2.74618927;8.736133118;2.986439667
4.83311475;-2.841840363;8.828940125;2.920876007
4.84944775;-2.829715576;8.828940125;2.955454102
4.86577875;-3.032543793;8.644523621;3.015928345
4.88211075;-3.147953796;8.879235535;3.084934845
4.89844275;-3.202141113;8.805888062;3.053799591
4.91477575;-3.132086792;8.775501251;2.938838654
4.93110775;-3.040028229;8.755592651;2.925815735
4.94743975;-2.947221222;8.848249969;2.94976593
4.96377075;-2.911595306;8.765472107;2.884651337
4.98010375;-2.908900909;8.703800354;2.892135773
4.99643575;-2.945874023;8.612490234;2.959645386
5.01276775;-3.275189209;8.668922882;3.042872314
5.02909975;-3.446433105;8.982520752;3.054398346
5.04543275;-3.50211731;9.177265778;2.984793091
5.06176475;-3.375031586;9.261839905;2.684816895
5.078091875;-3.199147339;9.377549286;2.332449646
5.094423875;-3.043770447;9.312285004;2.077829132
5.110756875;-3.211721191;9.458231506;1.865869904
5.127088875;-3.484304352;9.130413208;1.680854645
5.143420875;-3.82963623;8.850195923;1.623074799
5.159752875;-4.002975769;8.775950317;1.723815308
5.176085875;-4.143533478;8.656049652;1.939217377
5.192416875;-4.160897369;8.532855835;2.137405243
5.208748875;-4.137994995;8.523126068;2.26763443
5.225080875;-4.048930206;8.571176147;2.379302216
5.241413875;-3.869752808;8.58375;2.485730896
5.257745875;-3.65300354;8.668174438;2.596350861
5.274077875;-3.443289642;8.688083038;2.80471756
5.290408875;-3.296445007;8.747808838;2.902314606
5.306741875;-3.231629791;8.864416351;2.89123764
5.323073875;-3.07266037;8.963809662;2.819985809
5.339405875;-2.923420715;8.949439545;2.668650513
5.355737875;-2.774031372;8.962013397;2.575843506
5.372070875;-2.715353394;9.025331726;2.717149658
5.388402875;-2.692301331;8.970695343;2.575244751
5.404733875;-2.688110046;8.94524826;2.808310089
5.421065875;-2.76490036;8.950337677;2.83974472
5.437398875;-2.795586548;8.964857483;2.932102661
5.453730875;-2.768043823;8.947194214;2.984194336
5.470062875;-2.834804993;9.11619278;3.019221497
5.486394875;-2.813549194;8.800499268;3.010988617
5.502727875;-2.860551453;8.900191956;2.966381378
5.519058875;-2.933898926;8.955127716;2.822380829
5.535390875;-2.966531067;8.9500383;2.704725494
5.551722875;-3.006647644;8.920848999;2.635120239
5.568055875;-3.01068924;8.938362579;2.620750122
5.584387875;-3.004402313;8.964408417;2.659818878
5.600719875;-3.0058992;8.975934448;2.701432343
5.617050875;-3.016976166;8.883426819;2.686014404
5.633383875;-3.00709671;8.946745148;2.707120514
