Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2)
1295.545897;-0.2314576462;-0.3072103715;0.138462359
1295.56098;-0.1228754362;-0.3794673389;0.1292474395
1295.576063;-0.1237557346;-0.4285991532;0.1349376574
1295.591146;-0.109846378;-0.3722448581;0.1285577604
1295.606229;-0.232442902;-0.1982937008;0.1641181871
1295.621312;-0.3443846297;-0.1084377837;0.1618646702
1295.636395;-0.3750430432;0.01565533519;0.2628504699
1295.651478;-0.3262155765;0.05941121936;0.2574394566
1295.666561;-0.2888509914;-0.1816496015;0.3026109517
1295.681644;-0.1567527419;-0.2621505582;0.2871134913
1295.696727;-0.03371943086;-0.5395056313;0.259173156
1295.71181;0.015898287;-0.5424175447;0.2855476069
1295.726893;-0.2480859581;-0.4746816444;0.2990356717
1295.741976;-0.2206098917;-0.3835323232;0.282271412
1295.757059;-0.2039915201;-0.2155289537;0.2697487226
1295.772142;-0.3337567306;-0.254819904;0.2436499679
1295.787225;-0.2412786296;-0.1548839718;0.2542726046
1295.802308;-0.2717879391;-0.1425516093;0.2838147846
1295.817391;-0.2931618512;-0.02448229194;0.2754614523
1295.832474;-0.2435871103;-0.009119902253;0.2838773498
1295.847558;-0.1645271999;-0.1394251031;0.2271853781
1295.862641;-0.06483889729;-0.1342356992;0.1784005961
1295.877724;-0.2574447191;-0.2604922879;0.2740054956
1295.892807;-0.2665394783;-0.2085894781;0.2497389659
1295.90789;-0.2719463986;-0.3116501623;0.1631411174
1295.922973;-0.2493015942;-0.3648393595;0.1247620404
1295.938056;-0.4363923222;-0.2613442272;0.2958694044
1295.953139;-0.4643855748;-0.05004865766;0.3240942067
1295.968222;-0.4440328789;0.08913086236;0.4220455939
1295.983305;-0.3197526491;0.09845190883;0.4077544141
1295.998388;-0.2238963193;-0.1557476056;0.283027457
1296.013471;-0.1574912453;-0.3093188775;0.2801003408
1296.028554;-0.2500427288;-0.3016069847;0.3081584975
1296.043637;-0.2817597806;-0.2467636102;0.2417431909
1296.05872;-0.3110704109;-0.1994239676;0.1364626113
1296.073803;-0.2399057034;-0.1917886734;0.1319883218
1296.088886;-0.2244348478;-0.2943997067;0.1602914768
1296.103969;-0.1755158722;-0.2674101287;0.1921582174
1296.119052;-0.359866595;-0.04029082417;0.3157359043
1296.134135;-0.47616099;0.06734355211;0.3430909333
1296.149218;-0.2289643934;0.2081433356;0.3242319086
1296.164301;-0.180834792;0.1558850151;0.3499710596
1296.179384;-0.2262319896;-0.08053545535;0.3476596552
1296.194467;-0.1800939497;-0.1267559409;0.2993177998
1296.20955;-0.1309387466;-0.2769323194;0.1471165305
1296.224633;-0.1600119799;-0.3361359626;0.1839738697
1296.239716;-0.2617070469;-0.2351890469;0.151005806
1296.254799;-0.4001901636;-0.1558464235;0.1535736108
1296.269882;-0.3861659092;0.2420297045;0.3091931623
1296.284965;-0.4165284535;0.3218839592;0.323699812
1296.300048;-0.2664924082;0.1298368388;0.2439288801
