Time (s);Gyroscope x (rad/s);Gyroscope y (rad/s);Gyroscope z (rad/s)
0.0314765;0.05596554279;0.02140549198;0.01670475863
0.0465525;0.04438680783;0.020047158;0.01762057096
0.0616275;0.03452772647;0.01096319687;0.01606975496
0.07670604167;0.022395432;0.007594299503;0.01020680461
0.09178204167;0.01476489473;0.01420107577;0.001532844268
0.1068580417;0.01665824093;0.008717535995;0.002270377707
0.1219340417;0.01615564525;0.01126972679;0.002559803892
0.1370090417;0.01837538928;0.0159057565;0.005187544972
0.1520850417;0.01614807174;0.0202937983;0.001770646777
0.1671610417;0.01438154932;0.02322088368;0.004057991784
0.1822370417;0.01648895629;0.01873930916;0.006240496412
0.1973120417;0.0208847709;0.01527693495;0.007796315476
0.2123880417;0.02778603882;0.01543166861;0.008349142969
0.2274640417;0.03002025746;0.01051124651;0.002482876647
0.2425400417;0.03174775466;0.007222741842;0.0006254436448
0.2576160417;0.02996343747;0.01033384539;-0.003958922345
0.2726910417;0.02868530527;0.01284238324;-0.007197246421
0.2877670417;0.0312561579;0.01574886963;-0.01286940835
0.3028430417;0.04349125549;0.02136254683;0.007754110266
0.3179190417;0.06510920078;0.03121491149;-0.009211556986
0.3329940417;0.0953674987;0.04736432061;-0.01877869666
0.3480700417;0.135497719;0.06940309703;-0.02810529247
0.3631460417;0.1794524938;0.07392983139;-0.03688954189
0.3782220417;0.212148115;0.09853743762;-0.05029749125
0.3932980417;0.2241874337;0.1080708578;-0.07132781297
0.4083730417;0.2173878402;0.1183296591;-0.1015067026
0.4234490417;0.1939063966;0.1284056604;-0.1394153982
0.4385250417;0.1632414311;0.1190305278;-0.1915230751
0.4536010417;0.1420881301;0.1067913845;-0.2544613183
0.4686760417;0.1414680481;0.1009442434;-0.3055568337
0.4837520417;0.156235978;0.109596014;-0.3422385454
0.4988280417;0.1795106828;0.1068841219;-0.3745629489
0.5139040417;0.2025132924;0.1165752709;-0.3936342597
0.5289790417;0.21672526;0.1096788794;-0.3674135208
0.5440550417;0.2232493609;0.09173645824;-0.313184768
