"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.181342708E0;-3.338920936E-2;1.657894968E0;-3.479824215E-1
1.196460708E0;-8.761698899E-1;3.801643270E-1;-1.460546177E0
1.211579708E0;-2.850934537E0;1.217411349E0;-8.096920180E-1
1.226698708E0;-1.084319365E-1;-1.040501500E0;-6.914999092E-1
1.241817708E0;-9.794312797E-2;1.844890679E0;-2.029293734E-1
1.256935708E0;-1.136552616E0;2.836396020E0;-1.913793683E-3
1.272054708E0;-9.920372920E-1;1.066254977E0;3.034587797E-1
1.287173708E0;-5.204923133E-1;1.070980112E0;-4.630562103E-1
1.302292708E0;8.789591579E-1;-2.099273211E0;-1.649376927E-1
1.317410708E0;8.638031749E-1;-1.310127724E0;-3.822734177E-1
1.332529708E0;1.979597371E0;3.317405521E0;-8.069568733E-2
1.347648708E0;2.450113605E0;1.989383563E0;-4.130093068E-1
1.362767708E0;-1.324486073E-1;-5.072895781E0;2.904843928E-1
1.377885708E0;1.461836658E0;-2.016565515E0;5.957996635E-1
1.393004708E0;1.259338662E0;1.568586350E0;2.491299784E-1
1.408123708E0;1.112205833E0;3.011690868E0;4.942470127E-1
1.423242708E0;4.819018960E-1;-1.619868186E0;1.182853208E0
1.438361708E0;9.619105366E-1;-7.216785586E-1;1.162538738E0
1.453479708E0;2.683710272E-1;-2.296537217E0;2.925905782E-1
1.468598708E0;4.165804207E-1;-2.054009914E0;1.306618810E-2
1.483717708E0;-2.560724689E-1;-1.698137260E0;-1.496588999E-1
1.498836708E0;-1.426492870E0;-2.613963844E0;4.673047972E-1
1.513954708E0;6.109948959E-1;1.325881877E0;-7.697743193E-1
1.529073708E0;4.879668473E-1;6.608236617E-1;1.730214500E-1
1.544192708E0;3.775300467E-1;1.143645215E-1;2.126509907E-1
1.559311708E0;-5.527116775E-1;1.421508411E0;-1.313776971E0
1.574429708E0;4.665751743E-1;-1.244571666E0;2.540472529E0
1.589548708E0;1.864482359E0;2.715324157E-1;2.087415057E0
1.604667708E0;-5.930308241E-1;1.277058796E0;2.710523593E0
1.619786708E0;1.707296923E0;-9.343195724E-1;2.013463567E0
1.634905708E0;8.394785386E-1;-1.867781943E0;-4.296276784E-1
1.650023708E0;5.720747321E-1;-5.946939915E-1;-5.730359048E-1
1.665142708E0;-9.793081959E-1;1.384147042E-1;-7.318193847E-1
1.680261708E0;8.690316912E-3;6.514821500E-1;-1.939698676E-2
1.695380708E0;1.243061330E0;3.955816805E-2;-3.321230185E-1
1.710498708E0;8.693447274E-1;1.276002789E-1;-5.115594123E-1
1.725617708E0;7.166451292E-1;3.459809196E-1;-7.748145461E-1
1.740736708E0;9.261385138E-1;3.648224026E-1;-8.374803257E-1
1.755855708E0;1.897188175E0;1.485830122E-1;-7.788426930E-1
1.770973708E0;2.328257339E0;1.353683048E-1;-7.084720373E-1
1.786092708E0;2.618946256E0;3.644066656E-1;-5.831305013E-1
1.801211708E0;2.477520528E0;4.255381358E-1;-4.012990880E-1
1.816330708E0;1.886360594E0;3.269365382E-1;-6.819901804E-2
1.831448708E0;1.327413701E0;-2.262264347E-1;-3.582653350E-1
1.846567708E0;-3.661292187E-1;-1.030036739E0;6.934107792E-1
1.861686708E0;-6.992644999E-1;-1.195653275E0;9.729000860E-1
1.876805708E0;-1.391143784E-1;-1.412825296E0;1.073268127E0
1.891924708E0;5.081595853E-1;-1.792031264E0;6.199837840E-1
1.907042708E0;1.429080117E0;-3.767561020E0;-4.493410269E-2
1.922161708E0;1.612822437E0;-4.859067782E0;-1.404887116E-1
1.937280708E0;2.047208579E0;-6.385370577E0;-4.574040175E-2
1.952399708E0;1.950615208E0;-6.651094953E0;-2.876830101E-2
1.967518458E0;1.023332029E0;-5.509092221E0;-4.869958806E-1
1.982637458E0;3.250611169E-1;-4.576227436E0;-4.998410439E-1
1.997756458E0;-1.565076120E0;-2.450771563E0;-7.104904962E-1
2.012875458E0;-2.337996607E0;-1.376247454E0;-8.378685077E-1
2.027993458E0;-3.313881697E0;-2.933372676E-2;-2.022641941E0
2.043112458E0;-3.657184884E0;1.483806986E-1;-1.990502282E0
2.058231458E0;-3.119342785E0;-2.010524172E-1;-1.680573248E0
2.073350458E0;-2.563753218E0;-5.117506528E-1;-1.737407745E0
2.088468458E0;-5.488253622E-1;-2.771833988E0;-2.195004556E0
2.103587458E0;4.532799581E-1;-3.525019099E0;-1.432836222E0
2.118706458E0;1.490566367E0;-2.750078253E0;-3.501444295E-1
2.133825458E0;8.114360963E-1;-1.776230918E0;7.524963087E-1
2.148943458E0;-6.049735794E-1;6.011346996E-1;1.699722733E0
2.164062458E0;-1.097857277E0;1.580443334E0;2.297423362E0
2.179181458E0;-1.653479297E0;2.890619005E0;2.284971717E0
2.194300458E0;-1.790322562E0;3.083707514E0;1.941282029E0
