"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.196460708E0;8.261381388E-1;2.425518930E-1;1.886735320E0
1.211579708E0;4.329849184E-1;-2.340112627E-1;4.910819232E-1
1.226698708E0;-3.207878470E-1;-2.305022180E-1;-8.229868859E-2
1.241817708E0;-7.610515356E-1;3.640884161E-2;6.345449947E-4
1.256935708E0;-3.337576091E-1;3.388080895E-1;4.291332364E-1
1.272054708E0;-3.692581505E-2;4.500750005E-1;8.562896252E-1
1.287173708E0;4.977916181E-2;3.109927773E-1;7.258551121E-1
1.302292708E0;-1.341581941E-1;3.031508625E-1;8.355645537E-1
1.317410708E0;3.306530043E-2;1.684123650E-2;8.684599400E-1
1.332529708E0;4.401392639E-1;-4.680322707E-1;3.800424039E-1
1.347648708E0;2.047438473E-1;-5.286316872E-1;2.549325824E-1
1.362767708E0;-1.079559997E-1;-2.961616814E-1;2.741041780E-1
1.377885708E0;-4.655359313E-3;-4.931538105E-1;1.216691732E-2
1.393004708E0;5.418568850E-1;-9.569774866E-1;6.844606251E-2
1.408123708E0;1.095145345E0;-1.318481326E0;4.283992052E-1
1.423242708E0;8.106009960E-1;-8.917744756E-1;6.842757463E-1
1.438361708E0;7.003653049E-1;-6.924674511E-1;9.786708951E-1
1.453479708E0;7.286766768E-1;-7.390842438E-1;1.368800640E0
1.468598708E0;4.404757321E-1;-7.612436414E-1;1.461257219E0
1.483717708E0;1.851110607E-1;-1.098944187E0;2.899309695E-1
1.498836708E0;-7.149465084E-1;-5.275594592E-1;8.052545190E-1
1.513954708E0;-1.255786777E0;-4.584094584E-1;6.468361020E-1
1.529073708E0;-1.651013851E0;-2.293586880E-1;3.754444718E-1
1.544192708E0;-1.578380466E0;-4.237470627E-1;8.452126384E-2
1.559311708E0;-9.036835432E-1;-1.311010361E0;-1.467108354E-2
1.574429708E0;-3.117949665E-1;2.914448455E-2;-3.622455001E-1
1.589548708E0;4.965213314E-2;-2.746230662E-1;-5.159446597E-1
1.604667708E0;5.731379986E-1;1.383859873E0;-7.036647797E-1
1.619786708E0;6.317166090E-1;8.871572018E-1;-7.225276828E-1
1.634905708E0;4.904167354E-1;6.119190454E-1;-7.553093433E-1
1.650023708E0;4.598384723E-2;7.571925223E-2;-9.170014858E-1
1.665142708E0;-6.619442254E-3;1.936782897E-2;-1.320869178E-1
1.680261708E0;1.067277640E-1;1.235514507E-1;-1.592232138E-1
1.695380708E0;1.333025843E-1;2.334383279E-1;-1.877013445E-1
1.710498708E0;5.564073473E-2;3.440649509E-1;-1.729741693E-1
1.725617708E0;2.607611706E-3;3.789300025E-1;-1.209919304E-1
1.740736708E0;5.009343848E-3;3.435335755E-1;-6.159538031E-2
1.755855708E0;1.316558104E-3;2.800239027E-1;-2.124306187E-2
1.770973708E0;4.715552554E-3;2.501511574E-1;-2.785250731E-2
1.786092708E0;2.591415774E-3;3.009882271E-1;-7.338590175E-2
1.801211708E0;-6.653834134E-2;4.015891850E-1;-1.276359111E-1
1.816330708E0;-2.206189036E-1;4.683511555E-1;-1.873859614E-1
1.831448708E0;-2.894981503E-1;5.169107318E-1;-1.692303121E-1
1.846567708E0;-2.724906802E-1;4.951337576E-1;-4.800028726E-2
1.861686708E0;-1.904081851E-1;5.879192948E-1;3.872286901E-2
1.876805708E0;-1.639433354E-1;7.539446354E-1;6.715810299E-2
1.891924708E0;-2.813972533E-1;8.296182752E-1;1.038974524E-1
1.907042708E0;-4.603174627E-1;8.485816121E-1;1.673254222E-1
1.922161708E0;-6.237846613E-1;7.562434077E-1;1.835115105E-1
1.937280708E0;-7.151744366E-1;5.342135429E-1;1.741623878E-1
1.952399708E0;-8.184741139E-1;2.852089703E-1;1.370912343E-1
1.967518458E0;-9.299918413E-1;6.998695433E-2;9.683064371E-2
1.982637458E0;-1.065644741E0;6.225901842E-2;6.673347205E-2
1.997756458E0;-1.232096076E0;1.920077056E-1;2.365951240E-2
2.012875458E0;-1.448219180E0;2.961852551E-1;-3.722354025E-2
2.027993458E0;-1.691235065E0;3.931490779E-1;-6.369590014E-2
2.043112458E0;-1.805614352E0;5.047792196E-1;-5.831142887E-2
2.058231458E0;-1.886917591E0;4.676943421E-1;-1.930830479E-1
2.073350458E0;-2.052282095E0;2.746810913E-1;-3.544645011E-1
2.088468458E0;-2.181043386E0;1.661402285E-1;-4.941110909E-1
2.103587458E0;-2.132457018E0;1.681826636E-2;-6.221992373E-1
2.118706458E0;-1.898574710E0;-6.336575001E-2;-5.886856914E-1
2.133825458E0;-1.489335299E0;-1.646766216E-1;-4.009978771E-1
2.148943458E0;-1.061060309E0;-4.216255844E-1;-1.968076974E-1
2.164062458E0;-7.783492804E-1;-5.899435282E-1;-1.217381656E-1
2.179181458E0;-6.553621888E-1;-6.002390385E-1;-6.802823395E-2
2.194300458E0;-6.942974925E-1;-4.383723438E-1;-5.164225027E-2
2.209419458E0;-8.318697214E-1;-3.021471500E-1;-7.320506871E-2
2.224537458E0;-9.921416640E-1;-1.139413118E-1;-2.784461342E-2
2.239656458E0;-9.815864563E-1;-1.097470447E-1;6.667303294E-2
2.254775458E0;-7.178444266E-1;-1.034191549E-1;1.674723327E-1
2.269894458E0;-3.905736208E-1;8.110940456E-2;9.195627272E-2
2.285012458E0;-1.689085811E-1;1.836310476E-1;2.243571542E-2
2.300131458E0;-2.712218091E-2;3.747742772E-1;-1.278370917E-1
2.315250458E0;7.747073658E-3;1.753488183E-1;-9.228271991E-2
2.330369458E0;2.158113196E-2;2.376782894E-2;-9.946035221E-3
2.345487458E0;1.163082644E-1;-7.067110389E-2;-4.966621101E-2
2.360606458E0;2.716926336E-1;-5.752595142E-2;-9.847412258E-2
2.375725458E0;4.007793069E-1;2.748174593E-4;-1.616220921E-1
2.390844458E0;5.761284828E-1;1.422652453E-1;-9.802713990E-2
2.405962458E0;7.067180276E-1;2.175756395E-1;1.798617281E-2
2.421081458E0;4.879909158E-1;5.036412477E-1;1.030140892E-1
2.436200458E0;1.330744177E-1;8.816268444E-1;-9.262823313E-2
2.451319458E0;2.807263285E-2;9.606963396E-1;-6.312216520E-1
2.466437458E0;1.783014089E-1;8.650047183E-1;-7.422145009E-1
2.481556458E0;6.314008832E-1;5.247960687E-1;-2.615482807E-1
2.496675458E0;1.123321414E0;3.517704904E-1;2.971051931E-1
2.511794458E0;1.259002566E0;3.401007950E-1;4.241805673E-1
2.526912458E0;1.084327340E0;1.620735228E-1;4.119184613E-1
2.542031458E0;9.168148637E-1;-9.980256855E-2;4.350358546E-1
2.557150458E0;8.197327852E-1;-4.945497215E-2;4.126257300E-1
2.572269458E0;7.153733373E-1;2.294672132E-1;4.697643816E-1
2.587388458E0;6.136571765E-1;2.176601440E-1;4.072046876E-1
2.602506458E0;5.784062743E-1;-2.684252337E-2;3.943745792E-1
2.617625458E0;6.099538803E-1;-5.885545164E-2;2.998287678E-1
2.632744458E0;7.257486582E-1;1.758092493E-1;1.629603803E-1
2.647863458E0;8.888105154E-1;3.701772094E-1;6.780402269E-3
2.662981458E0;1.009747505E0;6.337814331E-1;-7.378989458E-2
2.678100458E0;9.814848900E-1;7.073181272E-1;-5.930180103E-2
2.693219458E0;8.748010397E-1;6.790266037E-1;-2.569275908E-3
2.708338458E0;7.537026405E-1;7.277963161E-1;-3.872601315E-2
2.723456458E0;6.511480808E-1;6.285578609E-1;-1.244549379E-1
2.738575458E0;6.296283007E-1;5.139452219E-1;-2.302524894E-1
2.753694458E0;6.738734841E-1;2.825980484E-1;-2.578540146E-1
2.768813458E0;7.095819116E-1;7.806329429E-2;-1.919150352E-1
2.783931458E0;7.732114196E-1;-1.759678870E-1;-6.869606674E-2
2.799050458E0;8.164474964E-1;-3.751802742E-1;3.841158003E-2
2.814169458E0;8.961950541E-1;-4.903047383E-1;1.140914261E-1
2.829288458E0;9.498567581E-1;-4.794060886E-1;1.099279970E-1
2.844407458E0;9.307152033E-1;-4.220151603E-1;7.817923278E-2
2.859525458E0;8.513513207E-1;-2.652159929E-1;8.084655553E-2
2.874644458E0;7.877574563E-1;-6.009319797E-2;1.137272716E-1
2.889763458E0;7.119916081E-1;4.408248141E-2;1.500014812E-1
2.904882458E0;6.011908650E-1;1.409602165E-1;1.895524114E-1
2.920000458E0;4.800864756E-1;1.164026782E-1;2.666134834E-1
2.935119458E0;4.746413827E-1;2.345799208E-1;2.790981233E-1
2.950238458E0;4.972012937E-1;3.310906887E-1;3.396660686E-1
2.965357708E0;4.480161071E-1;4.892230928E-1;4.253717661E-1
2.980475708E0;3.978365362E-1;6.272811890E-1;4.744478166E-1
2.995594708E0;2.328092158E-1;7.132754326E-1;5.477894545E-1
3.010713708E0;-2.080649510E-2;7.367485166E-1;5.913245082E-1
3.025832708E0;-1.099178568E-1;5.692372918E-1;4.965040088E-1
3.040950708E0;-8.499608934E-2;5.183914304E-1;2.803580761E-1
3.056069708E0;-1.177838594E-1;4.754018784E-1;1.997284591E-1
3.071188708E0;-2.340321839E-1;3.804312050E-1;1.701444834E-1
3.086307708E0;-3.286973238E-1;3.833726048E-1;1.362790260E-2
3.101425708E0;-4.665515721E-1;5.686692595E-1;-1.565910429E-1
3.116544708E0;-7.828059196E-1;5.727694631E-1;-3.877129555E-1
3.131663708E0;-1.194670320E0;3.523116112E-1;-4.936262369E-1
3.146782708E0;-1.564542770E0;1.822075695E-1;-3.500864506E-1
3.161901708E0;-1.765334964E0;3.989069257E-3;-1.856381446E-1
3.177019708E0;-1.842907071E0;-2.781439945E-2;-1.860133857E-1
3.192138708E0;-2.009268761E0;1.783959270E-1;-2.353356928E-1
3.207257708E0;-2.097444534E0;6.474426389E-1;-3.515638113E-1
3.222376708E0;-2.057409286E0;1.193946123E0;-5.883923769E-1
3.237494708E0;-1.964956999E0;1.725132823E0;-7.732192278E-1
3.252613708E0;-1.751882792E0;1.635738492E0;-7.272584438E-1
3.267732708E0;-1.592263103E0;1.087029576E0;-3.428101838E-1
3.282851708E0;-1.612569690E0;4.884681106E-1;1.575013697E-1
3.297969708E0;-1.669928908E0;1.640533060E-1;5.126395226E-1
3.313088708E0;-1.593206525E0;1.571006030E-1;5.687377453E-1
3.328207708E0;-1.592875004E0;3.443942666E-1;5.571198463E-1
3.343326708E0;-1.521906853E0;5.178691149E-1;4.376350045E-1
3.358444708E0;-1.296669126E0;6.192876101E-1;3.037432432E-1
3.373563708E0;-1.013417602E0;7.910312414E-1;1.126737427E-2
3.388682708E0;-9.091153741E-1;7.917798162E-1;-1.315754205E-1
3.403801708E0;-9.232278466E-1;8.710322380E-1;-1.441145986E-1
3.418919708E0;-9.317459464E-1;3.272709250E-1;-4.979582876E-2
3.434038708E0;-8.581823111E-1;1.737858504E-1;4.373193905E-2
3.449157708E0;-7.959401608E-1;-1.336888671E-1;-4.622608423E-2
3.464276708E0;-7.520556450E-1;-1.068367362E-1;2.295476571E-2
3.479395708E0;-6.241527796E-1;1.375397146E-1;1.576675624E-1
3.494513708E0;-4.362788200E-1;5.689139962E-1;2.036059350E-1
3.509632708E0;-3.556356132E-1;8.399566412E-1;2.374868244E-1
3.524751708E0;-2.751947641E-1;8.225760460E-1;1.597119570E-1
3.539870708E0;-2.290893048E-1;6.823827028E-1;1.242130920E-1
3.554988708E0;-1.394958645E-1;5.249257088E-1;6.592758745E-2
3.570107708E0;-5.979109555E-2;4.485284984E-1;2.059324831E-2
3.585226708E0;4.415510222E-2;4.462343752E-1;1.902046055E-2
3.600345708E0;7.779403031E-2;4.691093266E-1;9.036228806E-2
3.615463708E0;5.250819772E-2;4.859609902E-1;1.829181165E-1
3.630582708E0;1.316154450E-1;6.727945805E-1;1.862566024E-1
3.645701708E0;3.413929045E-1;5.440652966E-1;8.944319934E-2
3.660820708E0;5.409238338E-1;5.461918712E-1;5.005371198E-2
3.675938708E0;5.785279870E-1;1.385157555E-1;2.202161700E-1
3.691057708E0;5.505716801E-1;-1.340865046E-1;3.063451648E-1
3.706176708E0;7.488976121E-1;-4.504450858E-1;2.908177674E-1
3.721295708E0;1.125045419E0;-5.969836712E-1;4.529369175E-1
3.736413708E0;1.444788218E0;-2.208409160E-1;4.693751633E-1
3.751532708E0;1.553358436E0;1.689979807E-2;3.121030331E-1
3.766651708E0;1.507174611E0;1.945169121E-1;1.951805651E-1
3.781770708E0;1.456079721E0;3.286584616E-1;6.416156143E-2
3.796889708E0;1.363470316E0;4.889922738E-1;1.637212932E-2
3.812007708E0;1.216353893E0;5.770222545E-1;-3.263267688E-3
3.827126708E0;1.016341448E0;4.931989610E-1;2.521824464E-2
3.842245708E0;8.647394180E-1;4.292522073E-1;1.417768151E-1
3.857364708E0;8.169382215E-1;4.162653089E-1;3.082715273E-1
3.872482708E0;8.165742755E-1;5.259771943E-1;3.584446907E-1
3.887601708E0;9.359207153E-1;6.949830055E-1;2.774243057E-1
3.902720708E0;1.092330813E0;9.629851580E-1;6.151039526E-2
3.917839708E0;1.134197831E0;1.035796523E0;-4.371421412E-2
3.932957708E0;1.067480683E0;9.403644800E-1;-2.575028315E-2
3.948076708E0;9.792051911E-1;6.876525879E-1;5.296989530E-2
3.963195375E0;8.932545781E-1;5.762629509E-1;1.551775038E-1
3.978314375E0;8.298261762E-1;6.162399054E-1;2.008779496E-1
3.993432375E0;8.017670512E-1;5.622783899E-1;1.485831439E-1
4.008551375E0;7.193310261E-1;5.911856890E-1;5.343754590E-2
