"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.896610917E0;5.073250122E0;-1.707559113E1;-1.325463684E1
1.916769917E0;1.052461395E0;-6.284830627E0;-5.784421234E0
1.936928917E0;8.216413879E-1;-3.989952850E0;-4.401746521E0
1.957087917E0;9.960287476E-1;-6.888225861E0;-6.257138214E0
1.977246917E0;4.280798035E0;-7.733967133E0;-7.258555756E0
1.997406917E0;3.377725983E0;-6.773713989E0;-6.459966431E0
2.017565917E0;1.363065491E0;-7.270830231E0;-6.407276001E0
2.037724917E0;2.073338470E0;-7.140601044E0;-6.595883789E0
2.057883917E0;4.191284180E0;-6.156697083E0;-5.785768433E0
2.078042917E0;2.955603790E0;-8.544381866E0;-4.683011627E0
2.098201917E0;2.825673981E0;-7.597451019E0;-3.936064911E0
2.118360917E0;-1.428928528E0;-7.025191040E0;-7.066954193E0
2.138519917E0;-2.025737457E0;-1.059197388E1;-4.058210907E0
2.158678917E0;2.565664673E0;-7.843090210E0;-6.237229614E0
2.178837917E0;7.679031372E-1;-7.655380554E0;-5.863606567E0
2.198996917E0;9.403445435E-1;-4.373006287E0;-5.858367462E0
2.219156917E0;-1.901944885E0;-6.827152863E0;-4.129013672E0
2.239315917E0;6.521937561E-1;-6.665039978E0;-7.012018433E0
2.259474917E0;1.564845886E0;-9.655521240E0;-6.489904175E0
2.279633917E0;1.872755585E0;-8.368048553E0;-6.716233521E0
2.299792917E0;1.714534607E0;-5.711073761E0;-8.066276093E0
2.319951917E0;4.775070190E0;-7.520960083E0;-8.230035553E0
2.340110917E0;4.953050079E0;-7.429500275E0;-6.631360016E0
2.360269917E0;2.058219910E0;-8.076454926E0;-5.964197388E0
2.380428917E0;2.862198029E0;-9.069340210E0;-4.832700348E0
2.400587917E0;3.951333160E0;-9.519454193E0;-3.507655792E0
2.420746917E0;3.099604340E0;-9.878856812E0;-7.587421875E0
2.440905917E0;3.862118683E0;-8.559799805E0;-1.016715729E1
2.461064917E0;4.016447754E0;-2.626587982E0;-4.191134491E0
2.481224917E0;1.638343048E0;-1.897603912E0;-1.394949188E0
2.501383917E0;1.851799164E0;-3.311114502E0;-5.881569214E0
2.521542792E0;3.237916718E0;-6.237379303E0;-8.211623840E0
2.541701792E0;4.051774292E0;-8.634045410E0;-6.667285309E0
2.561860792E0;3.875440979E0;-1.000294876E1;-1.016072067E1
2.582019792E0;1.900597687E0;-6.154451752E0;-8.298592987E0
2.602178792E0;8.674461365E-1;-5.119653625E0;-5.696254578E0
2.622337792E0;1.690434723E0;-6.051316223E0;-6.608307953E0
2.642496792E0;2.418820038E0;-6.516698456E0;-7.275919647E0
2.662655792E0;2.345921631E0;-6.680906982E0;-7.079078979E0
2.682814792E0;2.034419403E0;-6.497687988E0;-6.926546173E0
2.702973792E0;1.851799164E0;-6.273454285E0;-6.979236603E0
2.723132792E0;1.736838226E0;-6.306086426E0;-7.193441162E0
2.743291792E0;1.795216827E0;-6.310726776E0;-7.404053192E0
2.763450792E0;1.875599670E0;-6.338868256E0;-7.229067078E0
2.783610792E0;2.032772827E0;-6.302344208E0;-6.958878937E0
2.803769792E0;2.074835358E0;-6.454877014E0;-6.746919708E0
2.823928792E0;1.796114960E0;-6.773713989E0;-7.437433777E0
2.844087792E0;2.436932373E0;-6.401587830E0;-6.615193634E0
2.864246792E0;1.231489105E0;-6.513554993E0;-7.836803284E0
2.884405792E0;4.564009094E-1;-6.557264099E0;-7.275320892E0
2.904564792E0;8.635542297E-1;-6.327042847E0;-7.409441986E0
2.924723792E0;7.363188171E-1;-6.290369110E0;-7.293433228E0
2.944882792E0;1.638492737E0;-6.916067963E0;-6.453230438E0
2.965041792E0;1.128802643E0;-7.051087189E0;-8.209677887E0
2.985200792E0;6.301895142E-1;-5.846092987E0;-6.655160522E0
3.005359792E0;4.186793518E-1;-5.966742096E0;-7.118147736E0
3.025518792E0;8.785231018E-1;-6.307583313E0;-7.140601044E0
3.045677792E0;8.421487427E-1;-6.849157104E0;-6.870712280E0
3.065836792E0;1.233285370E0;-7.571105804E0;-7.470964050E0
3.085995792E0;8.907975769E-1;-6.702462158E0;-7.593858490E0
3.106154792E0;1.310375061E0;-6.234235840E0;-6.597530365E0
3.126314792E0;1.257085876E0;-7.431745605E0;-7.351512451E0
3.146473792E0;1.304537201E0;-7.349416809E0;-7.435787201E0
3.166632792E0;5.448669434E-1;-5.286855927E0;-7.058122559E0
3.186791792E0;-1.466949463E-1;-6.404132538E0;-6.706653442E0
3.206950792E0;2.830613708E-1;-7.106322327E0;-7.209308167E0
3.227109792E0;5.860313416E-1;-6.936575317E0;-7.841443634E0
3.247268792E0;7.119195557E-1;-7.096891937E0;-6.973548431E0
3.267427792E0;9.327104187E-1;-6.345155182E0;-6.461613007E0
3.287586792E0;1.301693115E0;-6.199508057E0;-7.080575867E0
3.307745792E0;1.508712616E0;-6.418951721E0;-7.366930389E0
3.327904792E0;9.392967224E-1;-6.557862854E0;-7.099137268E0
3.348063792E0;7.785310364E-1;-7.019502869E0;-6.882238312E0
3.368222792E0;1.275946655E0;-6.879992981E0;-7.579937439E0
3.388381792E0;1.827100525E0;-6.692433014E0;-7.336842957E0
3.408540792E0;1.905986481E0;-6.971452789E0;-6.988517303E0
3.428699792E0;2.793640594E0;-6.291416931E0;-6.027815094E0
3.448858792E0;3.100951538E0;-6.479575653E0;-7.210655365E0
3.469017792E0;5.391787720E-1;-6.892117767E0;-9.261690216E0
3.489176792E0;-1.778302002E-1;-5.970184937E0;-8.443042603E0
3.509336792E0;5.080435181E-1;-5.961053925E0;-7.031477966E0
3.529495917E0;4.872367859E-1;-5.652096405E0;-6.567891998E0
3.549654917E0;1.662891998E0;-6.465205536E0;-7.025191040E0
3.569813917E0;9.258247375E-1;-7.483088837E0;-6.526577911E0
3.589972917E0;1.300645294E0;-7.417225800E0;-7.197632446E0
3.610131917E0;1.261277161E0;-6.668033752E0;-6.983278198E0
3.630290917E0;5.068460083E-1;-5.361700287E0;-7.050937500E0
3.650449917E0;8.137078857E-1;-5.469775543E0;-7.200626221E0
3.670608917E0;4.219725037E-1;-6.619684296E0;-7.406597900E0
3.690767917E0;6.951544189E-1;-6.957382050E0;-7.242239685E0
3.710926917E0;1.400337982E0;-7.342680817E0;-7.020850067E0
3.731085917E0;1.436562653E0;-7.350764008E0;-6.554869080E0
3.751244917E0;1.190025330E0;-7.070397034E0;-6.418802032E0
3.771403917E0;1.162632294E0;-7.232659607E0;-6.623426514E0
3.791562917E0;1.221909027E0;-7.193740540E0;-6.770271149E0
3.811721917E0;4.770579529E-1;-7.491920471E0;-6.909631348E0
3.831880917E0;-4.670288086E-2;-7.140151978E0;-6.960974579E0
3.852039917E0;-5.310955811E-1;-6.882986755E0;-7.078779602E0
3.872198917E0;-9.502239990E-1;-7.153623962E0;-6.528972931E0
3.892357917E0;-8.836125183E-1;-6.823859711E0;-6.625522156E0
3.912516917E0;7.005432129E-2;-6.935078430E0;-6.471342773E0
3.932675917E0;8.265811157E-1;-7.473808136E0;-6.658303986E0
3.952834917E0;4.920268250E-1;-7.527845764E0;-6.575376434E0
3.972994917E0;3.791615295E-1;-7.251520386E0;-6.726412354E0
3.993153917E0;4.978646851E-1;-6.808292084E0;-6.892417145E0
4.013312917E0;2.378553772E-1;-6.619534607E0;-7.209457855E0
4.033471917E0;-2.760260010E-1;-6.651268616E0;-7.110064545E0
4.053630917E0;5.460644531E-1;-6.178102570E0;-6.997049561E0
4.073789917E0;5.629792786E-1;-6.765630798E0;-6.446644135E0
4.093948917E0;6.671626282E-1;-6.660699005E0;-6.339167633E0
4.114107917E0;7.550299072E-1;-6.403384094E0;-6.861880646E0
4.134266917E0;8.666976929E-1;-6.446494446E0;-7.265890503E0
4.154425917E0;9.529183960E-1;-6.466103668E0;-7.152725830E0
4.174584917E0;6.569837952E-1;-6.586752777E0;-6.688541107E0
4.194743917E0;4.508624268E-1;-6.732998657E0;-6.650071106E0
4.214902917E0;8.860075378E-1;-7.052284698E0;-6.863527222E0
4.235061917E0;1.964065704E0;-5.624254303E0;-7.805069275E0
4.255220917E0;1.831291809E0;-4.708309021E0;-7.016509094E0
4.275379917E0;1.365310822E0;-6.405330048E0;-8.078251190E0
4.295538917E0;1.496138763E0;-4.146078186E0;-9.037755890E0
4.315697917E0;-1.176852722E0;-5.694608002E0;-5.183271332E0
4.335856917E0;-2.323468323E0;-1.139475449E1;-5.753285980E0
4.356015917E0;2.289788361E0;-1.092548035E1;-7.322622528E0
4.376174917E0;3.405119019E0;-9.166338501E0;-6.965614929E0
4.396333917E0;2.029329987E0;-7.595056000E0;-7.028933258E0
4.416492917E0;1.130000153E0;-6.254892883E0;-6.774163055E0
4.436651917E0;1.360371094E0;-4.836442566E0;-8.199049988E0
4.456810917E0;1.243763580E0;-5.341342621E0;-9.483229523E0
4.476969917E0;8.690927124E-1;-5.885760498E0;-7.060517578E0
4.497128917E0;6.764433289E-1;-5.525908813E0;-7.075785828E0
4.517287667E0;-7.140151978E-2;-5.599256287E0;-6.602769470E0
4.537446667E0;1.341061249E0;-6.415808258E0;-7.350464630E0
4.557605667E0;1.706601105E0;-6.431525574E0;-7.118746490E0
4.577764667E0;2.125729523E0;-7.135960693E0;-6.899153137E0
4.597923667E0;9.291178894E-1;-7.261848907E0;-7.892637177E0
4.618082667E0;-1.567240906E-1;-5.961353302E0;-8.197702789E0
4.638241667E0;3.129991150E-1;-5.136269073E0;-7.492818604E0
4.658400667E0;1.755848694E-1;-6.378386078E0;-7.198081512E0
4.678559667E0;-1.516346741E-1;-6.402935028E0;-7.771688690E0
4.698718667E0;5.520520020E-1;-6.198609924E0;-7.466473389E0
4.718877667E0;6.426136780E-1;-6.475833435E0;-7.060667267E0
4.739036667E0;1.893562317E-1;-6.046526184E0;-7.111262054E0
4.759195667E0;5.523513794E-2;-5.771248627E0;-7.169041901E0
4.779354667E0;5.465135193E-1;-6.505322113E0;-7.297025757E0
4.799513667E0;9.648934937E-1;-6.626569977E0;-7.525750122E0
4.819672667E0;9.635462952E-1;-6.647676086E0;-7.189549255E0
4.839831667E0;9.354048157E-1;-6.584507446E0;-7.007228394E0
4.859990667E0;7.809260559E-1;-6.590644684E0;-7.157815247E0
4.880149667E0;7.960446167E-1;-6.513704681E0;-7.318580933E0
4.900308667E0;1.225351868E0;-6.618187408E0;-7.582332458E0
4.920467667E0;1.117725677E0;-6.569089508E0;-7.215744781E0
4.940626667E0;1.120719452E0;-6.549480286E0;-7.095694427E0
4.960785667E0;8.619076538E-1;-6.516848145E0;-7.244784393E0
4.980944667E0;8.114625549E-1;-6.371500397E0;-7.199129333E0
5.001103667E0;9.252259827E-1;-6.657256165E0;-7.346722412E0
5.021262667E0;1.148561554E0;-6.655010834E0;-7.138355713E0
5.041421667E0;9.081614685E-1;-6.661447449E0;-7.088060303E0
5.061580667E0;8.689430237E-1;-6.453978882E0;-6.954238586E0
5.081739667E0;9.659413147E-1;-6.513255615E0;-7.174879761E0
5.101898667E0;1.049467621E0;-6.596183167E0;-7.014712830E0
5.122057667E0;1.332229614E0;-6.587052155E0;-6.958878937E0
5.142216667E0;1.002315674E0;-6.288273468E0;-7.210805054E0
5.162375667E0;2.140099640E0;-6.761888580E0;-7.442373505E0
5.182534667E0;7.532336426E-1;-6.859186249E0;-7.115153961E0
5.202693667E0;1.264720001E0;-6.208938446E0;-6.676416321E0
5.222852667E0;9.607022095E-1;-6.641688538E0;-7.527546387E0
5.243011667E0;5.900729370E-1;-6.913373566E0;-7.531887360E0
5.263170667E0;1.860630798E-1;-6.571933594E0;-7.378306732E0
5.283329667E0;2.258802795E-1;-6.699169006E0;-7.613617401E0
5.303488667E0;4.911286926E-1;-6.537654877E0;-7.156617737E0
5.323647667E0;1.105451202E0;-6.289620667E0;-6.698869629E0
5.343806667E0;1.622176666E0;-6.917564850E0;-6.440506897E0
5.363965667E0;1.054257660E0;-7.293882294E0;-6.994504852E0
5.384124667E0;9.639953613E-1;-7.299420776E0;-7.373516693E0
5.404283667E0;6.560856628E-1;-6.789131927E0;-6.621031494E0
5.424442667E0;-7.214996338E-2;-6.765930176E0;-7.197033691E0
5.444601667E0;6.129753113E-1;-6.869664459E0;-7.144043884E0
5.464760667E0;6.402186584E-1;-7.207362213E0;-6.901847534E0
5.484919667E0;6.108796692E-1;-6.956932983E0;-6.697971497E0
5.505078667E0;4.492158508E-1;-6.978488159E0;-6.654112701E0
5.525237667E0;3.541635132E-1;-7.171137543E0;-6.845115509E0
5.545396667E0;4.673281860E-1;-6.675967255E0;-6.838229828E0
5.565555667E0;6.884184265E-1;-7.016808472E0;-6.766977997E0
5.585714667E0;7.473957825E-1;-7.106322327E0;-6.894063721E0
5.605873667E0;6.563850403E-1;-6.965465240E0;-7.051536255E0
5.626032667E0;5.779481506E-1;-6.891219635E0;-7.219636688E0
5.646191667E0;9.496252441E-1;-6.669380951E0;-6.898853760E0
5.666350667E0;1.335971832E0;-7.148384857E0;-6.471791840E0
5.686509667E0;9.512718201E-1;-7.335495758E0;-7.138355713E0
5.706668667E0;8.795709229E-1;-6.607409821E0;-7.641459503E0
5.726827667E0;8.241860962E-1;-6.679559784E0;-7.191944275E0
5.746986667E0;4.504133606E-1;-6.628665619E0;-7.169341278E0
5.767145667E0;8.440946960E-1;-6.476731567E0;-6.623127136E0
5.787304667E0;8.000862122E-1;-6.639592896E0;-6.452481995E0
5.807463667E0;4.052073669E-1;-6.394253082E0;-6.697672119E0
5.827622667E0;5.373825073E-2;-6.117029572E0;-7.413633270E0
5.847781667E0;6.897656250E-1;-6.649622040E0;-7.667056274E0
5.867940667E0;8.637039185E-1;-6.561754761E0;-7.533833313E0
5.888099667E0;1.048868866E0;-6.447991333E0;-7.407346344E0
5.908258667E0;3.811074829E-1;-6.411167908E0;-7.410340118E0
5.928417667E0;2.567161560E-1;-6.253695374E0;-7.147037659E0
5.948576667E0;5.099894714E-1;-6.703509979E0;-7.342082062E0
5.968735667E0;5.114863586E-1;-6.782994690E0;-6.981481934E0
5.988894667E0;1.109343109E0;-6.928192749E0;-6.976093140E0
6.009053667E0;1.295855255E0;-7.216942291E0;-6.831344147E0
6.029212667E0;8.890013123E-1;-7.190896454E0;-7.101831665E0
6.049370667E0;1.080752563E0;-6.949448547E0;-7.453001404E0
6.069529667E0;3.585044861E-1;-6.757397919E0;-7.460036774E0
6.089688667E0;9.669891357E-1;-6.459816742E0;-7.132517853E0
6.109847667E0;6.286926270E-1;-6.559808807E0;-6.341412964E0
6.130006667E0;4.665797424E-1;-6.666087799E0;-6.533313904E0
6.150165667E0;2.737806702E-1;-6.605164490E0;-7.502698059E0
6.170324667E0;-6.408174133E-1;-6.207890625E0;-6.957232361E0
6.190483667E0;-1.475930786E-1;-6.095025330E0;-6.992558899E0
6.210642667E0;4.713697815E-1;-6.994953918E0;-6.928492126E0
6.230801667E0;8.023315430E-1;-7.136260071E0;-7.487130432E0
6.250960667E0;6.289920044E-1;-6.939120026E0;-7.214696960E0
6.271119667E0;4.875361633E-1;-6.591842194E0;-7.020251312E0
6.291278667E0;6.869215393E-1;-6.916067963E0;-7.064409485E0
6.311437667E0;8.330177307E-1;-6.957681427E0;-7.330556030E0
6.331596667E0;6.104306030E-1;-6.235133972E0;-7.295828247E0
6.351755667E0;3.909869385E-1;-6.043682098E0;-7.337441711E0
6.371914667E0;3.619473267E-1;-5.970933380E0;-7.542664948E0
6.392073667E0;8.782237244E-1;-7.000193024E0;-8.024512939E0
6.412232667E0;9.183403015E-1;-6.692732391E0;-6.788383484E0
6.432391667E0;9.541159058E-1;-7.315736847E0;-7.116351471E0
6.452550667E0;9.812095642E-1;-6.070476379E0;-7.411387939E0
6.472708667E0;-4.490661621E-4;-5.975274353E0;-7.461234283E0
6.492867667E0;-1.639091492E-1;-6.073919220E0;-7.168143768E0
6.513026667E0;6.436614990E-3;-5.827681274E0;-7.135212250E0
6.533186042E0;2.305206299E-1;-5.990392914E0;-6.877298584E0
6.553345042E0;5.613327026E-1;-6.393504639E0;-6.935527496E0
6.573504042E0;8.523275757E-1;-6.999893646E0;-7.090006256E0
6.593663042E0;5.423222351E-1;-6.968309326E0;-7.207811279E0
6.613822042E0;4.920268250E-1;-6.574927368E0;-7.986941071E0
6.633981042E0;4.150868225E-1;-6.963668976E0;-7.860154724E0
6.654140042E0;-4.538562012E-1;-6.936425629E0;-7.569010162E0
6.674299042E0;-1.437011719E-2;-5.966293030E0;-7.500901794E0
6.694458042E0;1.366658020E-1;-6.184090118E0;-6.576424255E0
6.714617042E0;-5.126838684E-1;-6.972500610E0;-7.888296204E0
6.734776042E0;1.074914703E0;-6.526577911E0;-6.972051544E0
6.754935042E0;3.442840576E-1;-6.485563202E0;-7.465275879E0
6.775094042E0;3.872447205E-1;-6.583759003E0;-7.300917664E0
